method,split,seed_count,parameters,rel_l2_mean,rel_l2_mean_seed_std,rel_l2_mean_seed_ci95_t,gradient_rel_l2_mean,gradient_rel_l2_mean_seed_std,gradient_rel_l2_mean_seed_ci95_t,support_reprojection_rel_l2_mean,support_reprojection_rel_l2_mean_seed_std,support_reprojection_rel_l2_mean_seed_ci95_t,heldout_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_mean_seed_std,heldout_reprojection_rel_l2_mean_seed_ci95_t,support_correction_leakage_mean,support_correction_leakage_mean_seed_std,support_correction_leakage_mean_seed_ci95_t,correction_norm_ratio_mean,correction_norm_ratio_mean_seed_std,correction_norm_ratio_mean_seed_ci95_t,field_improvement_vs_base_pct_mean,field_improvement_vs_base_pct_mean_seed_std,field_improvement_vs_base_pct_mean_seed_ci95_t
support_fit_base,test_iid,3,0,0.2505150750230642,0.0023426127726986923,0.005819372732688826,0.40500565633618324,0.006383360602225286,0.015857146799689133,0.23073698304703627,0.001002962910107847,0.002491497988485759,0.29368661934981505,0.005490510742834227,0.013639184793044821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_fit_base,test_view_ood,3,0,0.33784577021490075,0.007515526444565195,0.01866960266460128,0.5336785802204571,0.008795185832101109,0.021848452807374574,0.25960600381298676,0.010834688703715394,0.026914858803974706,0.4174477519685927,0.008802808357042509,0.021867388209040262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_fit_base,test_noise_ood,3,0,0.27855279915378195,0.007189158405863697,0.017858859511752895,0.4560094261816716,0.0048732333411222635,0.012105782720840876,0.25491385413096695,0.005517600358654289,0.013706479129300266,0.32758722013340513,0.014362717121682826,0.03567896724517446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_fit_base,test_joint_ood,3,0,0.3589854375883017,0.009969263980219044,0.024765024611656323,0.5397833490903259,0.006572588971613672,0.016327216128219843,0.2542087746341054,0.010279907496264564,0.025536705884775718,0.4203300518611475,0.010171283687812789,0.02526686938580672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_fit_base,test_family_ood,3,0,0.6928172332040189,0.002074324985928745,0.005152908923971568,0.8912397873758202,0.0016002762235888656,0.003975306516234504,0.5666119604711731,0.0016930334171768077,0.004205728158862437,0.7027528257659682,0.014305303372726248,0.03553634358621846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
free_correction,test_iid,3,13105,0.359642916463015,0.18199435973447464,0.4520990523422642,0.42208400926888423,0.02569637569000953,0.06383333590685708,0.23840672053086776,0.006659711457409206,0.01654364038072596,0.2972462708102492,0.002992862050110751,0.007434681484746522,0.04019643911570069,0.02447340898768626,0.06079531820140091,0.18629930255037683,0.27204556490651993,0.6757986470987083,-59.01799752834312,98.95496306211595,245.81775550746318
free_correction,test_view_ood,3,13105,0.4171778085931665,0.1271782600583647,0.3159283119257745,0.5460819295970784,0.010278192198750515,0.025532444849534198,0.27382545268522934,0.004081987337731735,0.010140218684546735,0.41784478979931333,0.006395717246469508,0.015887842405646887,0.04360371326050905,0.022064552504853535,0.054811386970201874,0.1917332735976253,0.2677482336349129,0.6651234844270253,-30.96038685985401,52.39242711927168,130.1500040171135
free_correction,test_noise_ood,3,13105,0.3577017646655077,0.13204347736369232,0.3280141817097992,0.4692146971293605,0.017424959457120096,0.04328599891315259,0.2622974606437807,0.0055813446086844356,0.013864828624707396,0.33227348636509085,0.010022860664825545,0.02489816615711212,0.04052047478100433,0.025443167227324075,0.06320433121576581,0.18752548226320498,0.2710243360642062,0.6732617740191895,-41.503154488610974,72.20325096081798,179.3628186227412
free_correction,test_joint_ood,3,13105,0.42020189734578334,0.0963247278206208,0.23928388895329034,0.5462501484415107,0.005081313404515418,0.01262268225337921,0.26211737323161977,0.004130010375946047,0.010259514524807733,0.41888341572541243,0.009873915141346572,0.02452816496524161,0.04149073258837854,0.01901696408869971,0.0472407576557407,0.19285537501924388,0.2667448466856597,0.6626309330669072,-23.82688428137911,41.24658737767111,102.46220318587797
free_correction,test_family_ood,3,13105,0.7271758745431564,0.05896294362061878,0.14647207184378766,0.8916054061496288,0.0004594317585562083,0.0011412917574052494,0.5690783637229884,0.0060947915461132245,0.015140301524956962,0.7001434404639731,0.015261898080347815,0.03791265657428198,0.03054775077778421,0.016120831327036268,0.04004636504425691,0.19217697086859128,0.2674350177994148,0.6643454131581471,-5.020184217671436,8.57870244168969,21.310678253286
nullspace_correction,test_iid,3,13105,0.24912029902797164,0.0027288479160220316,0.006778834017821627,0.40772273743280607,0.006416283833143267,0.015938932639205153,0.23073698330903425,0.001002962830163026,0.0024914977898918144,0.29207987555930837,0.005072215893002074,0.01260008278194583,2.027555913848863e-08,2.0558331413306804e-10,5.106972635445689e-10,0.04412042631110702,0.004404966787753066,0.010942544116465102,-0.270757232265791,0.22020456650048653,0.547018467943492
nullspace_correction,test_view_ood,3,13105,0.33893613262994876,0.008296457026929346,0.020609541774511214,0.5401068486073419,0.009344740368544572,0.02321362195601725,0.2596060036672994,0.010834688688371993,0.02691485876585959,0.41786517936570133,0.009410633143980428,0.023377308684409355,1.8787730889429506e-08,5.729814302855752e-10,1.4233647791050401e-09,0.07890962193160839,0.006227755926534021,0.01547060335667978,-1.2857000828603973,1.1150971429236523,2.7700548650016925
nullspace_correction,test_noise_ood,3,13105,0.2748662402803837,0.006869067592790047,0.017063709851811815,0.45888363371128255,0.0048226872393252514,0.011980219243184948,0.2549138539301035,0.005517600127704963,0.013706478555590335,0.32566453197559725,0.014653758982300986,0.036401955306834016,1.881458805369349e-08,4.70953094070884e-10,1.1699123414469838e-09,0.04977540589118409,0.0035761951462889604,0.008883761227474895,1.1565359662714265,1.5158419546059725,3.765560164490028
nullspace_correction,test_joint_ood,3,13105,0.36170938265115665,0.00805161497630893,0.02000132040314275,0.5484221523571138,0.004553039013653292,0.011310375916886668,0.2542087749077084,0.010279907519729087,0.025536705943064827,0.4269278343261673,0.0071402425806173795,0.017737345865557128,1.64154437049006e-08,2.6675433856436956e-10,6.626545122007658e-10,0.08904301773498796,0.0077053806632500395,0.019141226688971193,-0.7752212386124716,0.7388157714833377,1.8353201199776732
nullspace_correction,test_family_ood,3,13105,0.6898396179310812,0.001954094518150394,0.004854239884861984,0.8890926666426214,0.0013306915278791754,0.0033056210071113258,0.5666119604235001,0.0016930333303864595,0.00420572794326326,0.6903604731931053,0.01458110919786499,0.03622148323756603,1.455874662862052e-08,3.084832815622736e-10,7.663149531733392e-10,0.05653942829872018,0.003421528385506862,0.008499547694261818,0.4411245944545031,0.10437246765673117,0.2592755829745275
oracle_null_upper_bound,test_iid,3,0,0.17640196219084067,0.0015390038065315975,0.00382309739433245,0.2746714083389384,0.004677918422709847,0.011620593566345152,0.23073698304703627,0.001002962910107872,0.0024914979884858206,0.15050508565872447,0.004743021026975787,0.011782317400735333,1.1322661832207467e-16,1.374114996408413e-18,3.4134908828598083e-18,0.18410140689040844,0.0031701978295211,0.007875207982022408,23.58021045330611,0.39260949569729314,0.9752960542529249
oracle_null_upper_bound,test_view_ood,3,0,0.14970043580608935,0.0027683395793430296,0.006876936747977065,0.23303798356896963,0.0018956638581438276,0.00470909007881721,0.25960600381298676,0.010834688703715397,0.02691485880397472,0.10412712150765417,0.0011937023889632798,0.002965321121030144,1.7528041458144193e-16,4.3483946705150945e-18,1.0802011186600698e-17,0.3384459126205119,0.0074330986533044955,0.01846484067983429,51.217816494558896,0.3722912308965846,0.9248226864241554
oracle_null_upper_bound,test_noise_ood,3,0,0.18461020691031446,0.004469059068862467,0.01110175816900107,0.28752061547356517,0.0031947623217973933,0.007936229563655948,0.25491385413096695,0.005517600358654289,0.013706479129300266,0.1588959544116547,0.005395692874448318,0.013403644150439606,1.3074144583657742e-16,3.2148422938420705e-18,7.986110979463023e-18,0.23724939917315102,0.010321989916076564,0.025641244410832417,28.113878050360654,1.91803178512483,4.764655089764396
oracle_null_upper_bound,test_joint_ood,3,0,0.16402044459077456,0.008647796939346359,0.02148231850058937,0.23460175227911254,0.006300707150481133,0.01565182424320514,0.2542087746341054,0.010279907496264552,0.02553670588477569,0.1226312287000339,0.007730513960572059,0.019203661260669455,1.6938127274387166e-16,9.10298617602929e-18,2.2613071249416287e-17,0.38491112250484877,0.012705958302773823,0.03156335018384767,50.09667223933087,1.9005099690524263,4.721128485680585
oracle_null_upper_bound,test_family_ood,3,0,0.39617199565095707,0.0013168480091295912,0.0032712318001221607,0.4407323135496893,0.0002908852561803113,0.0007225990346696671,0.5666119604711731,0.0016930334171768589,0.004205728158862564,0.23581296156196005,0.0004283241615382558,0.0010640162025310216,3.842057211782119e-16,3.537030267442587e-18,8.786470274956485e-18,0.8472221899383152,0.025546672215555122,0.06346145186038483,42.833139528292484,0.3204810758936321,0.7961191265296912
