strategy,source_index,sample_seed,source_split,family_id,noise_level,model_seed_count,field_rel_l2,audit_reprojection_rel_l2
base_24,200,30460821,test_iid,0,0.02,3,0.10122447460889816,0.14602151016394296
base_24,201,30460822,test_iid,0,0.05,3,0.13262508312861124,0.11769140760103862
base_24,202,30460823,test_iid,0,0.02,3,0.1412964165210724,0.15784325699011484
base_24,203,30460824,test_iid,0,0.05,3,0.12350109467903773,0.10173281282186508
base_24,204,30460825,test_iid,0,0.02,3,0.09490774323542912,0.12118649731079738
base_24,205,30460826,test_iid,0,0.05,3,0.1194003199537595,0.11980224400758743
base_24,206,30460827,test_iid,1,0.02,3,0.1794019192457199,0.32989056905110675
base_24,207,30460828,test_iid,1,0.05,3,0.19185457130273184,0.40934468309084576
base_24,208,30460829,test_iid,1,0.02,3,0.2669657866160075,0.408499797185262
base_24,209,30460830,test_iid,1,0.05,3,0.1892589827378591,0.2583569933970769
base_24,210,30460831,test_iid,1,0.02,3,0.1571835478146871,0.24432660142580667
base_24,211,30460832,test_iid,1,0.05,3,0.22948760290940604,0.4423084259033203
base_24,212,30460833,test_iid,0,0.02,3,0.16429505248864493,0.20164062082767487
base_24,213,30460834,test_iid,0,0.05,3,0.1329802324374517,0.13465173045794168
base_24,214,30460835,test_iid,0,0.02,3,0.168734277288119,0.17978920539220175
base_24,215,30460836,test_iid,0,0.05,3,0.147548978527387,0.17548169692357382
base_24,216,30460837,test_iid,0,0.02,3,0.10439138114452362,0.11911640067895253
base_24,217,30460838,test_iid,0,0.05,3,0.1366320103406906,0.10052368541558583
base_24,218,30460839,test_iid,1,0.02,3,0.21361859142780304,0.3470333218574524
base_24,219,30460840,test_iid,1,0.05,3,0.3022700250148773,0.49279887477556866
base_24,220,30460841,test_iid,1,0.02,3,0.3724137345949809,0.6295748154322306
base_24,221,30460842,test_iid,1,0.05,3,0.22270530462265015,0.48837300141652423
base_24,222,30460843,test_iid,1,0.02,3,0.24156655867894491,0.4229118824005127
base_24,223,30460844,test_iid,1,0.05,3,0.2663739820321401,0.4594700336456299
base_24,224,30460845,test_iid,0,0.02,3,0.0975453183054924,0.11926112323999405
base_24,225,30460846,test_iid,0,0.05,3,0.1304027090469996,0.09517916788657506
base_24,226,30460847,test_iid,0,0.02,3,0.07401675979296367,0.10372736304998398
base_24,227,30460848,test_iid,0,0.05,3,0.0966664229830106,0.07591438541809718
base_24,228,30460849,test_iid,0,0.02,3,0.11854154616594315,0.1015279417236646
base_24,229,30460850,test_iid,0,0.05,3,0.12786095589399338,0.14489532262086868
base_24,230,30460851,test_iid,1,0.02,3,0.21976452072461447,0.3824101686477661
base_24,231,30460852,test_iid,1,0.05,3,0.2225332409143448,0.3298565944035848
base_24,232,30560821,test_noise_ood,0,0.08,3,0.10008760293324788,0.07904815922180812
base_24,233,30560822,test_noise_ood,0,0.12,3,0.15556525190671286,0.1411670446395874
base_24,234,30560823,test_noise_ood,0,0.08,3,0.1345266948143641,0.144344761967659
base_24,235,30560824,test_noise_ood,0,0.12,3,0.13317895929018655,0.1132427304983139
base_24,236,30560825,test_noise_ood,0,0.08,3,0.11384741216897964,0.14390709002812704
