strategy,model_seed,independent_field_count,domain_equal_mean_field_superiority_vs_base24_pct
base_24,20260901,128,0.0
base_24,20260902,128,0.0
base_24,20260903,128,0.0
carry_adam_long_cosine,20260901,128,23.192891706111897
carry_adam_long_cosine,20260902,128,20.450825578797556
carry_adam_long_cosine,20260903,128,21.261055842142873
carry_adam_restart_cosine,20260901,128,23.616871575291313
carry_adam_restart_cosine,20260902,128,20.800843339440945
carry_adam_restart_cosine,20260903,128,21.71552068419678
restart_adam_restart_cosine,20260901,128,22.604320365558465
restart_adam_restart_cosine,20260902,128,19.706142228420823
restart_adam_restart_cosine,20260903,128,20.28091868462826
