model_seed,cumulative_epochs,phase,block_index,candidate_best_val_rel_l2,selected_validation_rel_l2,relative_validation_improvement_pct,retained_previous_checkpoint,epochs_ran_in_block,best_epoch_in_block,train_seconds_block,cumulative_train_seconds,checkpoint_sha256
20260901,24,base,0,0.17542076259851455,0.17542076259851455,0.0,False,24,24,4.971273333998397,4.971273333998397,7a6c48c47e6f5843318c6c4249cecf4df1929d4635722188164a2cab29572f84
20260901,36,continuation,1,0.1547056667506695,0.1547056667506695,11.808805035888257,False,12,12,2.172794041922316,7.144067375920713,a78c665fd32bb615d89ed6102f639942b3eb1aff36b8d62929cc233d5a381b22
20260901,48,continuation,2,0.13952720612287522,0.13952720612287522,9.811185941985197,False,12,12,2.1640044159721583,9.308071791892871,41fc964b7fd6a49d621f4747fe2e6d73cb3b7fa3ad7d9b20601fddf095dc0866
20260901,60,continuation,3,0.13093659058213233,0.13093659058213233,6.156946576509214,False,12,11,2.1591193329077214,11.467191124800593,7495b8bf6738aa31349a1b9465463ff382fdc93e4bd7613ea1b2fd9c9f032988
20260901,72,continuation,4,0.12562952190637589,0.12562952190637589,4.053159359138012,False,12,11,2.1476882500573993,13.614879374857992,40ce1e67c41ba7c289fbebf2c8d295d0e8e3c2b012a910ce77d814057954df02
20260901,84,continuation,5,0.12167990580201149,0.12167990580201149,3.1438598542756275,False,12,11,2.161621249979362,15.776500624837354,41f61fd0a9d10300542855b5239be862f681f285d125dd3d7a1935bd9b37400d
20260901,96,continuation,6,0.11855786442756652,0.11855786442756652,2.565782208526084,False,12,12,2.202914208988659,17.979414833826013,8427040bb2a5933fc8a8ab5d08c0d3907e1bbc78c363ce13410ccc432d92e1e2
20260902,24,base,0,0.16212041079998016,0.16212041079998016,0.0,False,24,24,4.345198833965696,4.345198833965696,f39aeb52176167c1fd4674e3ecfab5c12464922998fd8a2675e5b25a42102da0
20260902,36,continuation,1,0.1462346665561199,0.1462346665561199,9.798731797788044,False,12,12,2.152703959029168,6.497902792994864,9167e8b684fe4a1fe5728d7d01aa2106f13b7e9753162bce70413a7c8111ef2d
20260902,48,continuation,2,0.13618783950805663,0.13618783950805663,6.870345646898266,False,12,11,2.21521162497811,8.713114417972974,192b3c376ef697d946dbced5bfeb4b8ed0136fe85b39472cf3d2cdda682ef835
20260902,60,continuation,3,0.1289275497198105,0.1289275497198105,5.331085223481588,False,12,12,2.200239749974571,10.913354167947546,01a2c3bb1e4156074c20e96f60da3078ec0e1158a153d3af09aa97c719ee82ba
20260902,72,continuation,4,0.12393283173441887,0.12393283173441887,3.8740501903647178,False,12,12,2.2510662499116734,13.164420417859219,d3f7215adde62a9b87fa5ade1526504cb7c15c803ddecab5a76db716724f4db3
20260902,84,continuation,5,0.12055016532540322,0.12055016532540322,2.7294352607364107,False,12,12,2.2235549999168143,15.387975417776033,1415e5246aa939d77f8e33f8c47fb74fea531116218a3c704796d2ca02fa9792
20260902,96,continuation,6,0.11703891530632973,0.11703891530632973,2.91268785037862,False,12,11,2.2072790829697624,17.595254500745796,156b68123fd989f448a918e89e47aabdf4af2068e575e6b6c5b8bcf099df996f
20260903,24,base,0,0.16183300837874412,0.16183300837874412,0.0,False,24,24,4.323880958021618,4.323880958021618,ac3e53b20e03dec1bb01fae69a7ee34837990a8aa08efcc2312fdf6edb5e7af1
20260903,36,continuation,1,0.14492738768458366,0.14492738768458366,10.446336543711226,False,12,12,2.165062249987386,6.488943208009005,6441597a15123e1152442c987c40353b4d4dbe9d76c284455e1ffe990cc2763d
20260903,48,continuation,2,0.13537587523460387,0.13537587523460387,6.590550345598966,False,12,12,2.1638560419669375,8.652799249975942,bf6e8a1f1d6eebc03d81ca3b50626d7a6a22b5577300e5f53a2c8b255b5e913e
20260903,60,continuation,3,0.12905483692884445,0.12905483692884445,4.669250185646804,False,12,12,2.143671124940738,10.79647037491668,fc1521e679ef5c02b0c6271eb83b7a75c4592a0f62a873b15e8536fd7efdb76b
20260903,72,continuation,4,0.12377022504806519,0.12377022504806519,4.094857663995991,False,12,10,2.142750042025,12.93922041694168,ccf46c30bd993d5912e286dc40153302157dfa1737ca1fbbefd380a95a4e6935
20260903,84,continuation,5,0.12033285945653915,0.12033285945653915,2.7772152714139353,False,12,11,2.1673693750053644,15.106589791947044,62cc16854b736afd55cfc5769073dcc068f8d06f2924b58190519ca3994ab08c
20260903,96,continuation,6,0.1167719766497612,0.1167719766497612,2.9591940412871596,False,12,11,2.1304134579841048,17.23700324993115,fde2da71531113da5b0756af97325357c5a7721f4183b64306cf608350d431d7
