model_seed,cumulative_epochs,independent_field_count,domain_equal_mean_field_superiority_vs_epoch24_pct
20260901,24,128,0.0
20260901,36,128,6.7570008769078
20260901,48,128,11.54628075100592
20260901,60,128,14.391356520171225
20260901,72,128,16.15511868566783
20260901,84,128,17.3948873967988
20260901,96,128,18.257561727821823
20260902,24,128,0.0
20260902,36,128,5.252358904286822
20260902,48,128,8.85260194122143
20260902,60,128,11.507994222544859
20260902,72,128,13.28425577385256
20260902,84,128,14.401574689524427
20260902,96,128,15.486250559126098
20260903,24,128,0.0
20260903,36,128,5.918781951921829
20260903,48,128,9.657913042714481
20260903,60,128,12.00963086464763
20260903,72,128,13.594189859891332
20260903,84,128,14.733403494234564
20260903,96,128,15.718084849628795
