learning_rate,model_seed,training_seed,attempted_epochs,best_checkpoint_epoch,best_validation_rel_l2,endpoint_validation_rel_l2,train_seconds,selection_scope,mean_validation_rel_l2_for_learning_rate,global_validation_champion
0.0005,20260901,20261002,24,23,0.19106017798185349,0.1910686545073986,2.2978348339674994,validation_only,0.1917389827469985,False
0.0005,20260902,20261003,24,22,0.1917575143277645,0.19177612960338591,2.153796333936043,validation_only,0.1917389827469985,False
0.0005,20260903,20261004,24,22,0.1923992559313774,0.1924116402864456,2.132250207941979,validation_only,0.1917389827469985,False
0.001,20260901,20261002,24,23,0.18761174529790878,0.18763093054294586,2.1726529170991853,validation_only,0.18859483549992243,False
0.001,20260902,20261003,24,22,0.1879640907049179,0.18797969222068786,2.172463750001043,validation_only,0.18859483549992243,False
0.001,20260903,20261004,24,21,0.19020867049694062,0.19019926190376282,2.1751651669619605,validation_only,0.18859483549992243,False
0.002,20260901,20261002,24,23,0.18611432015895843,0.18611881881952286,2.140599749982357,validation_only,0.1861461341381073,True
0.002,20260902,20261003,24,24,0.1859390392899513,0.1859390392899513,2.1516699580242857,validation_only,0.1861461341381073,True
0.002,20260903,20261004,24,21,0.18638504296541214,0.1863901972770691,2.156061041983776,validation_only,0.1861461341381073,True
0.004,20260901,20261002,24,23,0.18553879782557486,0.18555033206939697,2.195632457965985,validation_only,0.18649021883805594,False
0.004,20260902,20261003,24,24,0.18752591237425803,0.18752591237425803,2.154892708058469,validation_only,0.18649021883805594,False
0.004,20260903,20261004,24,21,0.18640594631433488,0.18646084219217302,2.1375837080413476,validation_only,0.18649021883805594,False
