strategy,selection_commit_sha256,selected_checkpoint_epoch,model_seed,cumulative_epochs,variant_index,source_index,sample_seed,source_split,family_id,noise_level,total_budget,ridge_relative,inference_ms_per_sample,field_rel_l2,gradient_rel_l2,observed_reprojection_rel_l2,audit_reprojection_rel_l2,improvement_vs_classical_pct
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,200,200,30460821,test_iid,0,0.02,6,1e-06,0.42185253906623643,0.11098696291446686,0.25411295890808105,0.11842086911201477,0.191229909658432,64.90669012919254
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,201,201,30460822,test_iid,0,0.05,6,1e-06,0.42185253906623643,0.14594124257564545,0.30357399582862854,0.16279609501361847,0.1633896827697754,56.15329411537157
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,202,202,30460823,test_iid,0,0.02,6,1e-06,0.42185253906623643,0.1587478518486023,0.27995508909225464,0.15197987854480743,0.16347233951091766,46.382033899376815
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,203,203,30460824,test_iid,0,0.05,6,1e-06,0.42185253906623643,0.09335058927536011,0.26409411430358887,0.09982635080814362,0.1001005694270134,73.98489786127932
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,204,204,30460825,test_iid,0,0.02,6,1e-06,0.42185253906623643,0.1395314633846283,0.2742319107055664,0.1365143209695816,0.17959381639957428,55.41177240296216
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,205,205,30460826,test_iid,0,0.05,6,1e-06,0.42185253906623643,0.1407177597284317,0.29256778955459595,0.1344723403453827,0.12937748432159424,50.59515015308953
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,206,206,30460827,test_iid,1,0.02,6,1e-06,0.42185253906623643,0.22854487597942352,0.3695220947265625,0.17547565698623657,0.43322011828422546,20.58217179204077
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,207,207,30460828,test_iid,1,0.05,6,1e-06,0.42185253906623643,0.21967454254627228,0.3714982271194458,0.1779385805130005,0.4130268096923828,27.470260911195293
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,208,208,30460829,test_iid,1,0.02,6,1e-06,0.42185253906623643,0.32714638113975525,0.5734713673591614,0.21299073100090027,0.5297305583953857,13.042378529189053
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,209,209,30460830,test_iid,1,0.05,6,1e-06,0.42185253906623643,0.21094714105129242,0.37257903814315796,0.14774373173713684,0.31835639476776123,19.799253717907987
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,210,210,30460831,test_iid,1,0.02,6,1e-06,0.42185253906623643,0.1760852187871933,0.30169475078582764,0.14697600901126862,0.28108859062194824,23.92274122995046
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,211,211,30460832,test_iid,1,0.05,6,1e-06,0.42185253906623643,0.2804328501224518,0.48296090960502625,0.20212416350841522,0.569222629070282,15.325221808869925
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,212,212,30460833,test_iid,0,0.02,6,1e-06,0.42185253906623643,0.1634014993906021,0.32159319519996643,0.16557419300079346,0.21790730953216553,54.36594919088823
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,213,213,30460834,test_iid,0,0.05,6,1e-06,0.42185253906623643,0.15734174847602844,0.2830526828765869,0.1473998725414276,0.24333512783050537,48.330242485479836
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,214,214,30460835,test_iid,0,0.02,6,1e-06,0.42185253906623643,0.21564345061779022,0.344387412071228,0.21698349714279175,0.327023983001709,29.618278176132094
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,215,215,30460836,test_iid,0,0.05,6,1e-06,0.42185253906623643,0.15994223952293396,0.3377583622932434,0.16700084507465363,0.1506822556257248,59.42407244839758
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,216,216,30460837,test_iid,0,0.02,6,1e-06,0.42185253906623643,0.1313721090555191,0.25925037264823914,0.13665032386779785,0.2059294730424881,55.9435638774079
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,217,217,30460838,test_iid,0,0.05,6,1e-06,0.42185253906623643,0.13699457049369812,0.2724192440509796,0.1316530406475067,0.17311149835586548,43.98027502175172
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,218,218,30460839,test_iid,1,0.02,6,1e-06,0.42185253906623643,0.2907157242298126,0.504068911075592,0.2224203199148178,0.4856802523136139,15.255170973421128
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,219,219,30460840,test_iid,1,0.05,6,1e-06,0.42185253906623643,0.3511452376842499,0.6117960214614868,0.2139401137828827,0.5647971630096436,9.914389272347604
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,220,220,30460841,test_iid,1,0.02,6,1e-06,0.42185253906623643,0.4109775424003601,0.6986803412437439,0.23607370257377625,0.6832935810089111,9.319418136795472
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,221,221,30460842,test_iid,1,0.05,6,1e-06,0.42185253906623643,0.25739675760269165,0.48009106516838074,0.1738097369670868,0.5416352152824402,21.95184326458095
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,222,222,30460843,test_iid,1,0.02,6,1e-06,0.42185253906623643,0.2740224003791809,0.5241432785987854,0.18738111853599548,0.4620620012283325,26.17034096643217
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,223,223,30460844,test_iid,1,0.05,6,1e-06,0.42185253906623643,0.32558250427246094,0.558953583240509,0.21645279228687286,0.5777269601821899,15.094522481181695
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,224,224,30460845,test_iid,0,0.02,6,1e-06,0.42185253906623643,0.11979895085096359,0.24212074279785156,0.12607024610042572,0.1140294075012207,57.80047557809193
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,225,225,30460846,test_iid,0,0.05,6,1e-06,0.42185253906623643,0.1523546725511551,0.314675509929657,0.1541052758693695,0.1623767465353012,58.3896929446517
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,226,226,30460847,test_iid,0,0.02,6,1e-06,0.42185253906623643,0.10487238317728043,0.2339777797460556,0.10251167416572571,0.12563125789165497,62.8595457314255
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,227,227,30460848,test_iid,0,0.05,6,1e-06,0.42185253906623643,0.08948039263486862,0.24550482630729675,0.08585211634635925,0.11117057502269745,70.72132173668756
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,228,228,30460849,test_iid,0,0.02,6,1e-06,0.42185253906623643,0.11838029325008392,0.2483932077884674,0.1159813329577446,0.15496334433555603,45.782682680300596
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,229,229,30460850,test_iid,0,0.05,6,1e-06,0.42185253906623643,0.11535972356796265,0.27364251017570496,0.12574073672294617,0.11486265808343887,67.05984130653928
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,230,230,30460851,test_iid,1,0.02,6,1e-06,0.42185253906623643,0.2501083016395569,0.40007925033569336,0.1865837723016739,0.4312719404697418,12.019257078942902
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,231,231,30460852,test_iid,1,0.05,6,1e-06,0.42185253906623643,0.25756439566612244,0.4569225311279297,0.17469404637813568,0.389300137758255,18.111990012410725
base_24,09227231f624abc20c8b515f42cea84d6c869e10fcc6703e2d5d77561133e6f8,23,20260901,24,232,232,30560821,test_noise_ood,0,0.08,6,1e-06,0.42185253906623643,0.12013330310583115,0.296041339635849,0.12210091203451157,0.12234862148761749,61.63168834249394
