variant_id,learning_rate,model_seed,training_seed,parameter_count,attempted_epochs,best_checkpoint_epoch,best_validation_rel_l2,endpoint_validation_rel_l2,train_seconds,batch_order_contract_sha256,selected_checkpoint_sha256,selection_scope,mean_validation_rel_l2_for_cell,global_validation_champion
r48_p444_reference,0.001,20260901,20261002,49313,24,23,0.18761174529790878,0.18763093054294586,3.0538300839998556,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,f26babb7dbb8d89c2fe10dca1e3f5e75fc4c545ecc80b1d579865c3dda8074c4,validation_only,0.18859483549992243,False
r48_p444_reference,0.001,20260902,20261003,49313,24,22,0.1879640907049179,0.18797969222068786,2.065139457999976,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,421e0716653ace7d69147ee44f06eb600ce4fce521be56f2a57f255ff0f44f3f,validation_only,0.18859483549992243,False
r48_p444_reference,0.001,20260903,20261004,49313,24,21,0.19020867049694062,0.19019926190376282,2.314870791999965,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,f233126a9b74f38fdc8065117f73cc94c95f368fa4e8641068432e801e85a3c6,validation_only,0.18859483549992243,False
r48_p444_reference,0.002,20260901,20261002,49313,24,23,0.18611432015895843,0.18611881881952286,2.1833432089997586,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,dbff1538bdc90341c7a76737b22a4b5f9670861e97736e03e993610413a586f2,validation_only,0.1861461341381073,False
r48_p444_reference,0.002,20260902,20261003,49313,24,24,0.1859390392899513,0.1859390392899513,2.0749029160001555,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,9c4e3d530c00185da33c55f7c36640958b0e359995c281022e13573446e06346,validation_only,0.1861461341381073,False
r48_p444_reference,0.002,20260903,20261004,49313,24,21,0.18638504296541214,0.1863901972770691,2.0819013749996884,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,35396142007bab5637500c43fa8cae7a7115523cf49c6345dbddf9e34f61fdca,validation_only,0.1861461341381073,False
r48_p444_reference,0.004,20260901,20261002,49313,24,23,0.18553879782557486,0.18555033206939697,2.0858735830001933,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,cd431be8f9ed9aebe8f8e676e326c269352b477e333b4525d19bb8d51da049bd,validation_only,0.18649021883805594,False
r48_p444_reference,0.004,20260902,20261003,49313,24,24,0.18752591237425803,0.18752591237425803,2.077022625000154,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,53676c0c9880284703115556035dbb2c94d073d0a3a1131711f7df1b8152d1dc,validation_only,0.18649021883805594,False
r48_p444_reference,0.004,20260903,20261004,49313,24,21,0.18640594631433488,0.18646084219217302,2.1074860829999125,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,e389c7c5462c81342c9fff33a4cdcd6b13d63f3bea77bbc41db11b8e411bc5e1,validation_only,0.18649021883805594,False
r32_p444,0.001,20260901,20261002,47233,24,23,0.18917187824845313,0.18918439447879792,2.2580773340000633,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,4b5345c37129d232acd270a58a16283dfef6a3cb48d5ec52dad4e5958171e814,validation_only,0.18822284266352654,False
