variant_id,learning_rate,model_seed_count,parameter_count,mean_best_validation_rel_l2,min_best_validation_rel_l2,max_best_validation_rel_l2,mean_endpoint_validation_rel_l2,total_train_seconds,selection_scope,global_validation_champion
r32_p444,0.001,3,47233,0.18822284266352654,0.18769361227750778,0.18917187824845313,0.18825152814388277,6.284540542000286,validation_only,False
r32_p444,0.002,3,47233,0.18596733634670573,0.18550316914916037,0.1866271063685417,0.18601471632719038,6.141213332999996,validation_only,False
r32_p444,0.004,3,47233,0.18845317115386329,0.18671710789203644,0.18942576348781587,0.18847828855117163,6.373001416000079,validation_only,False
r48_p244,0.001,3,28833,0.1919612055023511,0.1909063458442688,0.19287953525781631,0.19199092636505763,6.058534543000405,validation_only,False
r48_p244,0.002,3,28833,0.18801789581775666,0.18752762228250502,0.18885585218667983,0.18803794632355372,5.935240791000524,validation_only,False
r48_p244,0.004,3,28833,0.18686221788326898,0.18667860329151154,0.18713972419500352,0.1868721251686414,6.133825584000078,validation_only,False
r48_p248,0.001,3,49313,0.18670139635602634,0.18653634041547776,0.18679061457514762,0.18670525376995406,6.531706040999779,validation_only,False
r48_p248,0.002,3,49313,0.18583467081189156,0.1854587748646736,0.18621760606765747,0.18584820056955018,6.273180874999525,validation_only,False
r48_p248,0.004,3,49313,0.18731485332051914,0.18652426898479463,0.18854141011834144,0.18733466416597366,6.297529458000554,validation_only,False
r48_p284,0.001,3,49313,0.18679242928822837,0.18647969961166383,0.18721989467740058,0.18679486016432442,6.3389047080004275,validation_only,False
r48_p284,0.002,3,49313,0.18521712621053063,0.1849372923374176,0.18565443605184556,0.18522990221778554,6.544095707999986,validation_only,False
r48_p284,0.004,3,49313,0.18730959991614027,0.1855108618736267,0.18986702412366868,0.18732524837056796,6.392369457999848,validation_only,False
r48_p444_reference,0.001,3,49313,0.18859483549992243,0.18761174529790878,0.19020867049694062,0.1886032948891322,7.433840333999797,validation_only,False
r48_p444_reference,0.002,3,49313,0.1861461341381073,0.1859390392899513,0.18638504296541214,0.18614935179551442,6.340147499999603,validation_only,False
r48_p444_reference,0.004,3,49313,0.18649021883805594,0.18553879782557486,0.18752591237425803,0.18651236221194267,6.27038229100026,validation_only,False
r48_p822,0.001,3,28833,0.20253501037756602,0.20187729895114898,0.20289192646741866,0.20253822952508926,6.02976362399977,validation_only,False
r48_p822,0.002,3,28833,0.19989105115334194,0.199522203207016,0.20033494681119918,0.19991893420616788,5.93479441799991,validation_only,False
r48_p822,0.004,3,28833,0.196057170132796,0.19519272148609162,0.19776225537061692,0.19617095440626145,5.8726529569994455,validation_only,False
r64_p444,0.001,3,51393,0.18682928582032524,0.1864506982266903,0.18727123439311982,0.18687860518693922,6.770632375000332,validation_only,False
r64_p444,0.002,3,51393,0.18519633313020067,0.18492553681135177,0.18540676385164262,0.18522032598654428,6.406941167000241,validation_only,True
r64_p444,0.004,3,51393,0.18775221953789392,0.18717030361294745,0.18861702531576158,0.18777601942420005,6.417641417000141,validation_only,False
r96_p444,0.001,3,55553,0.18721586043636007,0.18641423508524896,0.18805860504508018,0.18724539031585055,7.174871332999828,validation_only,False
r96_p444,0.002,3,55553,0.18523142064611117,0.1849711447954178,0.18563705012202264,0.18525674839814502,7.009814958000334,validation_only,False
r96_p444,0.004,3,55553,0.1869923119743665,0.18626420125365256,0.18811767920851707,0.18699526737133662,6.724324500999046,validation_only,False
