strategy,model_seed,independent_field_count,domain_equal_mean_field_superiority_vs_base24_pct
base_24,20260901,128,0.0
base_24,20260902,128,0.0
base_24,20260903,128,0.0
carry_adam_long_cosine,20260901,128,3.131116663805146
carry_adam_long_cosine,20260902,128,2.878933087282915
carry_adam_long_cosine,20260903,128,2.851672328746259
carry_adam_restart_cosine,20260901,128,3.151411505622759
carry_adam_restart_cosine,20260902,128,2.698021938465674
carry_adam_restart_cosine,20260903,128,2.5087161839160803
restart_adam_restart_cosine,20260901,128,2.4456837521889963
restart_adam_restart_cosine,20260902,128,2.0709654524662424
restart_adam_restart_cosine,20260903,128,1.9555608420988295
