geometry_id,partition,source_index,sample_seed,source_split,family_id,noise_level,field_rel_l2,observed_reprojection_rel_l2,audit_reprojection_rel_l2
g_001011111,train,160,30360821,val,0,0.02,0.39516356587409973,0.36321353831748826,0.3735868213087081
g_001011111,train,161,30360822,val,0,0.05,0.46757370233535767,0.4408237187184198,0.4426807384892155
g_001011111,train,162,30360823,val,0,0.02,0.33639755845069885,0.2995532045819451,0.3038088217066864
g_001011111,train,163,30360824,val,0,0.05,0.3491935133934021,0.3185069703076996,0.3660979408326565
g_001011111,train,164,30360825,val,0,0.02,0.3617834448814392,0.3340571601326804,0.3099805408076184
g_001011111,train,165,30360826,val,0,0.05,0.40493473410606384,0.37463334423552064,0.36351735857474443
g_001011111,train,166,30360827,val,1,0.02,0.30177590250968933,0.2070034361265937,0.4158723104031564
g_001011111,train,167,30360828,val,1,0.05,0.37663936614990234,0.25757577463804193,0.5653575180090024
g_001011111,train,168,30360829,val,1,0.02,0.31882765889167786,0.22729126207985786,0.4605960079145556
g_001011111,train,169,30360830,val,1,0.05,0.33135607838630676,0.2543130245168193,0.4048636307085333
g_001011111,train,170,30360831,val,1,0.02,0.3369099795818329,0.27512443315784346,0.5002386163504574
g_001011111,train,171,30360832,val,1,0.05,0.3126530051231384,0.23812244891401538,0.45432145134119417
g_001011111,train,172,30360833,val,0,0.02,0.4190809428691864,0.3783577075939103,0.449738007739326
g_001011111,train,173,30360834,val,0,0.05,0.46068018674850464,0.41743962264789675,0.46140316851543595
g_001011111,train,174,30360835,val,0,0.02,0.35777512192726135,0.32953943804184743,0.30139282246978855
g_001011111,train,175,30360836,val,0,0.05,0.41593217849731445,0.38461198977376876,0.4002914789985352
g_001011111,train,176,30360837,val,0,0.02,0.35484302043914795,0.29296433018843543,0.30373115756097857
g_001011111,train,177,30360838,val,0,0.05,0.4066644012928009,0.3794069920202304,0.361166311452514
g_001011111,train,178,30360839,val,1,0.02,0.2774031162261963,0.23419940748705262,0.3584563666502674
