geometry_id,geometry_partition,mask_bits,active_angles_degrees,maximum_gap_degrees,operator_condition_nonzero,count_test_family_ood,count_test_iid,count_test_joint_ood,count_test_noise_ood,count_train,count_val,total_count
g_001011111,train,001011111,"40,80,100,120,140,160",60.0,17.870129949113693,0,0,0,0,10,0,10
g_010011111,geometry_ood,010011111,"20,80,100,120,140,160",60.0,18.67524730840355,0,8,0,8,0,0,16
g_011001111,train,011001111,"20,40,100,120,140,160",60.0,19.66841878814511,0,0,0,0,10,0,10
g_011010111,validation,011010111,"20,40,80,120,140,160",40.0,18.760639334387648,0,0,0,0,0,10,10
g_011011011,train,011011011,"20,40,80,100,140,160",40.0,18.27872991759168,0,0,0,0,10,0,10
g_011011101,geometry_ood,011011101,"20,40,80,100,120,160",40.0,17.826768283778982,0,8,0,8,0,0,16
g_011011110,train,011011110,"20,40,80,100,120,140",60.0,17.562367389432733,0,0,0,0,10,0,10
g_100011111,stress,100011111,"0,80,100,120,140,160",80.0,34.99058148156499,8,0,8,0,0,0,16
g_101001111,train,101001111,"0,40,100,120,140,160",60.0,36.78167975982175,0,0,0,0,10,0,10
g_101010111,train,101010111,"0,40,80,120,140,160",40.0,36.22246897283205,0,0,0,0,10,0,10
g_101011011,train,101011011,"0,40,80,100,140,160",40.0,34.3889946056109,0,0,0,0,10,0,10
g_101011101,train,101011101,"0,40,80,100,120,160",40.0,30.56910265494614,0,0,0,0,10,0,10
g_101011110,validation,101011110,"0,40,80,100,120,140",40.0,22.516500401286173,0,0,0,0,0,10,10
g_110001111,stress,110001111,"0,20,100,120,140,160",80.0,49.57622832913818,8,0,8,0,0,0,16
g_110010111,train,110010111,"0,20,80,120,140,160",60.0,52.406394938107574,0,0,0,0,10,0,10
g_110011011,train,110011011,"0,20,80,100,140,160",60.0,49.45201517318665,0,0,0,0,10,0,10
g_110011101,train,110011101,"0,20,80,100,120,160",60.0,45.37295589822684,0,0,0,0,10,0,10
g_110011110,train,110011110,"0,20,80,100,120,140",60.0,27.826519328725542,0,0,0,0,10,0,10
g_111000111,stress,111000111,"0,20,40,120,140,160",80.0,59.82195845400431,8,0,8,0,0,0,16
g_111001011,train,111001011,"0,20,40,100,140,160",60.0,56.045332235622126,0,0,0,0,10,0,10
g_111001101,geometry_ood,111001101,"0,20,40,100,120,160",60.0,51.45518917185494,0,8,0,8,0,0,16
g_111001110,validation,111001110,"0,20,40,100,120,140",60.0,33.728322695831565,0,0,0,0,0,10,10
g_111010011,stress,111010011,"0,20,40,80,140,160",60.0,56.04533446858425,8,0,8,0,0,0,16
g_111010101,train,111010101,"0,20,40,80,120,160",40.0,50.984423580126,0,0,0,0,10,0,10
g_111010110,validation,111010110,"0,20,40,80,120,140",40.0,33.331508623684364,0,0,0,0,0,10,10
g_111011001,train,111011001,"0,20,40,80,100,160",60.0,49.45201955522627,0,0,0,0,10,0,10
g_111011010,geometry_ood,111011010,"0,20,40,80,100,140",40.0,34.38900734817207,0,8,0,8,0,0,16
g_111011100,train,111011100,"0,20,40,80,100,120",60.0,32.67780550147642,0,0,0,0,10,0,10
