channel_index,channel_name
0,validation_tuned_ridge_lift
1,support
2,view_fraction
3,camera_0_active
4,camera_1_active
5,camera_2_active
6,camera_3_active
7,camera_4_active
8,camera_5_active
9,camera_6_active
10,camera_7_active
11,camera_8_active
12,z
13,y
14,x
15,ray_backprojection_camera_0
16,ray_backprojection_camera_1
17,ray_backprojection_camera_2
18,ray_backprojection_camera_3
19,ray_backprojection_camera_4
20,ray_backprojection_camera_5
21,ray_backprojection_camera_6
22,ray_backprojection_camera_7
23,ray_backprojection_camera_8
24,camera_0_sin_active
25,camera_1_sin_active
26,camera_2_sin_active
27,camera_3_sin_active
28,camera_4_sin_active
29,camera_5_sin_active
30,camera_6_sin_active
31,camera_7_sin_active
32,camera_8_sin_active
33,camera_0_cos_active
34,camera_1_cos_active
35,camera_2_cos_active
36,camera_3_cos_active
37,camera_4_cos_active
38,camera_5_cos_active
39,camera_6_cos_active
40,camera_7_cos_active
41,camera_8_cos_active
