training_arm,method,model_seed,source_split,pair_index,source_index,sample_seed,geometry_id,geometry_partition,family_id,noise_level,field_rel_l2,audit_reprojection_rel_l2
m1_repeat,locked_fno,20261401,val,0,180,30360841,g_011010111,validation,1,0.02,0.40337780117988586,0.5934568643569946
m1_repeat,locked_fno,20261401,val,1,180,30360841,g_101011110,validation,1,0.02,0.32288020849227905,0.552548885345459
m1_repeat,locked_fno,20261401,val,2,180,30360841,g_111001110,validation,1,0.02,0.537263035774231,0.7255735397338867
m1_repeat,locked_fno,20261401,val,3,180,30360841,g_111010110,validation,1,0.02,0.4059375524520874,0.5896586179733276
m1_repeat,locked_fno,20261401,val,4,171,30360832,g_011010111,validation,1,0.05,0.3831580579280853,0.42467623949050903
m1_repeat,locked_fno,20261401,val,5,171,30360832,g_101011110,validation,1,0.05,0.201957568526268,0.31961169838905334
m1_repeat,locked_fno,20261401,val,6,171,30360832,g_111001110,validation,1,0.05,0.31614431738853455,0.5307779312133789
m1_repeat,locked_fno,20261401,val,7,171,30360832,g_111010110,validation,1,0.05,0.38760673999786377,0.4277552366256714
m1_repeat,locked_fno,20261401,val,8,160,30360821,g_011010111,validation,0,0.02,0.24018742144107819,0.2389223724603653
m1_repeat,locked_fno,20261401,val,9,160,30360821,g_101011110,validation,0,0.02,0.19682861864566803,0.16017431020736694
m1_repeat,locked_fno,20261401,val,10,160,30360821,g_111001110,validation,0,0.02,0.2067885845899582,0.25528421998023987
m1_repeat,locked_fno,20261401,val,11,160,30360821,g_111010110,validation,0,0.02,0.21208147704601288,0.19870471954345703
m1_repeat,locked_fno,20261401,val,12,196,30360857,g_011010111,validation,0,0.02,0.21953938901424408,0.20736093819141388
m1_repeat,locked_fno,20261401,val,13,196,30360857,g_101011110,validation,0,0.02,0.17168928682804108,0.13830244541168213
m1_repeat,locked_fno,20261401,val,14,196,30360857,g_111001110,validation,0,0.02,0.2220672070980072,0.34100428223609924
m1_repeat,locked_fno,20261401,val,15,196,30360857,g_111010110,validation,0,0.02,0.20053613185882568,0.19110053777694702
m1_repeat,locked_fno,20261401,val,16,174,30360835,g_011010111,validation,0,0.02,0.18271847069263458,0.16101720929145813
m1_repeat,locked_fno,20261401,val,17,174,30360835,g_101011110,validation,0,0.02,0.11309163272380829,0.10748849809169769
