training_arm,method,method_label,source_split,sample_metric_rows,independent_field_count,layouts_per_field,model_seed_count,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2
m1_repeat,correct_geometry,Correct-geometry GC-SRO,test_family_ood,384,32,4,3,0.6008196249604225,0.597586378455162,0.669951145350933,0.7395237089755634
m1_repeat,correct_geometry,Correct-geometry GC-SRO,test_iid,384,32,4,3,0.24293604110910866,0.2121285529186328,0.3587793132911127,0.3433503316482529
m1_repeat,correct_geometry,Correct-geometry GC-SRO,test_joint_ood,384,32,4,3,0.606518552172929,0.6050252790252367,0.6639880165457726,0.7469241737077633
m1_repeat,correct_geometry,Correct-geometry GC-SRO,test_noise_ood,384,32,4,3,0.25128065100094926,0.1988728754222393,0.38359679579734807,0.3361649024882354
m1_repeat,correct_geometry,Correct-geometry GC-SRO,val,480,40,4,3,0.24725562551369268,0.20382401036719483,0.38531311800082524,0.3223830239381641
m1_repeat,k_cardinality,K-cardinality adapter,test_family_ood,384,32,4,3,0.6012026054474215,0.5978418638308842,0.6704173813263575,0.7398764973816773
m1_repeat,k_cardinality,K-cardinality adapter,test_iid,384,32,4,3,0.24311834397182489,0.21238960760335127,0.35877744642396775,0.34369704622076824
m1_repeat,k_cardinality,K-cardinality adapter,test_joint_ood,384,32,4,3,0.6069210893474519,0.6054185951749483,0.6645723407467207,0.7472832423324386
m1_repeat,k_cardinality,K-cardinality adapter,test_noise_ood,384,32,4,3,0.251470632191437,0.19914208849271137,0.3834487266838551,0.33660897115866345
m1_repeat,k_cardinality,K-cardinality adapter,val,480,40,4,3,0.2474120196265479,0.20412635368605456,0.3853028553227584,0.3224835589683304
m1_repeat,locked_fno,Locked fixed-layout FNO,test_family_ood,384,32,4,3,0.6026858740951866,0.5990339443087578,0.6703555837273598,0.750331586226821
m1_repeat,locked_fno,Locked fixed-layout FNO,test_iid,384,32,4,3,0.24981828610179946,0.22087913006544113,0.3585939165204764,0.35474467772291973
m1_repeat,locked_fno,Locked fixed-layout FNO,test_joint_ood,384,32,4,3,0.6077557397074997,0.6061228439211845,0.6631841644644737,0.7572551532648504
m1_repeat,locked_fno,Locked fixed-layout FNO,test_noise_ood,384,32,4,3,0.2575838665943593,0.21471489034593105,0.3797765284776688,0.3453071204130538
m1_repeat,locked_fno,Locked fixed-layout FNO,val,480,40,4,3,0.25782617800869045,0.2313978374004364,0.3869113430380821,0.3262929832562804
m1_repeat,shuffled_geometry,Shuffled-geometry GC-SRO,test_family_ood,384,32,4,3,0.6010244224841396,0.5977725783983867,0.6700956756869952,0.7399039729498327
m1_repeat,shuffled_geometry,Shuffled-geometry GC-SRO,test_iid,384,32,4,3,0.24305210864016163,0.2122774813324213,0.35872881375253207,0.3436256424174644
m1_repeat,shuffled_geometry,Shuffled-geometry GC-SRO,test_joint_ood,384,32,4,3,0.6067207490559667,0.6052521094679832,0.6641549626986185,0.7473121038638055
m1_repeat,shuffled_geometry,Shuffled-geometry GC-SRO,test_noise_ood,384,32,4,3,0.2513798399595544,0.1990468961497148,0.3834184167285761,0.3364881889234918
m1_repeat,shuffled_geometry,Shuffled-geometry GC-SRO,val,480,40,4,3,0.24730901708826422,0.20384244062006474,0.38525707299510636,0.3223609512516608
m1_repeat,static,Static spectral adapter,test_family_ood,384,32,4,3,0.6012040136847645,0.5978327170014381,0.6704329560200374,0.7398712108843029
m1_repeat,static,Static spectral adapter,test_iid,384,32,4,3,0.24313076424490038,0.2124255020171404,0.35877858772873883,0.3436961201368831
