geometry_id,geometry_partition,ray_camera_index,correct_angle_camera_index,shuffled_angle_camera_index,fixed_point,active_camera_count,mapping_rule
g_001011111,train,2,2,4,False,6,cyclic angle reassignment within unchanged active ray set
g_001011111,train,4,4,5,False,6,cyclic angle reassignment within unchanged active ray set
g_001011111,train,5,5,6,False,6,cyclic angle reassignment within unchanged active ray set
g_001011111,train,6,6,7,False,6,cyclic angle reassignment within unchanged active ray set
g_001011111,train,7,7,8,False,6,cyclic angle reassignment within unchanged active ray set
g_001011111,train,8,8,2,False,6,cyclic angle reassignment within unchanged active ray set
g_010011111,geometry_ood,1,1,4,False,6,cyclic angle reassignment within unchanged active ray set
g_010011111,geometry_ood,4,4,5,False,6,cyclic angle reassignment within unchanged active ray set
g_010011111,geometry_ood,5,5,6,False,6,cyclic angle reassignment within unchanged active ray set
g_010011111,geometry_ood,6,6,7,False,6,cyclic angle reassignment within unchanged active ray set
g_010011111,geometry_ood,7,7,8,False,6,cyclic angle reassignment within unchanged active ray set
g_010011111,geometry_ood,8,8,1,False,6,cyclic angle reassignment within unchanged active ray set
g_011001111,train,1,1,2,False,6,cyclic angle reassignment within unchanged active ray set
g_011001111,train,2,2,5,False,6,cyclic angle reassignment within unchanged active ray set
g_011001111,train,5,5,6,False,6,cyclic angle reassignment within unchanged active ray set
g_011001111,train,6,6,7,False,6,cyclic angle reassignment within unchanged active ray set
g_011001111,train,7,7,8,False,6,cyclic angle reassignment within unchanged active ray set
g_011001111,train,8,8,1,False,6,cyclic angle reassignment within unchanged active ray set
g_011010111,validation,1,1,2,False,6,cyclic angle reassignment within unchanged active ray set
g_011010111,validation,2,2,4,False,6,cyclic angle reassignment within unchanged active ray set
g_011010111,validation,4,4,6,False,6,cyclic angle reassignment within unchanged active ray set
g_011010111,validation,6,6,7,False,6,cyclic angle reassignment within unchanged active ray set
g_011010111,validation,7,7,8,False,6,cyclic angle reassignment within unchanged active ray set
g_011010111,validation,8,8,1,False,6,cyclic angle reassignment within unchanged active ray set
g_011011011,train,1,1,2,False,6,cyclic angle reassignment within unchanged active ray set
g_011011011,train,2,2,4,False,6,cyclic angle reassignment within unchanged active ray set
g_011011011,train,4,4,5,False,6,cyclic angle reassignment within unchanged active ray set
g_011011011,train,5,5,7,False,6,cyclic angle reassignment within unchanged active ray set
g_011011011,train,7,7,8,False,6,cyclic angle reassignment within unchanged active ray set
g_011011011,train,8,8,1,False,6,cyclic angle reassignment within unchanged active ray set
g_011011101,geometry_ood,1,1,2,False,6,cyclic angle reassignment within unchanged active ray set
g_011011101,geometry_ood,2,2,4,False,6,cyclic angle reassignment within unchanged active ray set
g_011011101,geometry_ood,4,4,5,False,6,cyclic angle reassignment within unchanged active ray set
g_011011101,geometry_ood,5,5,6,False,6,cyclic angle reassignment within unchanged active ray set
g_011011101,geometry_ood,6,6,8,False,6,cyclic angle reassignment within unchanged active ray set
g_011011101,geometry_ood,8,8,1,False,6,cyclic angle reassignment within unchanged active ray set
g_011011110,train,1,1,2,False,6,cyclic angle reassignment within unchanged active ray set
g_011011110,train,2,2,4,False,6,cyclic angle reassignment within unchanged active ray set
g_011011110,train,4,4,5,False,6,cyclic angle reassignment within unchanged active ray set
g_011011110,train,5,5,6,False,6,cyclic angle reassignment within unchanged active ray set
g_011011110,train,6,6,7,False,6,cyclic angle reassignment within unchanged active ray set
g_011011110,train,7,7,1,False,6,cyclic angle reassignment within unchanged active ray set
g_100011111,stress,0,0,4,False,6,cyclic angle reassignment within unchanged active ray set
g_100011111,stress,4,4,5,False,6,cyclic angle reassignment within unchanged active ray set
g_100011111,stress,5,5,6,False,6,cyclic angle reassignment within unchanged active ray set
g_100011111,stress,6,6,7,False,6,cyclic angle reassignment within unchanged active ray set
g_100011111,stress,7,7,8,False,6,cyclic angle reassignment within unchanged active ray set
g_100011111,stress,8,8,0,False,6,cyclic angle reassignment within unchanged active ray set
g_101001111,train,0,0,2,False,6,cyclic angle reassignment within unchanged active ray set
g_101001111,train,2,2,5,False,6,cyclic angle reassignment within unchanged active ray set
g_101001111,train,5,5,6,False,6,cyclic angle reassignment within unchanged active ray set
g_101001111,train,6,6,7,False,6,cyclic angle reassignment within unchanged active ray set
g_101001111,train,7,7,8,False,6,cyclic angle reassignment within unchanged active ray set
g_101001111,train,8,8,0,False,6,cyclic angle reassignment within unchanged active ray set
g_101010111,train,0,0,2,False,6,cyclic angle reassignment within unchanged active ray set
g_101010111,train,2,2,4,False,6,cyclic angle reassignment within unchanged active ray set
g_101010111,train,4,4,6,False,6,cyclic angle reassignment within unchanged active ray set
g_101010111,train,6,6,7,False,6,cyclic angle reassignment within unchanged active ray set
g_101010111,train,7,7,8,False,6,cyclic angle reassignment within unchanged active ray set
g_101010111,train,8,8,0,False,6,cyclic angle reassignment within unchanged active ray set
g_101011011,train,0,0,2,False,6,cyclic angle reassignment within unchanged active ray set
g_101011011,train,2,2,4,False,6,cyclic angle reassignment within unchanged active ray set
g_101011011,train,4,4,5,False,6,cyclic angle reassignment within unchanged active ray set
g_101011011,train,5,5,7,False,6,cyclic angle reassignment within unchanged active ray set
g_101011011,train,7,7,8,False,6,cyclic angle reassignment within unchanged active ray set
g_101011011,train,8,8,0,False,6,cyclic angle reassignment within unchanged active ray set
g_101011101,train,0,0,2,False,6,cyclic angle reassignment within unchanged active ray set
g_101011101,train,2,2,4,False,6,cyclic angle reassignment within unchanged active ray set
g_101011101,train,4,4,5,False,6,cyclic angle reassignment within unchanged active ray set
g_101011101,train,5,5,6,False,6,cyclic angle reassignment within unchanged active ray set
g_101011101,train,6,6,8,False,6,cyclic angle reassignment within unchanged active ray set
g_101011101,train,8,8,0,False,6,cyclic angle reassignment within unchanged active ray set
g_101011110,validation,0,0,2,False,6,cyclic angle reassignment within unchanged active ray set
g_101011110,validation,2,2,4,False,6,cyclic angle reassignment within unchanged active ray set
g_101011110,validation,4,4,5,False,6,cyclic angle reassignment within unchanged active ray set
g_101011110,validation,5,5,6,False,6,cyclic angle reassignment within unchanged active ray set
g_101011110,validation,6,6,7,False,6,cyclic angle reassignment within unchanged active ray set
g_101011110,validation,7,7,0,False,6,cyclic angle reassignment within unchanged active ray set
g_110001111,stress,0,0,1,False,6,cyclic angle reassignment within unchanged active ray set
g_110001111,stress,1,1,5,False,6,cyclic angle reassignment within unchanged active ray set
g_110001111,stress,5,5,6,False,6,cyclic angle reassignment within unchanged active ray set
g_110001111,stress,6,6,7,False,6,cyclic angle reassignment within unchanged active ray set
g_110001111,stress,7,7,8,False,6,cyclic angle reassignment within unchanged active ray set
g_110001111,stress,8,8,0,False,6,cyclic angle reassignment within unchanged active ray set
g_110010111,train,0,0,1,False,6,cyclic angle reassignment within unchanged active ray set
g_110010111,train,1,1,4,False,6,cyclic angle reassignment within unchanged active ray set
g_110010111,train,4,4,6,False,6,cyclic angle reassignment within unchanged active ray set
g_110010111,train,6,6,7,False,6,cyclic angle reassignment within unchanged active ray set
g_110010111,train,7,7,8,False,6,cyclic angle reassignment within unchanged active ray set
g_110010111,train,8,8,0,False,6,cyclic angle reassignment within unchanged active ray set
g_110011011,train,0,0,1,False,6,cyclic angle reassignment within unchanged active ray set
g_110011011,train,1,1,4,False,6,cyclic angle reassignment within unchanged active ray set
g_110011011,train,4,4,5,False,6,cyclic angle reassignment within unchanged active ray set
g_110011011,train,5,5,7,False,6,cyclic angle reassignment within unchanged active ray set
g_110011011,train,7,7,8,False,6,cyclic angle reassignment within unchanged active ray set
g_110011011,train,8,8,0,False,6,cyclic angle reassignment within unchanged active ray set
g_110011101,train,0,0,1,False,6,cyclic angle reassignment within unchanged active ray set
g_110011101,train,1,1,4,False,6,cyclic angle reassignment within unchanged active ray set
g_110011101,train,4,4,5,False,6,cyclic angle reassignment within unchanged active ray set
g_110011101,train,5,5,6,False,6,cyclic angle reassignment within unchanged active ray set
g_110011101,train,6,6,8,False,6,cyclic angle reassignment within unchanged active ray set
g_110011101,train,8,8,0,False,6,cyclic angle reassignment within unchanged active ray set
g_110011110,train,0,0,1,False,6,cyclic angle reassignment within unchanged active ray set
g_110011110,train,1,1,4,False,6,cyclic angle reassignment within unchanged active ray set
g_110011110,train,4,4,5,False,6,cyclic angle reassignment within unchanged active ray set
g_110011110,train,5,5,6,False,6,cyclic angle reassignment within unchanged active ray set
g_110011110,train,6,6,7,False,6,cyclic angle reassignment within unchanged active ray set
g_110011110,train,7,7,0,False,6,cyclic angle reassignment within unchanged active ray set
g_111000111,stress,0,0,1,False,6,cyclic angle reassignment within unchanged active ray set
g_111000111,stress,1,1,2,False,6,cyclic angle reassignment within unchanged active ray set
g_111000111,stress,2,2,6,False,6,cyclic angle reassignment within unchanged active ray set
