training_arm,method,method_label,source_split,sample_metric_rows,independent_field_count,layouts_per_field,model_seed_count,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2
m4_counterfactual,correct_ray_set,Correct local ray set,test_family_ood,384,32,4,3,0.5981949161117275,0.5994341572125752,0.6540140569210052,0.7373540990520269
m4_counterfactual,correct_ray_set,Correct local ray set,test_iid,384,32,4,3,0.23178382406088835,0.20010988228023052,0.3498037859797478,0.34015552115549025
m4_counterfactual,correct_ray_set,Correct local ray set,test_joint_ood,384,32,4,3,0.602138332168882,0.5991577679912249,0.6545538673798244,0.7432683027970294
m4_counterfactual,correct_ray_set,Correct local ray set,test_noise_ood,384,32,4,3,0.23775129216179872,0.19037220751245815,0.3605734154582024,0.331398178183008
m4_counterfactual,correct_ray_set,Correct local ray set,val,480,40,4,3,0.2336322132963687,0.18570521225531894,0.37552484907209877,0.3155589062254876
m4_counterfactual,geometry_only,Geometry-only local set,test_family_ood,384,32,4,3,0.5934553449042141,0.5948121274511019,0.6477813159426054,0.740680041257292
m4_counterfactual,geometry_only,Geometry-only local set,test_iid,384,32,4,3,0.23492550407536328,0.19853315502405167,0.3516800397386154,0.3445149053780672
m4_counterfactual,geometry_only,Geometry-only local set,test_joint_ood,384,32,4,3,0.5966104836358379,0.5939392199118931,0.6534673407673837,0.7465881050253907
m4_counterfactual,geometry_only,Geometry-only local set,test_noise_ood,384,32,4,3,0.23975099190526333,0.18854053070147833,0.363991508881251,0.33466647648795816
m4_counterfactual,geometry_only,Geometry-only local set,val,480,40,4,3,0.23703448595479132,0.18361018411815166,0.37856444741288825,0.32039267717239756
m4_counterfactual,locked_fno,Locked fixed-layout FNO,test_family_ood,384,32,4,3,0.6026858740951866,0.5990339443087578,0.6703555837273598,0.750331586226821
m4_counterfactual,locked_fno,Locked fixed-layout FNO,test_iid,384,32,4,3,0.24981828610179946,0.22087913006544113,0.3585939165204764,0.35474467772291973
m4_counterfactual,locked_fno,Locked fixed-layout FNO,test_joint_ood,384,32,4,3,0.6077557397074997,0.6061228439211845,0.6631841644644737,0.7572551532648504
m4_counterfactual,locked_fno,Locked fixed-layout FNO,test_noise_ood,384,32,4,3,0.2575838665943593,0.21471489034593105,0.3797765284776688,0.3453071204130538
m4_counterfactual,locked_fno,Locked fixed-layout FNO,val,480,40,4,3,0.25782617800869045,0.2313978374004364,0.3869113430380821,0.3262929832562804
m4_counterfactual,pooled_static,Pooled local evidence,test_family_ood,384,32,4,3,0.5921709604250889,0.5927686269084612,0.6472397526105245,0.7406427559132377
m4_counterfactual,pooled_static,Pooled local evidence,test_iid,384,32,4,3,0.23371534321146709,0.19689128113289672,0.35063892056544627,0.34540182709073025
m4_counterfactual,pooled_static,Pooled local evidence,test_joint_ood,384,32,4,3,0.5957066488141814,0.5929386342565219,0.6528181329369546,0.7470177481882274
m4_counterfactual,pooled_static,Pooled local evidence,test_noise_ood,384,32,4,3,0.23869689427859458,0.18778950410584608,0.36106996312737466,0.33586639567511156
m4_counterfactual,pooled_static,Pooled local evidence,val,480,40,4,3,0.23536231815814973,0.18200832605361938,0.37703926066557564,0.3203859892052909
m4_counterfactual,shuffled_pairing,Shuffled ray-angle pairing,test_family_ood,384,32,4,3,0.5965156951763978,0.5990392242868742,0.6467633381485939,0.738862554077059
m4_counterfactual,shuffled_pairing,Shuffled ray-angle pairing,test_iid,384,32,4,3,0.23205572149405873,0.20073538584013778,0.3493069662402074,0.34155202594896156
m4_counterfactual,shuffled_pairing,Shuffled ray-angle pairing,test_joint_ood,384,32,4,3,0.6003588500122229,0.598418725033601,0.6515035430590311,0.7453783817278842
m4_counterfactual,shuffled_pairing,Shuffled ray-angle pairing,test_noise_ood,384,32,4,3,0.2376407038536854,0.19074007496237755,0.35735879465937614,0.33262273578050855
m4_counterfactual,shuffled_pairing,Shuffled ray-angle pairing,val,480,40,4,3,0.23312339343441027,0.18563424547513324,0.37409942237039406,0.316277533924828
