method,method_label,source_split,independent_field_count,layouts_per_field,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,mean_used_noisy_reprojection_rel_l2,mean_used_clean_reprojection_rel_l2,mean_correction_vs_feasible_relative_l2,mean_outside_support_relative_l2,mean_negative_voxel_fraction
locked_fno_raw,Locked FNO (raw),test_family_ood,32,4,0.6026858733909988,0.5990339607066635,0.670355581950953,0.750331595143636,0.2557241330200014,0.2547392486629682,0.15280448091567217,0.15061070969111423,0.017642974853515625
feasible_fno,FNO + nonnegative support,test_family_ood,32,4,0.5907266854146428,0.5894615892754078,0.6533736564694274,0.7494597121916073,0.2777274426007492,0.27661167488928273,0.0,0.0,0.0
landweber_standard,Projected Landweber,test_family_ood,32,4,0.4536048064552755,0.4525895005209092,0.4977668364979923,0.5723857191373652,0.04954351926759963,0.04893750934601957,0.3653358975250103,0.0,0.0
landweber_jacobi,Jacobi-projected Landweber,test_family_ood,32,4,0.4533933464375492,0.45197726079728623,0.4970886008047343,0.572498191833997,0.049636786584089765,0.04904473479297319,0.3650008172943744,0.0,0.0
locked_fno_raw,Locked FNO (raw),test_iid,32,4,0.24981828627627373,0.22087912140916627,0.3585939367827472,0.35474468267210124,0.15456738715894247,0.1524819181566358,0.07601453484627324,0.07531065059013381,0.088897705078125
feasible_fno,FNO + nonnegative support,test_iid,32,4,0.23868595208582424,0.21209780194115205,0.3486407232956892,0.3523634837812968,0.16318086686698308,0.16073564715827568,0.0,0.0,0.0
landweber_standard,Projected Landweber,test_iid,32,4,0.14017404056936875,0.10009385047812877,0.23931721027036465,0.21173327082924995,0.026297362322866856,0.027439703640433744,0.1903158133262502,0.0,0.0
landweber_jacobi,Jacobi-projected Landweber,test_iid,32,4,0.1401045334562052,0.09986130705827212,0.23991741481299406,0.21155950957667596,0.026352212940783378,0.027452089084962536,0.18999558772945752,0.0,0.0
locked_fno_raw,Locked FNO (raw),test_joint_ood,32,4,0.6077557383589332,0.6061228548123729,0.6631841686750272,0.7572551496586504,0.26821750190383875,0.2616954023419268,0.15332868884199558,0.15120501598509212,0.014430999755859375
feasible_fno,FNO + nonnegative support,test_joint_ood,32,4,0.5955741837879216,0.5925259052491009,0.6478047383513648,0.7572278486937778,0.29309545615224275,0.2856538567638133,0.0,0.0,0.0
landweber_standard,Projected Landweber,test_joint_ood,32,4,0.4620644894388974,0.4577988898556036,0.510965768644612,0.5825339696861479,0.08448300188835434,0.08109420365397454,0.37153029049278896,0.0,0.0
landweber_jacobi,Jacobi-projected Landweber,test_joint_ood,32,4,0.4618156962386377,0.45792221868460825,0.5105303829820207,0.5829874453339605,0.08453768307189802,0.08113640158806093,0.37118312223247507,0.0,0.0
locked_fno_raw,Locked FNO (raw),test_noise_ood,32,4,0.2575838694048413,0.2147148894555363,0.37977654919945864,0.34530712598189967,0.1695597137627306,0.15818802291539213,0.07247173764779798,0.07157313458744469,0.1058197021484375
feasible_fno,FNO + nonnegative support,test_noise_ood,32,4,0.2477908013924749,0.20830987350754904,0.36959209820278943,0.3455960092649074,0.18035928083764546,0.16662810019673105,0.0,0.0,0.0
landweber_standard,Projected Landweber,test_noise_ood,32,4,0.1846225385878341,0.15117041929348007,0.29492707981751415,0.23357804321306944,0.06873404896933685,0.07045960639677007,0.20328048157471887,0.0,0.0
landweber_jacobi,Jacobi-projected Landweber,test_noise_ood,32,4,0.18422748716853604,0.15053007073128563,0.2946978389064087,0.23314237285425793,0.06878314039307254,0.07041844351678167,0.20265437909123682,0.0,0.0
locked_fno_raw,Locked FNO (raw),val,40,4,0.25782617798074214,0.23139784431729526,0.3869113235825969,0.3262929864158552,0.16416538063432615,0.16271924333778384,0.07567246987219291,0.07488165223792385,0.1372161865234375
feasible_fno,FNO + nonnegative support,val,40,4,0.24773916385946562,0.22428181136807235,0.37918962139796936,0.3257756700741389,0.17569131294581716,0.17388645067362316,0.0,0.0,0.0
landweber_standard,Projected Landweber,val,40,4,0.14708340000308337,0.09937622272141042,0.264272498217119,0.1954992370726506,0.026990049663194238,0.02873274733773894,0.19941509976550006,0.0,0.0
landweber_jacobi,Jacobi-projected Landweber,val,40,4,0.14785076687879029,0.09893722907133468,0.2671262270227752,0.1972426535412106,0.027308255293084262,0.028946122840321997,0.19795244717080065,0.0,0.0
