source_split,method,method_label,sample_count,geometry_count,maximum_iterations_per_sample,operator_a_calls_per_sample,operator_at_calls_per_sample,fno_sample_forwards,fno_actual_batch_calls,ridge_inverse_solve_count,ridge_matvec_count,initialization_runtime_seconds,refinement_runtime_seconds,evaluation_metric_forward_calls_excluded
val,locked_fno_raw,Locked FNO (raw),160,4,0,0,0,160,10,0,0,1.6123974589863792,0.0,True
val,feasible_fno,FNO + hard support,160,4,0,0,0,160,10,0,0,1.6123974589863792,0.0,True
val,ridge_raw,Tuned ridge (unwindowed),160,4,0,0,0,0,0,4,160,0.0012356660154182464,0.0,True
val,feasible_ridge,Tuned ridge + hard support,160,4,0,0,0,0,0,4,160,0.0015410829801112413,0.0,True
val,fno_geometry,FNO + geometry-normalized Landweber,160,4,64,64,64,160,10,0,0,1.6123974589863792,0.08786766699631698,True
val,fno_global,FNO + one global Landweber step,160,4,64,64,64,160,10,0,0,1.6123974589863792,0.0847083330154419,True
val,fno_quadratic,FNO + quadratic step then projection,160,4,64,129,64,160,10,0,0,1.6123974589863792,0.15589445902151056,True
val,fno_lookup,FNO + validation-tuned spectral lookup,160,4,64,64,64,160,10,0,0,1.6123974589863792,0.08448525000130758,True
val,ridge_geometry,Ridge + geometry-normalized Landweber,160,4,64,64,64,0,0,4,160,0.0015410829801112413,0.08234595900285058,True
val,ridge_global,Ridge + one global Landweber step,160,4,64,64,64,0,0,4,160,0.0015410829801112413,0.07915933401091024,True
val,ridge_quadratic,Ridge + quadratic step then projection,160,4,64,129,64,0,0,4,160,0.0015410829801112413,0.1648107090150006,True
val,ridge_lookup,Ridge + validation-tuned spectral lookup,160,4,64,64,64,0,0,4,160,0.0015410829801112413,0.07907975002308376,True
test_iid,locked_fno_raw,Locked FNO (raw),128,4,0,0,0,128,8,0,0,1.295006000000285,0.0,True
test_iid,feasible_fno,FNO + hard support,128,4,0,0,0,128,8,0,0,1.295006000000285,0.0,True
test_iid,ridge_raw,Tuned ridge (unwindowed),128,4,0,0,0,0,0,4,128,0.0009983750060200691,0.0,True
test_iid,feasible_ridge,Tuned ridge + hard support,128,4,0,0,0,0,0,4,128,0.0011968330072704703,0.0,True
test_iid,fno_geometry,FNO + geometry-normalized Landweber,128,4,64,64,64,128,8,0,0,1.295006000000285,0.06531212499248795,True
