source_split,start,method,iterations,step_sample_count,normalized_step_min,normalized_step_median,normalized_step_max,projection_change_median,projection_change_p95,projected_objective_increase_fraction,maximum_projected_objective_relative_increase,wording_boundary
val,fno,fno_quadratic,64,10240,1.4696069824549098,2.8609366062059167,4.582896616691449,0.013124707791488055,0.03466335545941459,0.0,-0.0005186089842932492,exact along unconstrained quadratic line before projection only
val,ridge,ridge_quadratic,64,10240,1.6103750476040266,2.8712790976604063,4.935447209540917,0.013201520169751107,0.05602203723960868,0.0,-0.0005327626834800618,exact along unconstrained quadratic line before projection only
test_iid,fno,fno_quadratic,64,8192,1.4424047617024036,2.17324760804972,4.535464119211945,0.013774126798724723,0.031911855044598605,0.0,-0.00046530407390586704,exact along unconstrained quadratic line before projection only
test_iid,ridge,ridge_quadratic,64,8192,1.4879459571561149,2.26062415665459,4.733348736934192,0.013859127991813719,0.04907874356536462,0.0,-0.00044280972575628537,exact along unconstrained quadratic line before projection only
test_noise_ood,fno,fno_quadratic,64,8192,1.4729654922020954,2.2269683380906313,4.112118328458881,0.031708770749214084,0.04751222515120302,0.0,-0.0003576027259725303,exact along unconstrained quadratic line before projection only
test_noise_ood,ridge,ridge_quadratic,64,8192,1.5219809693595245,2.228103947391384,4.221627471559051,0.03218636647039753,0.060424723330430634,0.0,-0.00035036060443506057,exact along unconstrained quadratic line before projection only
test_family_ood,fno,fno_quadratic,64,8192,1.8398761531737982,2.534687340937534,4.221930996593579,0.025367148628047773,0.059874192190075,0.0,-0.0047757490529978155,exact along unconstrained quadratic line before projection only
test_family_ood,ridge,ridge_quadratic,64,8192,1.828046252210774,2.588269253110136,4.840942016965019,0.024295616548661646,0.07266129891432596,0.0,-0.004550115679554019,exact along unconstrained quadratic line before projection only
test_joint_ood,fno,fno_quadratic,64,8192,2.000816604597158,2.689729385995793,3.843925149213611,0.04000014193683919,0.06869725907173464,0.0,-0.0013312312856002529,exact along unconstrained quadratic line before projection only
test_joint_ood,ridge,ridge_quadratic,64,8192,1.996625400499599,2.7788280737908497,4.248883723338554,0.03935223441046798,0.08163875293050225,0.0,-0.0012825547020227238,exact along unconstrained quadratic line before projection only
