method,method_label,source_split,independent_field_count,layouts_per_field,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,mean_used_noisy_reprojection_rel_l2,mean_used_clean_reprojection_rel_l2,mean_correction_vs_feasible_relative_l2,mean_outside_support_relative_l2,mean_negative_voxel_fraction
locked_fno_raw,Locked FNO (raw),test_family_ood,32,4,0.6026858733909988,0.5990339607066635,0.670355581950953,0.750331595143636,0.2557241330200014,0.2547392486629682,0.15280448091567217,0.15061070969111423,0.017642974853515625
feasible_fno,FNO + hard support,test_family_ood,32,4,0.5907266854146428,0.5894615892754078,0.6533736564694274,0.7494597121916073,0.2777274426007492,0.27661167488928273,0.0,0.0,0.0
ridge_raw,Tuned ridge (unwindowed),test_family_ood,32,4,0.7369176067722085,0.7403751604719465,0.7658778453384313,0.8681285960680261,0.015370412122295216,0.037158470908251306,0.6670319395496309,0.4213718007332078,0.5829277038574219
feasible_ridge,Tuned ridge + hard support,test_family_ood,32,4,0.6203013016655098,0.6238546898879378,0.6604239821491206,0.7849333013235109,0.3363548688182048,0.33528228838269664,0.0,0.0,0.0
fno_geometry,FNO + geometry-normalized Landweber,test_family_ood,32,4,0.4536048064552755,0.4525895005209092,0.4977668364979923,0.5723857191373652,0.04954351926759963,0.04893750934601957,0.3653358975250103,0.0,0.0
fno_global,FNO + one global Landweber step,test_family_ood,32,4,0.4544530516609315,0.45337057367986155,0.49847659833230806,0.5737168693824597,0.04982786590181357,0.04921651980290054,0.3639261381336329,0.0,0.0
fno_quadratic,FNO + quadratic step then projection,test_family_ood,32,4,0.4385570645719635,0.43982002745288684,0.48076538011234515,0.5484569511698263,0.044742750064220134,0.04428503857642529,0.39008962804898806,0.0,0.0
fno_lookup,FNO + validation-tuned spectral lookup,test_family_ood,32,4,0.4536048064552755,0.4525895005209092,0.4977668364979923,0.5723857191373652,0.04954351926759963,0.04893750934601957,0.3653358975250103,0.0,0.0
ridge_geometry,Ridge + geometry-normalized Landweber,test_family_ood,32,4,0.45208845426604727,0.4521696002056135,0.4957725452781658,0.572313525052533,0.04882862779347956,0.048228843461758486,0.6245674154933107,0.0,0.0
ridge_global,Ridge + one global Landweber step,test_family_ood,32,4,0.4529067476136387,0.4529300807696095,0.4964613649167757,0.5736231676986076,0.04909629749226803,0.048490670948893054,0.623212590643329,0.0,0.0
ridge_quadratic,Ridge + quadratic step then projection,test_family_ood,32,4,0.43593051297779983,0.43717425557456996,0.4779241631942718,0.5464031685604187,0.043812736805425474,0.043386123180447767,0.6524633576274121,0.0,0.0
ridge_lookup,Ridge + validation-tuned spectral lookup,test_family_ood,32,4,0.45208845426604727,0.4521696002056135,0.4957725452781658,0.572313525052533,0.04882862779347956,0.048228843461758486,0.6245674154933107,0.0,0.0
locked_fno_raw,Locked FNO (raw),test_iid,32,4,0.24981828627627373,0.22087912140916627,0.3585939367827472,0.35474468267210124,0.15456738715894247,0.1524819181566358,0.07601453484627324,0.07531065059013381,0.088897705078125
feasible_fno,FNO + hard support,test_iid,32,4,0.23868595208582424,0.21209780194115205,0.3486407232956892,0.3523634837812968,0.16318086686698308,0.16073564715827568,0.0,0.0,0.0
ridge_raw,Tuned ridge (unwindowed),test_iid,32,4,0.5616556224315253,0.5563898908406524,0.6136943370285911,0.5011318361514046,0.01516004440767902,0.03718603113354089,0.5619427152779795,0.37449069786957334,0.6451148986816406
feasible_ridge,Tuned ridge + hard support,test_iid,32,4,0.3565504794085936,0.3518651441072379,0.4314085406277312,0.4472103333129093,0.2844712170839149,0.28313946164451576,0.0,0.0,0.0
fno_geometry,FNO + geometry-normalized Landweber,test_iid,32,4,0.14017404056936875,0.10009385047812877,0.23931721027036465,0.21173327082924995,0.026297362322866856,0.027439703640433744,0.1903158133262502,0.0,0.0
fno_global,FNO + one global Landweber step,test_iid,32,4,0.14214858706573627,0.1004774637589701,0.24661949199271113,0.21948719175511278,0.027042785681839883,0.027773458700043926,0.18556728917616888,0.0,0.0
fno_quadratic,FNO + quadratic step then projection,test_iid,32,4,0.13800853707108235,0.0991095644147395,0.23530342007896707,0.20581142363760652,0.025480324580994126,0.026856615817073968,0.19435511140535341,0.0,0.0
fno_lookup,FNO + validation-tuned spectral lookup,test_iid,32,4,0.14017404056936875,0.10009385047812877,0.23931721027036465,0.21173327082924995,0.026297362322866856,0.027439703640433744,0.1903158133262502,0.0,0.0
ridge_geometry,Ridge + geometry-normalized Landweber,test_iid,32,4,0.13976549575057778,0.09785428346968252,0.2406806817672768,0.21456013684953645,0.02612007974953867,0.02731381341866498,0.439214463753261,0.0,0.0
