source_split,method,method_label,selection_origin,sample_count,geometry_count,maximum_iterations_per_sample,operator_a_calls_per_sample,operator_at_calls_per_sample,total_refinement_operator_calls_per_sample,fno_sample_forwards,fno_actual_batch_calls,ridge_inverse_solve_count,ridge_matvec_count,initialization_runtime_seconds,refinement_runtime_seconds,metric_and_final_objective_forward_calls_excluded
val,feasible_fno,FNO + hard support,inherited_v3k_d_validation,160,4,0,0,0,0,160,10,0,0,1.6399160419823602,0.0,True
val,fno_geometry,FNO + fixed Landweber,inherited_v3k_d_validation,160,4,64,64,64,128,160,10,0,0,1.6399160419823602,0.11157862498657778,True
val,fno_quadratic,FNO + quadratic step,inherited_v3k_d_validation,160,4,64,129,64,193,160,10,0,0,1.6399160419823602,0.1986949169950094,True
val,fno_pbb_strict,FNO + projected BB (strict),v3k_e_validation,160,4,64,64,64,128,160,10,0,0,1.6399160419823602,0.2008242500014603,True
val,fno_pbb_wide,FNO + projected BB (wide),v3k_e_validation,160,4,64,64,64,128,160,10,0,0,1.6399160419823602,0.20380183300585486,True
val,feasible_ridge,Ridge + hard support,inherited_v3k_d_validation,160,4,0,0,0,0,0,0,4,160,0.0015590419934596866,0.0015590419934596866,True
val,ridge_geometry,Ridge + fixed Landweber,inherited_v3k_d_validation,160,4,64,64,64,128,0,0,4,160,0.0015590419934596866,0.11150266599725,True
val,ridge_quadratic,Ridge + quadratic step,inherited_v3k_d_validation,160,4,64,129,64,193,0,0,4,160,0.0015590419934596866,0.17714049998903647,True
val,ridge_pbb_strict,Ridge + projected BB (strict),v3k_e_validation,160,4,64,64,64,128,0,0,4,160,0.0015590419934596866,0.18943866598419845,True
val,ridge_pbb_wide,Ridge + projected BB (wide),v3k_e_validation,160,4,64,64,64,128,0,0,4,160,0.0015590419934596866,0.18963937502121553,True
test_iid,feasible_fno,FNO + hard support,inherited_v3k_d_validation,128,4,0,0,0,0,128,8,0,0,1.2998689170053694,0.0,True
test_iid,fno_geometry,FNO + fixed Landweber,inherited_v3k_d_validation,128,4,64,64,64,128,128,8,0,0,1.2998689170053694,0.06817816701368429,True
test_iid,fno_quadratic,FNO + quadratic step,inherited_v3k_d_validation,128,4,64,129,64,193,128,8,0,0,1.2998689170053694,0.13926304201595485,True
test_iid,fno_pbb_strict,FNO + projected BB (strict),v3k_e_validation,128,4,64,64,64,128,128,8,0,0,1.2998689170053694,0.13352358402335085,True
test_iid,fno_pbb_wide,FNO + projected BB (wide),v3k_e_validation,128,4,64,64,64,128,128,8,0,0,1.2998689170053694,0.1321486250089947,True
test_iid,feasible_ridge,Ridge + hard support,inherited_v3k_d_validation,128,4,0,0,0,0,0,0,4,128,0.001316124980803579,0.001316124980803579,True
test_iid,ridge_geometry,Ridge + fixed Landweber,inherited_v3k_d_validation,128,4,64,64,64,128,0,0,4,128,0.001316124980803579,0.07616512500680983,True
test_iid,ridge_quadratic,Ridge + quadratic step,inherited_v3k_d_validation,128,4,64,129,64,193,0,0,4,128,0.001316124980803579,0.1429093340120744,True
test_iid,ridge_pbb_strict,Ridge + projected BB (strict),v3k_e_validation,128,4,64,64,64,128,0,0,4,128,0.001316124980803579,0.13117224999587052,True
test_iid,ridge_pbb_wide,Ridge + projected BB (wide),v3k_e_validation,128,4,64,64,64,128,0,0,4,128,0.001316124980803579,0.13727129201288335,True
test_noise_ood,feasible_fno,FNO + hard support,inherited_v3k_d_validation,128,4,0,0,0,0,128,8,0,0,1.2905084580124822,0.0,True
test_noise_ood,fno_geometry,FNO + fixed Landweber,inherited_v3k_d_validation,128,4,64,64,64,128,128,8,0,0,1.2905084580124822,0.07147491700015962,True
test_noise_ood,fno_quadratic,FNO + quadratic step,inherited_v3k_d_validation,128,4,64,129,64,193,128,8,0,0,1.2905084580124822,0.13394337499630637,True
test_noise_ood,fno_pbb_strict,FNO + projected BB (strict),v3k_e_validation,128,4,64,64,64,128,128,8,0,0,1.2905084580124822,0.1342961250047665,True
test_noise_ood,fno_pbb_wide,FNO + projected BB (wide),v3k_e_validation,128,4,64,64,64,128,128,8,0,0,1.2905084580124822,0.13107975001912564,True
test_noise_ood,feasible_ridge,Ridge + hard support,inherited_v3k_d_validation,128,4,0,0,0,0,0,0,4,128,0.0013050000125076622,0.0013050000125076622,True
test_noise_ood,ridge_geometry,Ridge + fixed Landweber,inherited_v3k_d_validation,128,4,64,64,64,128,0,0,4,128,0.0013050000125076622,0.06325612499495037,True
test_noise_ood,ridge_quadratic,Ridge + quadratic step,inherited_v3k_d_validation,128,4,64,129,64,193,0,0,4,128,0.0013050000125076622,0.11558362501091324,True
test_noise_ood,ridge_pbb_strict,Ridge + projected BB (strict),v3k_e_validation,128,4,64,64,64,128,0,0,4,128,0.0013050000125076622,0.11577837500954047,True
test_noise_ood,ridge_pbb_wide,Ridge + projected BB (wide),v3k_e_validation,128,4,64,64,64,128,0,0,4,128,0.0013050000125076622,0.12496437499066815,True
test_family_ood,feasible_fno,FNO + hard support,inherited_v3k_d_validation,128,4,0,0,0,0,128,8,0,0,1.2899281659920234,0.0,True
test_family_ood,fno_geometry,FNO + fixed Landweber,inherited_v3k_d_validation,128,4,64,64,64,128,128,8,0,0,1.2899281659920234,0.06376095800078474,True
test_family_ood,fno_quadratic,FNO + quadratic step,inherited_v3k_d_validation,128,4,64,129,64,193,128,8,0,0,1.2899281659920234,0.12667170900385827,True
test_family_ood,fno_pbb_strict,FNO + projected BB (strict),v3k_e_validation,128,4,64,64,64,128,128,8,0,0,1.2899281659920234,0.12603187499917112,True
test_family_ood,fno_pbb_wide,FNO + projected BB (wide),v3k_e_validation,128,4,64,64,64,128,128,8,0,0,1.2899281659920234,0.1263155420019757,True
test_family_ood,feasible_ridge,Ridge + hard support,inherited_v3k_d_validation,128,4,0,0,0,0,0,0,4,128,0.0013679999974556267,0.0013679999974556267,True
test_family_ood,ridge_geometry,Ridge + fixed Landweber,inherited_v3k_d_validation,128,4,64,64,64,128,0,0,4,128,0.0013679999974556267,0.06201241697999649,True
test_family_ood,ridge_quadratic,Ridge + quadratic step,inherited_v3k_d_validation,128,4,64,129,64,193,0,0,4,128,0.0013679999974556267,0.12108741700649261,True
test_family_ood,ridge_pbb_strict,Ridge + projected BB (strict),v3k_e_validation,128,4,64,64,64,128,0,0,4,128,0.0013679999974556267,0.12254049998591654,True
test_family_ood,ridge_pbb_wide,Ridge + projected BB (wide),v3k_e_validation,128,4,64,64,64,128,0,0,4,128,0.0013679999974556267,0.12690083298366517,True
test_joint_ood,feasible_fno,FNO + hard support,inherited_v3k_d_validation,128,4,0,0,0,0,128,8,0,0,1.2886697500071023,0.0,True
test_joint_ood,fno_geometry,FNO + fixed Landweber,inherited_v3k_d_validation,128,4,64,64,64,128,128,8,0,0,1.2886697500071023,0.07677975000115111,True
test_joint_ood,fno_quadratic,FNO + quadratic step,inherited_v3k_d_validation,128,4,64,129,64,193,128,8,0,0,1.2886697500071023,0.14367374998982996,True
test_joint_ood,fno_pbb_strict,FNO + projected BB (strict),v3k_e_validation,128,4,64,64,64,128,128,8,0,0,1.2886697500071023,0.13941145801800303,True
test_joint_ood,fno_pbb_wide,FNO + projected BB (wide),v3k_e_validation,128,4,64,64,64,128,128,8,0,0,1.2886697500071023,0.13339175001601689,True
test_joint_ood,feasible_ridge,Ridge + hard support,inherited_v3k_d_validation,128,4,0,0,0,0,0,0,4,128,0.0014794169983360916,0.0014794169983360916,True
test_joint_ood,ridge_geometry,Ridge + fixed Landweber,inherited_v3k_d_validation,128,4,64,64,64,128,0,0,4,128,0.0014794169983360916,0.06686295900726691,True
test_joint_ood,ridge_quadratic,Ridge + quadratic step,inherited_v3k_d_validation,128,4,64,129,64,193,0,0,4,128,0.0014794169983360916,0.12415245801093988,True
test_joint_ood,ridge_pbb_strict,Ridge + projected BB (strict),v3k_e_validation,128,4,64,64,64,128,0,0,4,128,0.0014794169983360916,0.14270624998607673,True
test_joint_ood,ridge_pbb_wide,Ridge + projected BB (wide),v3k_e_validation,128,4,64,64,64,128,0,0,4,128,0.0014794169983360916,0.14045512498705648,True
