method,method_label,source_split,independent_field_count,layouts_per_field,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,mean_used_noisy_reprojection_rel_l2,mean_used_clean_reprojection_rel_l2,mean_correction_vs_feasible_relative_l2,mean_outside_support_relative_l2,mean_negative_voxel_fraction
feasible_fno,FNO + hard support,test_family_ood,32,4,0.5907266854146428,0.5894615892754078,0.6533736564694274,0.7494597121916073,0.2777274426007492,0.27661167488928273,0.0,0.0,0.0
fno_geometry,FNO + fixed Landweber,test_family_ood,32,4,0.4536048064552755,0.4525895005209092,0.4977668364979923,0.5723857191373652,0.04954351926759963,0.04893750934601957,0.3653358975250103,0.0,0.0
fno_quadratic,FNO + quadratic step,test_family_ood,32,4,0.4385570645719635,0.43982002745288684,0.48076538011234515,0.5484569511698263,0.044742750064220134,0.04428503857642529,0.39008962804898806,0.0,0.0
fno_pbb_strict,FNO + projected BB (strict),test_family_ood,32,4,0.4536048064552755,0.4525895005209092,0.4977668364979923,0.5723857191373652,0.04954351926759963,0.048937509346019564,0.3653358975250103,0.0,0.0
fno_pbb_wide,FNO + projected BB (wide),test_family_ood,32,4,0.3862212103271461,0.37880849246127757,0.4243650084264338,0.4692594422007587,0.03363521410945288,0.03367060742996881,0.4690681961940721,0.0,0.0
feasible_ridge,Ridge + hard support,test_family_ood,32,4,0.6203013016655098,0.6238546898879378,0.6604239821491206,0.7849333013235109,0.3363548688182048,0.33528228838269664,0.0,0.0,0.0
ridge_geometry,Ridge + fixed Landweber,test_family_ood,32,4,0.45208845426604727,0.4521696002056135,0.4957725452781658,0.572313525052533,0.04882862779347956,0.048228843461758486,0.6245674154933107,0.0,0.0
ridge_quadratic,Ridge + quadratic step,test_family_ood,32,4,0.43593051297779983,0.43717425557456996,0.4779241631942718,0.5464031685604187,0.043812736805425474,0.043386123180447767,0.6524633576274121,0.0,0.0
ridge_pbb_strict,Ridge + projected BB (strict),test_family_ood,32,4,0.45208845426604727,0.4521696002056135,0.4957725452781658,0.572313525052533,0.04882862779347956,0.048228843461758486,0.6245674154933107,0.0,0.0
ridge_pbb_wide,Ridge + projected BB (wide),test_family_ood,32,4,0.3865551566168298,0.37885231501769,0.4233899172643662,0.47087377075006953,0.033588931134169345,0.03363186354791034,0.7351011797881908,0.0,0.0
feasible_fno,FNO + hard support,test_iid,32,4,0.23868595208582424,0.21209780194115205,0.3486407232956892,0.3523634837812968,0.16318086686698308,0.16073564715827568,0.0,0.0,0.0
