source_split,method,method_label,sample_layout_count,mean_stop_iteration,median_stop_iteration,p90_stop_iteration,forced_cap_fraction,mean_total_operator_calls,median_total_operator_calls,p90_total_operator_calls,maximum_total_operator_calls,deployable_input_only,oracle,wall_time_speedup_claimed
test_family_ood,fno_pbb_fixed64,FNO + fixed PBB-64,128,64.0,64.0,64.0,1.0,128.0,128.0,128.0,128,True,False,False
test_family_ood,fno_pbb_discrepancy,FNO + PBB + active discrepancy,128,64.0,64.0,64.0,1.0,128.0,128.0,128.0,128,True,False,False
test_family_ood,fno_pbb_camera_discrepancy,FNO + PBB + camera-balanced discrepancy,128,64.0,64.0,64.0,1.0,128.0,128.0,128.0,128,True,False,False
test_family_ood,fno_pbb_ncp,FNO + PBB + NCP whiteness,128,56.2265625,64.0,64.0,0.875,112.578125,128.0,128.0,128,True,False,False
test_family_ood,fno_pbb_hybrid,FNO + PBB + discrepancy AND NCP,128,64.0,64.0,64.0,1.0,128.0,128.0,128.0,128,True,False,False
test_family_ood,fno_pbb_generator_sigma,FNO + PBB + generator-sigma discrepancy (oracle),128,64.0,64.0,64.0,1.0,128.0,128.0,128.0,128,False,True,False
test_family_ood,fno_pbb_truth_oracle,FNO + PBB + truth-best stop (oracle),128,64.0,64.0,64.0,1.0,128.0,128.0,128.0,128,False,True,False
test_family_ood,fno_geometry,FNO + fixed Landweber,128,64,64,64,1.0,128,128,128,128,True,False,False
test_iid,fno_pbb_fixed64,FNO + fixed PBB-64,128,64.0,64.0,64.0,1.0,128.0,128.0,128.0,128,True,False,False
test_iid,fno_pbb_discrepancy,FNO + PBB + active discrepancy,128,29.9453125,21.0,64.0,0.2421875,60.6484375,43.0,128.0,128,True,False,False
test_iid,fno_pbb_camera_discrepancy,FNO + PBB + camera-balanced discrepancy,128,29.9453125,21.0,64.0,0.2421875,60.6484375,43.0,128.0,128,True,False,False
test_iid,fno_pbb_ncp,FNO + PBB + NCP whiteness,128,57.4921875,64.0,64.0,0.859375,115.125,128.0,128.0,128,True,False,False
test_iid,fno_pbb_hybrid,FNO + PBB + discrepancy AND NCP,128,29.9453125,21.0,64.0,0.2421875,60.6484375,43.0,128.0,128,True,False,False
test_iid,fno_pbb_generator_sigma,FNO + PBB + generator-sigma discrepancy (oracle),128,32.0390625,23.0,64.0,0.2734375,64.8046875,47.0,128.0,128,False,True,False
test_iid,fno_pbb_truth_oracle,FNO + PBB + truth-best stop (oracle),128,42.453125,56.5,64.0,0.46875,128.0,128.0,128.0,128,False,True,False
test_iid,fno_geometry,FNO + fixed Landweber,128,64,64,64,1.0,128,128,128,128,True,False,False
test_joint_ood,fno_pbb_fixed64,FNO + fixed PBB-64,128,64.0,64.0,64.0,1.0,128.0,128.0,128.0,128,True,False,False
test_joint_ood,fno_pbb_discrepancy,FNO + PBB + active discrepancy,128,62.375,64.0,64.0,0.9296875,124.8203125,128.0,128.0,128,True,False,False
test_joint_ood,fno_pbb_camera_discrepancy,FNO + PBB + camera-balanced discrepancy,128,62.4140625,64.0,64.0,0.9296875,124.8984375,128.0,128.0,128,True,False,False
test_joint_ood,fno_pbb_ncp,FNO + PBB + NCP whiteness,128,41.5,64.0,64.0,0.609375,83.390625,128.0,128.0,128,True,False,False
test_joint_ood,fno_pbb_hybrid,FNO + PBB + discrepancy AND NCP,128,62.4140625,64.0,64.0,0.9296875,124.8984375,128.0,128.0,128,True,False,False
test_joint_ood,fno_pbb_generator_sigma,FNO + PBB + generator-sigma discrepancy (oracle),128,61.8671875,64.0,64.0,0.8984375,123.8359375,128.0,128.0,128,False,True,False
test_joint_ood,fno_pbb_truth_oracle,FNO + PBB + truth-best stop (oracle),128,64.0,64.0,64.0,1.0,128.0,128.0,128.0,128,False,True,False
test_joint_ood,fno_geometry,FNO + fixed Landweber,128,64,64,64,1.0,128,128,128,128,True,False,False
test_noise_ood,fno_pbb_fixed64,FNO + fixed PBB-64,128,64.0,64.0,64.0,1.0,128.0,128.0,128.0,128,True,False,False
test_noise_ood,fno_pbb_discrepancy,FNO + PBB + active discrepancy,128,20.53125,9.0,64.0,0.1640625,41.8984375,19.0,128.0,128,True,False,False
test_noise_ood,fno_pbb_camera_discrepancy,FNO + PBB + camera-balanced discrepancy,128,20.65625,9.0,64.0,0.171875,42.140625,19.0,128.0,128,True,False,False
test_noise_ood,fno_pbb_ncp,FNO + PBB + NCP whiteness,128,44.84375,64.0,64.0,0.671875,90.015625,128.0,128.0,128,True,False,False
test_noise_ood,fno_pbb_hybrid,FNO + PBB + discrepancy AND NCP,128,20.78125,9.5,64.0,0.171875,42.390625,20.0,128.0,128,True,False,False
test_noise_ood,fno_pbb_generator_sigma,FNO + PBB + generator-sigma discrepancy (oracle),128,24.65625,14.0,64.0,0.171875,50.140625,29.0,128.0,128,False,True,False
test_noise_ood,fno_pbb_truth_oracle,FNO + PBB + truth-best stop (oracle),128,21.9453125,8.0,64.0,0.171875,128.0,128.0,128.0,128,False,True,False
test_noise_ood,fno_geometry,FNO + fixed Landweber,128,64,64,64,1.0,128,128,128,128,True,False,False
val_lock,fno_pbb_fixed64,FNO + fixed PBB-64,64,64.0,64.0,64.0,1.0,128.0,128.0,128.0,128,True,False,False
val_lock,fno_pbb_discrepancy,FNO + PBB + active discrepancy,64,27.421875,15.5,64.0,0.234375,55.609375,32.0,128.0,128,True,False,False
val_lock,fno_pbb_camera_discrepancy,FNO + PBB + camera-balanced discrepancy,64,27.421875,15.5,64.0,0.234375,55.609375,32.0,128.0,128,True,False,False
val_lock,fno_pbb_ncp,FNO + PBB + NCP whiteness,64,52.21875,64.0,64.0,0.78125,104.65625,128.0,128.0,128,True,False,False
val_lock,fno_pbb_hybrid,FNO + PBB + discrepancy AND NCP,64,27.421875,15.5,64.0,0.234375,55.609375,32.0,128.0,128,True,False,False
val_lock,fno_pbb_generator_sigma,FNO + PBB + generator-sigma discrepancy (oracle),64,28.734375,17.0,64.0,0.21875,58.25,35.0,128.0,128,False,True,False
val_lock,fno_pbb_truth_oracle,FNO + PBB + truth-best stop (oracle),64,41.796875,54.5,64.0,0.4375,128.0,128.0,128.0,128,False,True,False
val_lock,fno_geometry,FNO + fixed Landweber,64,64,64,64,1.0,128,128,128,128,True,False,False
val_tune,fno_pbb_fixed64,FNO + fixed PBB-64,96,64.0,64.0,64.0,1.0,128.0,128.0,128.0,128,True,False,False
val_tune,fno_pbb_discrepancy,FNO + PBB + active discrepancy,96,35.583333333333336,32.0,64.0,0.3333333333333333,71.83333333333333,65.0,128.0,128,True,False,False
val_tune,fno_pbb_camera_discrepancy,FNO + PBB + camera-balanced discrepancy,96,35.583333333333336,32.0,64.0,0.3333333333333333,71.83333333333333,65.0,128.0,128,True,False,False
val_tune,fno_pbb_ncp,FNO + PBB + NCP whiteness,96,59.239583333333336,64.0,64.0,0.90625,118.57291666666667,128.0,128.0,128,True,False,False
val_tune,fno_pbb_hybrid,FNO + PBB + discrepancy AND NCP,96,35.583333333333336,32.0,64.0,0.3333333333333333,71.83333333333333,65.0,128.0,128,True,False,False
val_tune,fno_pbb_generator_sigma,FNO + PBB + generator-sigma discrepancy (oracle),96,32.958333333333336,25.5,64.0,0.2708333333333333,66.64583333333333,52.0,128.0,128,False,True,False
val_tune,fno_pbb_truth_oracle,FNO + PBB + truth-best stop (oracle),96,41.447916666666664,56.5,64.0,0.4895833333333333,128.0,128.0,128.0,128,False,True,False
val_tune,fno_geometry,FNO + fixed Landweber,96,64,64,64,1.0,128,128,128,128,True,False,False
