pair_index,training_arm,source_split,source_index,sample_seed,geometry_slot,geometry_id,geometry_partition,mask_bits,assignment_seed,assignment_rule,evaluation_role,selection_commit_preexisted
0,evaluation,val,180,30360841,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
1,evaluation,val,180,30360841,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
2,evaluation,val,180,30360841,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
3,evaluation,val,180,30360841,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
4,evaluation,val,171,30360832,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
5,evaluation,val,171,30360832,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
6,evaluation,val,171,30360832,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
7,evaluation,val,171,30360832,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
8,evaluation,val,160,30360821,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
9,evaluation,val,160,30360821,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
10,evaluation,val,160,30360821,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
11,evaluation,val,160,30360821,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
12,evaluation,val,196,30360857,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
13,evaluation,val,196,30360857,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
14,evaluation,val,196,30360857,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
15,evaluation,val,196,30360857,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
16,evaluation,val,174,30360835,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
17,evaluation,val,174,30360835,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
18,evaluation,val,174,30360835,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
19,evaluation,val,174,30360835,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
20,evaluation,val,178,30360839,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
21,evaluation,val,178,30360839,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
22,evaluation,val,178,30360839,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
23,evaluation,val,178,30360839,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
24,evaluation,val,173,30360834,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_lock,True
25,evaluation,val,173,30360834,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_lock,True
26,evaluation,val,173,30360834,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_lock,True
27,evaluation,val,173,30360834,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_lock,True
28,evaluation,val,167,30360828,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
29,evaluation,val,167,30360828,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
30,evaluation,val,167,30360828,2,g_111001110,validation,111001110,20261371,all frozen layouts in partition,val_tune,True
31,evaluation,val,167,30360828,3,g_111010110,validation,111010110,20261371,all frozen layouts in partition,val_tune,True
32,evaluation,val,166,30360827,0,g_011010111,validation,011010111,20261371,all frozen layouts in partition,val_tune,True
33,evaluation,val,166,30360827,1,g_101011110,validation,101011110,20261371,all frozen layouts in partition,val_tune,True
