method,method_label,source_split,independent_field_count,layouts_per_field,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,mean_used_noisy_reprojection_rel_l2,mean_used_clean_reprojection_rel_l2,mean_correction_vs_feasible_relative_l2,mean_outside_support_relative_l2,mean_negative_voxel_fraction
feasible_fno,FNO + hard support,test_family_ood,32,4,0.5907266854146428,0.5894615892754078,0.6533736564694274,0.7494597121916073,0.2777274426007492,0.27661167488928273,0.0,0.0,0.0
fno_geometry,FNO + fixed Landweber,test_family_ood,32,4,0.4536048064552755,0.4525895005209092,0.4977668364979923,0.5723857191373652,0.04954351926759963,0.04893750934601957,0.3653358975250103,0.0,0.0
fno_pbb_fixed64,FNO + fixed PBB-64,test_family_ood,32,4,0.3862212103271461,0.37880849246127757,0.4243650084264338,0.4692594422007587,0.03363521410945288,0.03367060742996881,0.4690681961940721,0.0,0.0
fno_pbb_discrepancy,FNO + PBB + active discrepancy,test_family_ood,32,4,0.3862212103271461,0.37880849246127757,0.4243650084264338,0.4692594422007587,0.03363521410945288,0.03367060742996881,0.4690681961940721,0.0,0.0
fno_pbb_camera_discrepancy,FNO + PBB + camera-balanced discrepancy,test_family_ood,32,4,0.3862212103271461,0.37880849246127757,0.4243650084264338,0.4692594422007587,0.03363521410945288,0.03367060742996881,0.4690681961940721,0.0,0.0
fno_pbb_ncp,FNO + PBB + NCP whiteness,test_family_ood,32,4,0.40561834279428055,0.3925775949944174,0.47453357617589637,0.4997744005571868,0.046386248418698664,0.04618245097731012,0.42977886344921523,0.0,0.0
fno_pbb_hybrid,FNO + PBB + discrepancy AND NCP,test_family_ood,32,4,0.3862212103271461,0.37880849246127757,0.4243650084264338,0.4692594422007587,0.03363521410945288,0.03367060742996881,0.4690681961940721,0.0,0.0
fno_pbb_generator_sigma,FNO + PBB + generator-sigma discrepancy (oracle),test_family_ood,32,4,0.3862212103271461,0.37880849246127757,0.4243650084264338,0.4692594422007587,0.03363521410945288,0.03367060742996881,0.4690681961940721,0.0,0.0
fno_pbb_truth_oracle,FNO + PBB + truth-best stop (oracle),test_family_ood,32,4,0.3862212103271461,0.37880849246127757,0.4243650084264338,0.4692594422007587,0.03363521410945288,0.03367060742996881,0.4690681961940721,0.0,0.0
feasible_fno,FNO + hard support,test_iid,32,4,0.23868595208582424,0.21209780194115205,0.3486407232956892,0.3523634837812968,0.16318086686698308,0.16073564715827568,0.0,0.0,0.0
