rig_id,block_id,true_aperture_radius,field_index,family,family_replicate,relative_noise,paired_noise_seed,noise_scale_uses_only_primary_inner_cameras
development_rig_a,development_rig_a:radius=0.05500,0.055,0,expanding_kernel,0,0.04,2026072334,True
development_rig_a,development_rig_a:radius=0.05500,0.055,1,expanding_kernel,1,0.07,2026082334,True
development_rig_a,development_rig_a:radius=0.05500,0.055,2,interacting_fronts,0,0.07,2026092334,True
development_rig_a,development_rig_a:radius=0.05500,0.055,3,interacting_fronts,1,0.04,2026102334,True
development_rig_a,development_rig_a:radius=0.05500,0.055,4,helical_plume,0,0.04,2026112334,True
development_rig_a,development_rig_a:radius=0.05500,0.055,5,helical_plume,1,0.07,2026122334,True
development_rig_a,development_rig_a:radius=0.05500,0.055,6,stratified_ignition,0,0.07,2026132334,True
development_rig_a,development_rig_a:radius=0.05500,0.055,7,stratified_ignition,1,0.04,2026142334,True
development_rig_a,development_rig_a:radius=0.09500,0.095,0,expanding_kernel,0,0.04,2026072334,True
development_rig_a,development_rig_a:radius=0.09500,0.095,1,expanding_kernel,1,0.07,2026082334,True
development_rig_a,development_rig_a:radius=0.09500,0.095,2,interacting_fronts,0,0.07,2026092334,True
development_rig_a,development_rig_a:radius=0.09500,0.095,3,interacting_fronts,1,0.04,2026102334,True
development_rig_a,development_rig_a:radius=0.09500,0.095,4,helical_plume,0,0.04,2026112334,True
development_rig_a,development_rig_a:radius=0.09500,0.095,5,helical_plume,1,0.07,2026122334,True
development_rig_a,development_rig_a:radius=0.09500,0.095,6,stratified_ignition,0,0.07,2026132334,True
development_rig_a,development_rig_a:radius=0.09500,0.095,7,stratified_ignition,1,0.04,2026142334,True
development_rig_a,development_rig_a:radius=0.13500,0.135,0,expanding_kernel,0,0.04,2026072334,True
development_rig_a,development_rig_a:radius=0.13500,0.135,1,expanding_kernel,1,0.07,2026082334,True
development_rig_a,development_rig_a:radius=0.13500,0.135,2,interacting_fronts,0,0.07,2026092334,True
development_rig_a,development_rig_a:radius=0.13500,0.135,3,interacting_fronts,1,0.04,2026102334,True
development_rig_a,development_rig_a:radius=0.13500,0.135,4,helical_plume,0,0.04,2026112334,True
development_rig_a,development_rig_a:radius=0.13500,0.135,5,helical_plume,1,0.07,2026122334,True
development_rig_a,development_rig_a:radius=0.13500,0.135,6,stratified_ignition,0,0.07,2026132334,True
development_rig_a,development_rig_a:radius=0.13500,0.135,7,stratified_ignition,1,0.04,2026142334,True
development_rig_b,development_rig_b:radius=0.05500,0.055,0,expanding_kernel,0,0.04,2027072334,True
development_rig_b,development_rig_b:radius=0.05500,0.055,1,expanding_kernel,1,0.07,2027082334,True
development_rig_b,development_rig_b:radius=0.05500,0.055,2,interacting_fronts,0,0.07,2027092334,True
development_rig_b,development_rig_b:radius=0.05500,0.055,3,interacting_fronts,1,0.04,2027102334,True
development_rig_b,development_rig_b:radius=0.05500,0.055,4,helical_plume,0,0.04,2027112334,True
development_rig_b,development_rig_b:radius=0.05500,0.055,5,helical_plume,1,0.07,2027122334,True
development_rig_b,development_rig_b:radius=0.05500,0.055,6,stratified_ignition,0,0.07,2027132334,True
development_rig_b,development_rig_b:radius=0.05500,0.055,7,stratified_ignition,1,0.04,2027142334,True
development_rig_b,development_rig_b:radius=0.09500,0.095,0,expanding_kernel,0,0.04,2027072334,True
development_rig_b,development_rig_b:radius=0.09500,0.095,1,expanding_kernel,1,0.07,2027082334,True
development_rig_b,development_rig_b:radius=0.09500,0.095,2,interacting_fronts,0,0.07,2027092334,True
development_rig_b,development_rig_b:radius=0.09500,0.095,3,interacting_fronts,1,0.04,2027102334,True
development_rig_b,development_rig_b:radius=0.09500,0.095,4,helical_plume,0,0.04,2027112334,True
development_rig_b,development_rig_b:radius=0.09500,0.095,5,helical_plume,1,0.07,2027122334,True
development_rig_b,development_rig_b:radius=0.09500,0.095,6,stratified_ignition,0,0.07,2027132334,True
development_rig_b,development_rig_b:radius=0.09500,0.095,7,stratified_ignition,1,0.04,2027142334,True
development_rig_b,development_rig_b:radius=0.13500,0.135,0,expanding_kernel,0,0.04,2027072334,True
development_rig_b,development_rig_b:radius=0.13500,0.135,1,expanding_kernel,1,0.07,2027082334,True
development_rig_b,development_rig_b:radius=0.13500,0.135,2,interacting_fronts,0,0.07,2027092334,True
development_rig_b,development_rig_b:radius=0.13500,0.135,3,interacting_fronts,1,0.04,2027102334,True
development_rig_b,development_rig_b:radius=0.13500,0.135,4,helical_plume,0,0.04,2027112334,True
development_rig_b,development_rig_b:radius=0.13500,0.135,5,helical_plume,1,0.07,2027122334,True
development_rig_b,development_rig_b:radius=0.13500,0.135,6,stratified_ignition,0,0.07,2027132334,True
development_rig_b,development_rig_b:radius=0.13500,0.135,7,stratified_ignition,1,0.04,2027142334,True
