rig_id,block_id,true_aperture_radius,field_index,family,family_replicate,relative_noise,paired_noise_seed,noise_scale_uses_only_primary_inner_cameras
development_rig_a,development_rig_a:radius=0.05500,0.055,0,jet_shear,0,0.05,2026072434,True
development_rig_a,development_rig_a:radius=0.05500,0.055,1,jet_shear,1,0.08,2026082434,True
development_rig_a,development_rig_a:radius=0.05500,0.055,2,jet_shear,2,0.05,2026092434,True
development_rig_a,development_rig_a:radius=0.05500,0.055,3,jet_shear,3,0.08,2026102434,True
development_rig_a,development_rig_a:radius=0.05500,0.055,4,shock_cell,0,0.08,2026112434,True
development_rig_a,development_rig_a:radius=0.05500,0.055,5,shock_cell,1,0.05,2026122434,True
development_rig_a,development_rig_a:radius=0.05500,0.055,6,shock_cell,2,0.08,2026132434,True
development_rig_a,development_rig_a:radius=0.05500,0.055,7,shock_cell,3,0.05,2026142434,True
development_rig_a,development_rig_a:radius=0.09500,0.095,0,jet_shear,0,0.05,2026072434,True
development_rig_a,development_rig_a:radius=0.09500,0.095,1,jet_shear,1,0.08,2026082434,True
development_rig_a,development_rig_a:radius=0.09500,0.095,2,jet_shear,2,0.05,2026092434,True
development_rig_a,development_rig_a:radius=0.09500,0.095,3,jet_shear,3,0.08,2026102434,True
development_rig_a,development_rig_a:radius=0.09500,0.095,4,shock_cell,0,0.08,2026112434,True
development_rig_a,development_rig_a:radius=0.09500,0.095,5,shock_cell,1,0.05,2026122434,True
development_rig_a,development_rig_a:radius=0.09500,0.095,6,shock_cell,2,0.08,2026132434,True
development_rig_a,development_rig_a:radius=0.09500,0.095,7,shock_cell,3,0.05,2026142434,True
development_rig_a,development_rig_a:radius=0.13500,0.135,0,jet_shear,0,0.05,2026072434,True
development_rig_a,development_rig_a:radius=0.13500,0.135,1,jet_shear,1,0.08,2026082434,True
development_rig_a,development_rig_a:radius=0.13500,0.135,2,jet_shear,2,0.05,2026092434,True
development_rig_a,development_rig_a:radius=0.13500,0.135,3,jet_shear,3,0.08,2026102434,True
development_rig_a,development_rig_a:radius=0.13500,0.135,4,shock_cell,0,0.08,2026112434,True
development_rig_a,development_rig_a:radius=0.13500,0.135,5,shock_cell,1,0.05,2026122434,True
development_rig_a,development_rig_a:radius=0.13500,0.135,6,shock_cell,2,0.08,2026132434,True
development_rig_a,development_rig_a:radius=0.13500,0.135,7,shock_cell,3,0.05,2026142434,True
development_rig_b,development_rig_b:radius=0.05500,0.055,0,jet_shear,0,0.05,2027072434,True
development_rig_b,development_rig_b:radius=0.05500,0.055,1,jet_shear,1,0.08,2027082434,True
development_rig_b,development_rig_b:radius=0.05500,0.055,2,jet_shear,2,0.05,2027092434,True
development_rig_b,development_rig_b:radius=0.05500,0.055,3,jet_shear,3,0.08,2027102434,True
development_rig_b,development_rig_b:radius=0.05500,0.055,4,shock_cell,0,0.08,2027112434,True
development_rig_b,development_rig_b:radius=0.05500,0.055,5,shock_cell,1,0.05,2027122434,True
development_rig_b,development_rig_b:radius=0.05500,0.055,6,shock_cell,2,0.08,2027132434,True
development_rig_b,development_rig_b:radius=0.05500,0.055,7,shock_cell,3,0.05,2027142434,True
development_rig_b,development_rig_b:radius=0.09500,0.095,0,jet_shear,0,0.05,2027072434,True
development_rig_b,development_rig_b:radius=0.09500,0.095,1,jet_shear,1,0.08,2027082434,True
development_rig_b,development_rig_b:radius=0.09500,0.095,2,jet_shear,2,0.05,2027092434,True
development_rig_b,development_rig_b:radius=0.09500,0.095,3,jet_shear,3,0.08,2027102434,True
development_rig_b,development_rig_b:radius=0.09500,0.095,4,shock_cell,0,0.08,2027112434,True
development_rig_b,development_rig_b:radius=0.09500,0.095,5,shock_cell,1,0.05,2027122434,True
development_rig_b,development_rig_b:radius=0.09500,0.095,6,shock_cell,2,0.08,2027132434,True
development_rig_b,development_rig_b:radius=0.09500,0.095,7,shock_cell,3,0.05,2027142434,True
development_rig_b,development_rig_b:radius=0.13500,0.135,0,jet_shear,0,0.05,2027072434,True
development_rig_b,development_rig_b:radius=0.13500,0.135,1,jet_shear,1,0.08,2027082434,True
development_rig_b,development_rig_b:radius=0.13500,0.135,2,jet_shear,2,0.05,2027092434,True
development_rig_b,development_rig_b:radius=0.13500,0.135,3,jet_shear,3,0.08,2027102434,True
development_rig_b,development_rig_b:radius=0.13500,0.135,4,shock_cell,0,0.08,2027112434,True
development_rig_b,development_rig_b:radius=0.13500,0.135,5,shock_cell,1,0.05,2027122434,True
development_rig_b,development_rig_b:radius=0.13500,0.135,6,shock_cell,2,0.08,2027132434,True
development_rig_b,development_rig_b:radius=0.13500,0.135,7,shock_cell,3,0.05,2027142434,True
