variant_id,method,discrepancy_target,effective_df_target,rig_id,block_id,true_aperture_radius,nearest_bank_radius,metadata_aperture_radius,selected_radius,nearest_bank_match,selected_radius_boundary,mean_outer_validation_mse,relative_radius_margin,fold_score_deletion_radius_stability_fraction,fold_selected_kappas,fold_kappa_boundary_count,mean_selected_effective_df_fraction,mean_selected_whitened_discrepancy
gcv,gcv,1.0,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,31.997389954263376,0.02597499599607806,1.0,0.01|0.01|0.01|0.01,0,0.6361131842793069,0.4905580627188553
upre,upre,1.0,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,31.997389954263376,0.02597499599607806,1.0,0.01|0.01|0.01|0.01,0,0.6361131842793069,0.4905580627188553
morozov_0p50,morozov,0.5,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,31.997389954263376,0.02597499599607806,1.0,0.01|0.01|0.01|0.01,0,0.6361131842793069,0.4905580627188553
morozov_0p75,morozov,0.75,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,31.72185320952454,0.012221240280483535,1.0,0.0316227766017|0.0316227766017|0.0316227766017|0.0316227766017,0,0.5664024258039881,0.6840489732539147
morozov_1p00,morozov,1.0,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,31.579113262268297,0.01679655578251565,1.0,0.0316227766017|0.1|0.0316227766017|0.0316227766017,0,0.5459347338556376,0.8367588319777103
morozov_1p25,morozov,1.25,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.16,False,True,34.14696749357414,0.04897644669292967,0.75,0.0316227766017|0.0316227766017|0.0316227766017|0.0316227766017,0,0.5405181687443532,1.0845291075807082
equal_df_0p40,equal_df,1.0,0.4,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.12,False,False,46.067961881886546,0.010522711681442054,0.5,0.316227766017|0.316227766017|0.316227766017|0.316227766017,0,0.3793802483533699,5.569096347373275
equal_df_0p50,equal_df,1.0,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.12,False,False,36.20103634344474,0.0113504756437398,0.75,0.1|0.1|0.1|0.1,0,0.47517841027287966,1.581951243448323
equal_df_0p60,equal_df,1.0,0.6,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,32.83749283061215,0.009340913653370472,0.5,0.0316227766017|0.01|0.01|0.0316227766017,0,0.6018490893659207,0.5937353002188596
equal_df_0p70,equal_df,1.0,0.7,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.04,True,False,40.8475810016685,0.0010170332496181322,0.5,0.00316227766017|0.00316227766017|0.00316227766017|0.00316227766017,0,0.7020971920254877,0.406554336379389
