variant_id,method,block_count,nearest_bank_match_count,selected_radius_boundary_count,fold_kappa_boundary_count,mean_fold_score_deletion_radius_stability_fraction,mean_outer_validation_mse,mean_selected_effective_df_fraction,mean_selected_whitened_discrepancy,development_rank
morozov_0p50,morozov,6,5,0,0,0.7083333333333334,28.639634411577237,0.6548709319502951,0.47833189417477007,1
equal_df_0p70,equal_df,6,4,0,0,0.6666666666666666,35.09486616402735,0.6908638695625684,0.4381821249420532,2
gcv,gcv,6,3,0,0,0.7083333333333334,24.885389483111496,0.6334171745160895,0.5153237644770423,3
equal_df_0p60,equal_df,6,3,1,0,0.5833333333333334,25.84850178571321,0.6073603931028865,0.5775417369050924,4
upre,upre,6,2,1,0,0.7083333333333334,25.109778805446165,0.639954473056745,0.5063645610711,5
morozov_0p75,morozov,6,1,1,0,0.7083333333333334,24.639023770000453,0.5675520103731241,0.6757472668738838,6
equal_df_0p50,equal_df,6,1,3,0,0.7083333333333334,29.15113525318962,0.48836570287903863,1.363317482590804,7
morozov_1p00,morozov,6,0,4,0,0.7916666666666666,25.314727337219683,0.5480514576114224,0.8453264563081252,8
morozov_1p25,morozov,6,0,5,0,0.6666666666666666,28.05753812886013,0.5117545651676642,1.1836239892160634,9
equal_df_0p40,equal_df,6,0,4,0,0.5833333333333334,40.26339237670795,0.3887516058043887,4.935079583954836,10
