variant_id,method,discrepancy_target,effective_df_target,rig_id,block_id,true_aperture_radius,nearest_bank_radius,metadata_aperture_radius,selected_radius,nearest_bank_match,selected_radius_boundary,mean_outer_validation_mse,relative_radius_margin,fold_score_deletion_radius_stability_fraction,fold_selected_kappas,fold_kappa_boundary_count,mean_selected_effective_df_fraction,mean_selected_whitened_discrepancy,mean_selected_df_corrected_discrepancy,whitening,covariance_uses_clean_synthetic_truth
diagonal_gcv,gcv,1.0,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,31.997389954263376,0.02597499599607806,1.0,0.01|0.01|0.01|0.01,0,0.6361131842793069,0.4905580627188553,1.0991222991606588,diagonal,False
exact_gcv,gcv,1.0,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,30.310108216908716,0.0304831443736214,1.0,0.01|0.01|0.01|0.01,0,0.6360782057762907,0.49381435186428013,1.1064373907718001,exact_covariance_oracle,True
diagonal_upre,upre,1.0,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,31.997389954263376,0.02597499599607806,1.0,0.01|0.01|0.01|0.01,0,0.6361131842793069,0.4905580627188553,1.0991222991606588,diagonal,False
exact_upre,upre,1.0,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,30.310108216908716,0.0304831443736214,1.0,0.01|0.01|0.01|0.01,0,0.6360782057762907,0.49381435186428013,1.1064373907718001,exact_covariance_oracle,True
diagonal_morozov_1p00,morozov,1.0,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,31.579113262268297,0.01679655578251565,1.0,0.0316227766017|0.1|0.0316227766017|0.0316227766017,0,0.5459347338556376,0.8367588319777103,1.6248311308523415,diagonal,False
exact_morozov_1p00,morozov,1.0,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,29.56244088005441,0.01778692413169944,1.0,0.0316227766017|0.1|0.0316227766017|0.0316227766017,0,0.5458355198340098,0.8508789235154088,1.6512225139018586,exact_covariance_oracle,True
diagonal_df_corrected_1p00,df_corrected_morozov,1.0,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,647.6607889761933,0.138463946690907,0.5,3.16227766017e-06|0.00316227766017|0.001|0.001,0,0.7737714922137766,0.3586337856140625,1.021677445687902,diagonal,False
exact_df_corrected_1p00,df_corrected_morozov,1.0,0.5,development_rig_a,development_rig_a:radius=0.05500,0.055,0.04,0.073,0.08,False,False,45.76696331113179,15.184759630834556,0.75,0.00316227766017|0.00316227766017|0.001|0.001,0,0.7221610668556269,0.39567829214157957,1.0273832049667395,exact_covariance_oracle,True
diagonal_gcv,gcv,1.0,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.08,True,False,30.693619260064487,0.0033804590404032074,0.25,0.01|0.01|0.01|0.01,0,0.6361131842793071,0.47858685172175813,1.072397502708937,diagonal,False
exact_gcv,gcv,1.0,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.08,True,False,29.311334671059264,0.0009133913642702393,0.25,0.01|0.01|0.01|0.01,0,0.6360721924939993,0.48195857099193523,1.0799633638180566,exact_covariance_oracle,True
diagonal_upre,upre,1.0,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.08,True,False,30.693619260064487,0.0033804590404032074,0.25,0.01|0.01|0.01|0.01,0,0.6361131842793071,0.47858685172175813,1.072397502708937,diagonal,False
exact_upre,upre,1.0,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.08,True,False,29.311334671059264,0.0009133913642702393,0.25,0.01|0.01|0.01|0.01,0,0.6360721924939993,0.48195857099193523,1.0799633638180566,exact_covariance_oracle,True
diagonal_morozov_1p00,morozov,1.0,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.12,False,False,29.979896247052665,0.04711563440560716,1.0,0.0316227766017|0.1|0.0316227766017|0.0316227766017,0,0.5360984392779337,0.85236918138541,1.6271374612858736,diagonal,False
exact_morozov_1p00,morozov,1.0,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.12,False,False,28.769204409596988,0.026472343866429198,1.0,0.0316227766017|0.0316227766017|0.0316227766017|0.0316227766017,0,0.5560954510582665,0.7002969699183993,1.3920861254097128,exact_covariance_oracle,True
diagonal_df_corrected_1p00,df_corrected_morozov,1.0,0.5,development_rig_a,development_rig_a:radius=0.09500,0.095,0.08,0.113,0.08,True,False,658.3061997229169,0.27503804001866367,0.75,3.16227766017e-06|0.00316227766017|0.00316227766017|0.00316227766017,0,0.7478179077891592,0.3770306289247154,1.0194428833869802,diagonal,False
