predictor,rig_id,changed_sample_count,mean_predicted_audit_gain_percent,mean_actual_audit_gain_percent
outer_observation_minimum_gain,development_rig_a,16,-9.105682812986315,-0.7806861760161578
outer_observation_minimum_gain,development_rig_b,8,-2.0704792415786164,1.195012132212435
outer_observation_mean_gain,development_rig_a,16,-2.516211680953025,-0.7806861760161578
outer_observation_mean_gain,development_rig_b,8,-0.6003257488227695,1.195012132212435
outer_observation_nearest_angle_gain,development_rig_a,16,-7.406078705209968,-0.7806861760161578
outer_observation_nearest_angle_gain,development_rig_b,8,0.8698277439330777,1.195012132212435
outer_observation_projection_weighted_gain,development_rig_a,16,-3.2040402722477492,-0.7806861760161578
outer_observation_projection_weighted_gain,development_rig_b,8,-0.4189483559580063,1.195012132212435
outer_observation_gram_weighted_gain,development_rig_a,16,-5.454072908044633,-0.7806861760161578
outer_observation_gram_weighted_gain,development_rig_b,8,0.4126203607405926,1.195012132212435
outer_observation_operator_change_weighted_gain,development_rig_a,16,-6.940531148327395,-0.7806861760161578
outer_observation_operator_change_weighted_gain,development_rig_b,8,0.33278140452861266,1.195012132212435
outer_observation_nearest_leverage_gain,development_rig_a,16,-7.406078705209968,-0.7806861760161578
outer_observation_nearest_leverage_gain,development_rig_b,8,0.8698277439330777,1.195012132212435
source_residual_field_transfer_gain,development_rig_a,16,1.231336773476568,-0.7806861760161578
source_residual_field_transfer_gain,development_rig_b,8,-0.16779323582651973,1.195012132212435
