method,split,scored_rows_including_seeds,mean_whitened_target_residual_rmse,median_whitened_target_residual_rmse
zero_correction,train,160,3.1245801356078777,2.579140425637747
zero_correction,validation,80,3.512011024228136,2.956501668981148
analytic_dc,train,160,3.2065175294124786,2.6424228624192168
analytic_dc,validation,80,3.6854916990294084,3.1133988284143856
sp_gc_rio_no_target_geometry,train,480,3.167483775041439,2.6349597376665788
sp_gc_rio_no_target_geometry,validation,240,3.6612239652067897,3.098470735023785
sp_gc_rio_correct_target_geometry,train,480,3.159824320487802,2.6180621862070605
sp_gc_rio_correct_target_geometry,validation,240,3.6628378964756374,3.1352380860207765
sp_gc_rio_shuffled_target_geometry,train,480,3.2016289205710344,2.637969517521038
sp_gc_rio_shuffled_target_geometry,validation,240,3.673742461234619,3.1097810447116188
