method,split,rig_family_cells,cell_mean_noisy_whitened_rmse,cell_mean_clean_whitened_rmse
analytic_source_correction,train,8,3.206506549566984,3.0098727609962226
analytic_source_correction,validation,4,3.6854677394032476,3.488304606080055
clean_measurement_oracle,train,8,0.9762535402551293,0.0
clean_measurement_oracle,validation,4,1.0839892558753492,0.0
paired_target_field_oracle,train,8,1.1473167262971402,0.6044357671402394
paired_target_field_oracle,validation,4,1.2252476274967194,0.5168819865211844
true_field_correction_oracle,train,8,2.1461442809551956,1.8971057664602995
true_field_correction_oracle,validation,4,1.8057997569441797,1.394467080384493
zero_correction,train,8,3.1245801523327827,2.92488994859159
zero_correction,validation,4,3.512011043727398,3.307120421528816
