method,split,scored_rows_including_seeds,mean_whitened_target_residual_rmse,median_whitened_target_residual_rmse
zero_correction,train,160,3.1245801356078777,2.579140425637747
zero_correction,validation,80,3.512011024228136,2.956501668981148
analytic_dc,train,160,3.2065175294124786,2.6424228624192168
analytic_dc,validation,80,3.6854916990294084,3.1133988284143856
sf_rio_adjoint_only,train,480,1.8898030389326328,1.7588102516436992
sf_rio_adjoint_only,validation,240,3.346045940652971,2.9964594770565665
sf_rio_krylov_stack,train,480,2.094995098542084,1.8349263401384626
sf_rio_krylov_stack,validation,240,3.349380452738392,2.9859471444629655
sf_rio_shuffled_source_operator,train,480,2.4958387963892434,2.198635869855185
sf_rio_shuffled_source_operator,validation,240,3.3760164022632493,2.939661147250044
