split,rig_id,family,field_uid,target_view,ensemble_whitened_rmse,zero_whitened_rmse,relative_gain_vs_zero
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:0,1,1.2445944891890226,2.818856664029074,0.5584754254903875
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:0,5,1.2134344595636846,1.7322466397317229,0.299502489003753
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:1,1,1.0483673203408197,1.8648434572803774,0.43782556318709887
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:1,5,1.2782947650631515,2.0117533079636813,0.3645867214419767
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:2,1,0.9462195246199305,1.3273526590976656,0.28713780913116893
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:2,5,1.1053457308124348,1.6935283880765972,0.3473119561533794
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:3,1,1.3978062331199064,2.6977177134212296,0.48185600510914217
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:3,5,1.6117330495563693,2.5830640882366103,0.376038303928937
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:4,1,1.0997577397637588,1.4118531270944168,0.2210537210573369
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:4,5,2.0126886754496613,2.846861879737431,0.2930149896716121
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:5,1,1.290161854732559,2.105406042045752,0.38721470872243136
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:5,5,1.5937214950120802,2.4102164239588313,0.3387641544677722
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:6,1,1.0984097214565016,2.4665911891141543,0.5546851353786835
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:6,5,1.4352655928368834,1.9605044380237262,0.2679100516172799
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:7,1,1.2329820908064388,2.4894893542405696,0.5047248992223283
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:7,5,1.6954286860081829,2.8281790663014768,0.4005228642663836
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:8,1,1.6404733283201796,2.8421322623093457,0.42280190472654866
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:8,5,1.368701762886517,2.3225951233486906,0.4107015255792241
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:9,1,1.2519328204481495,2.280171514901433,0.4509479605957327
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:9,5,1.355349226429741,2.3040763159505087,0.411760271546989
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:0,1,1.4045210374177242,3.5485037167215516,0.60419344333804
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:0,5,1.4244387017800357,2.661939769909556,0.46488695278464787
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,1,1.346119374345719,3.847040471556229,0.6500896249211596
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,5,1.4295805090821394,2.396081713729639,0.403367380632059
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,1,1.613418141671174,3.941064343952355,0.5906136005754391
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,5,1.673789819783268,3.437108700699347,0.5130238914344772
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,1,1.502548283597567,4.0141559314584585,0.625687614219897
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,5,1.4857814406981067,2.6963464571630578,0.4489649367012868
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,1,1.6580709939252238,4.532023899362691,0.6341433693325431
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,5,1.2289429779453498,2.265261706283628,0.4574830031618975
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,1,1.6923013004694072,4.040877775035827,0.5812045316182811
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,5,1.1263006274033542,2.462294985552072,0.5425809523180156
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,1,1.437317255128885,3.676085406820304,0.609008742707064
