method,rig_id,family,field_uid,relative_l2,gain_vs_base
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:0,0.45364871621131897,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:0,0.4540747106075287,-0.0009390402330848868
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:0,0.3295099139213562,0.2736452189851152
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:0,0.4272565543651581,0.0581775301087083
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:1,0.4387550950050354,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:1,0.43922871351242065,-0.0010794598462264826
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:1,0.3382972180843353,0.22896116321919213
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:1,0.4221119284629822,0.03793270262049542
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:2,0.522619366645813,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:2,0.5230786204338074,-0.0008787538642929249
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:2,0.3574782609939575,0.3159873441195571
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:2,0.4943452477455139,0.05410078673846941
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:3,0.3559930920600891,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:3,0.35630127787590027,-0.0008657072923177189
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:3,0.3348460793495178,0.059402873769814124
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:3,0.34478771686553955,0.03147638379639728
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:4,0.6142319440841675,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:4,0.6147990822792053,-0.0009233290461365673
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:4,0.3349437415599823,0.45469501417841374
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:4,0.5801510810852051,0.055485331440678576
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:5,0.3605039119720459,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:5,0.36078941822052,-0.0007919643559826106
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:5,0.250570148229599,0.30494471791188593
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:5,0.35217562317848206,0.023101798668441753
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:6,0.32732483744621277,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:6,0.32765787839889526,-0.001017463127090723
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:6,0.23186291754245758,0.2916427627324243
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:6,0.3093610405921936,0.05488064087703415
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:7,0.47028887271881104,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:7,0.47072702646255493,-0.0009316693827154943
