method,hyperparameter,train_cluster_mean_whitened_rmse
support_ridge,0.0001,3.2166731793140686
support_ridge,0.001,3.206506782250833
support_ridge,0.01,3.165911215917181
support_ridge,0.1,3.130954936248937
support_ridge,1.0,3.1243215925517753
support_ridge,10.0,3.1244026633080813
projected_bb,0,3.1245801356078777
projected_bb,1,3.17893444037182
projected_bb,2,2.7080822063039025
projected_bb,4,2.4307997274243496
projected_bb,8,2.227030839768475
projected_bb,16,2.077221460113133
projected_bb,32,1.9886372533294772
