method,rig_id,family,field_uid,relative_l2,gain_vs_base
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:0,0.45364871621131897,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:0,0.4272565543651581,0.0581775301087083
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:0,0.3295099139213562,0.2736452189851152
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:0,0.3249882161617279,0.28361261798359927
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:0,0.347846657037735,0.2332246414300425
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:1,0.4387550950050354,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:1,0.4221119284629822,0.03793270262049542
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:1,0.3382972180843353,0.22896116321919213
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:1,0.33390533924102783,0.23897102724882147
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:1,0.3518950939178467,0.19796921352261876
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:2,0.522619366645813,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:2,0.4943452477455139,0.05410078673846941
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:2,0.3574782609939575,0.3159873441195571
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:2,0.3507755398750305,0.32881258854542916
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:2,0.39063116908073425,0.25255129447686375
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:3,0.3559930920600891,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:3,0.34478771686553955,0.03147638379639728
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:3,0.3348460793495178,0.059402873769814124
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:3,0.33433663845062256,0.06083391529915161
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:3,0.31959012150764465,0.10225751949787809
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:4,0.6142319440841675,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:4,0.5801510810852051,0.055485331440678576
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:4,0.3349437415599823,0.45469501417841374
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:4,0.3280830681324005,0.4658645300162968
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:4,0.38109463453292847,0.3795590766593091
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:5,0.3605039119720459,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:5,0.35217562317848206,0.023101798668441753
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:5,0.250570148229599,0.30494471791188593
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:5,0.2475990355014801,0.31318627266191956
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:5,0.2678179442882538,0.2571011426111214
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:6,0.32732483744621277,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:6,0.3093610405921936,0.05488064087703415
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:6,0.23186291754245758,0.2916427627324243
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:6,0.22975990176200867,0.2980676212822876
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:6,0.23884667456150055,0.2703069023879109
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:7,0.47028887271881104,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:7,0.4463825523853302,0.050833268061978076
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:7,0.3249240517616272,0.30909687511169004
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:7,0.31891119480133057,0.3218823295612827
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:7,0.3525388240814209,0.250378130268444
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:8,0.5291343331336975,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:8,0.48806044459342957,0.07762468992895555
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:8,0.3260098099708557,0.38388082277684654
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:8,0.32222437858581543,0.39103483102768477
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:8,0.3398343622684479,0.3577540881616139
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:9,0.42510029673576355,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:9,0.41230911016464233,0.03008980861538202
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:9,0.3258088529109955,0.23357180549437784
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:9,0.3217258155345917,0.24317668558445638
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:9,0.34409672021865845,0.1905516818950983
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:10,0.5350514650344849,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:10,0.5111074447631836,0.044750873207604513
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:10,0.36483466625213623,0.3181316376199024
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:10,0.3570064306259155,0.3327624463136346
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:10,0.4011320173740387,0.25029264736582835
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:11,0.5938078761100769,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:11,0.5604385733604431,0.056195453263822914
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:11,0.31815338134765625,0.4642149520955854
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:11,0.31538981199264526,0.46886893104432315
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:11,0.3406924307346344,0.4262581477254124
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:12,0.4928160607814789,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:12,0.45874911546707153,0.0691271004041264
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:12,0.3244491219520569,0.3416425563778006
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:12,0.31745055317878723,0.35584373472854613
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:12,0.35197755694389343,0.2857831045811534
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:13,0.47027045488357544,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:13,0.4530971050262451,0.03651802846424179
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:13,0.4777684807777405,-0.0159440717916699
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:13,0.4785299301147461,-0.017563245033574315
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:13,0.4427364766597748,0.0585492410545273
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:14,0.5505039095878601,0.0
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:14,0.5232484936714172,0.049509940695694366
pure_pbb_32,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:14,0.34599438309669495,0.3714951391431046
pure_pbb_budget_matched,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:14,0.33765843510627747,0.386637534765069
sfio_papbb_selected,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:14,0.38933971524238586,0.29275758362212423
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:15,0.6685340404510498,0.0
