method,rig_id,family,field_uid,relative_l2,gain_vs_base
zero_correction,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:0,0.6834951639175415,0.0
shared_field_prior,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:0,0.6583988666534424,0.03671759302619848
source_only_pbb_9,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:0,0.3899304270744324,0.4295052142878446
source_only_pbb_11,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:0,0.3692806661128998,0.45971722170451135
source_only_pbb_32,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:0,0.2660246193408966,0.6107878542751615
sfio_papbb_budget_vector_v1,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:0,0.41449663043022156,0.3935631847715203
zero_correction,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:1,0.3840938210487366,0.0
shared_field_prior,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:1,0.3859935700893402,-0.004946054678558909
source_only_pbb_9,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:1,0.13889726996421814,0.638376713311944
source_only_pbb_11,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:1,0.13329365849494934,0.6529658870038524
source_only_pbb_32,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:1,0.12301643192768097,0.6797229604168202
sfio_papbb_budget_vector_v1,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:1,0.16241112351417542,0.5771576770729474
zero_correction,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:2,0.5342094898223877,0.0
shared_field_prior,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:2,0.49053823947906494,0.08174929718646973
source_only_pbb_9,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:2,0.20924298465251923,0.6083128648237086
source_only_pbb_11,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:2,0.19967685639858246,0.626219937678437
source_only_pbb_32,fresh-budget-rig-a,triple_jet_merger,fresh-budget-rig-a:triple_jet_merger:2,0.16483142971992493,0.6914479565409302
