feature,field_spearman,cell_spearman,within_rig_family_centered_spearman,per_rig_spearman_median,per_rig_same_sign_fraction,leave_one_rig_oriented_positive_fraction,leave_one_rig_oriented_median
source_residual_standardized_rms,0.4101826917388766,0.47781217750258,0.10162295490963148,0.37718810780772444,1.0,1.0,0.37718810780772444
source_operator_effective_rank_fraction,0.08440619408164034,0.04702564066699708,,,,,
source_operator_log10_condition,-0.16557261768768275,-0.22258803249045286,,,,,
prior_rms_over_base,0.16881380257563713,0.16821465428276572,0.05946830865464497,0.005918310641844959,0.5,0.5,0.005918310641844959
prior_member_disagreement_over_base,-0.2055537979974125,-0.3126934984520124,-0.17665877051520457,-0.21380939149763828,1.0,1.0,0.21380939149763828
prior_pbb9_cosine,-0.08449319310591388,-0.31888544891640863,0.14426937450649052,-0.1369824951375382,0.6666666666666666,0.6666666666666666,0.1369824951375382
candidate_pbb9_cosine,-0.4161886537190358,-0.7089783281733747,7.073099843877395e-05,-0.33778827452070026,1.0,1.0,0.33778827452070026
candidate_minus_pbb9_rms_over_base,0.23090224461608497,0.4303405572755417,-0.054217239330550386,0.10878021672686859,0.6666666666666666,0.6666666666666666,0.10878021672686859
candidate_minus_pbb9_source_visibility,-0.49093151438925714,-0.8410732714138286,-0.1313608386895989,-0.3997777160322312,1.0,1.0,0.3997777160322312
candidate_source_gain_vs_pbb9,0.5544981056952599,0.8018575851393188,0.3534227373153599,0.5447346485134761,1.0,1.0,0.5447346485134761
candidate_floor_fraction,-0.44197455562491694,-0.760577915376677,-0.06220414199587202,-0.4436328641399976,1.0,1.0,0.4436328641399976
pbb9_floor_fraction,-0.4225533311829859,-0.7296181630546955,0.006612780125534614,-0.42579661745160036,1.0,1.0,0.42579661745160036
base_gradient_alignment,-0.0679568000781899,-0.37254901960784315,-0.03655506601131181,-0.05982217282578495,0.6666666666666666,0.5,-0.05512642400666852
pbb9_gradient_alignment,-0.053265585897010526,-0.30443756449948395,0.00798154306746194,-0.038316198944151156,0.6666666666666666,0.5,-0.027285357043623237
base_total_variation_over_rms,-0.26368979184510166,-0.28998968008255926,0.0037078475399758737,-0.30825229230341766,1.0,1.0,0.30825229230341766
pbb9_total_variation_over_rms,-0.28360738380182976,-0.29411764705882354,-0.04871796850284339,-0.3201722700750209,1.0,1.0,0.3201722700750209
pbb9_positive_volume_fraction,0.4225533311829859,0.7296181630546955,-0.006026915730617777,0.42579661745160036,1.0,1.0,0.42579661745160036
