field_uid,rig_id,family,reserved_view,source_gain_vs_pbb9,reserved_gain_vs_pbb9,target_gain_vs_pbb9
fresh-budget-rig-a:triple_jet_merger:0,fresh-budget-rig-a,triple_jet_merger,3,-0.04407039887499997,-0.060660227086356766,-0.07446267356174929
fresh-budget-rig-a:triple_jet_merger:1,fresh-budget-rig-a,triple_jet_merger,3,-0.016512834946673438,-0.11053389748329256,-0.11285649232399075
fresh-budget-rig-a:triple_jet_merger:2,fresh-budget-rig-a,triple_jet_merger,3,-0.024011968768710368,-0.10626405492574964,-0.0737155052256977
fresh-budget-rig-a:triple_jet_merger:3,fresh-budget-rig-a,triple_jet_merger,3,-0.04396511216607313,0.08384762662293033,-0.03802821567844816
fresh-budget-rig-a:triple_jet_merger:4,fresh-budget-rig-a,triple_jet_merger,3,-0.0337936578847251,-0.01887487254205622,-0.06946860723611925
fresh-budget-rig-a:triple_jet_merger:5,fresh-budget-rig-a,triple_jet_merger,3,-0.017351919966915652,-0.011735240788364187,-0.031745116837908816
fresh-budget-rig-a:triple_jet_merger:6,fresh-budget-rig-a,triple_jet_merger,3,-0.009730281866881407,-0.05153953449741544,-0.034166938145737236
fresh-budget-rig-a:triple_jet_merger:7,fresh-budget-rig-a,triple_jet_merger,3,-0.014066314877419162,-0.07645606541145278,-0.05173099877957199
fresh-budget-rig-a:triple_jet_merger:8,fresh-budget-rig-a,triple_jet_merger,3,-0.012497432012601228,-0.0030122195336963475,-0.01000666291354646
fresh-budget-rig-a:triple_jet_merger:9,fresh-budget-rig-a,triple_jet_merger,3,-0.032751314962580214,-0.03996151139577453,-0.038918257812417645
fresh-budget-rig-a:triple_jet_merger:10,fresh-budget-rig-a,triple_jet_merger,3,-0.021771684202539054,0.012374695707328742,-0.04397838810994514
fresh-budget-rig-a:triple_jet_merger:11,fresh-budget-rig-a,triple_jet_merger,3,-0.01102755839944658,-0.011689044936920023,-0.010728101084115593
fresh-budget-rig-a:triple_jet_merger:12,fresh-budget-rig-a,triple_jet_merger,3,-0.028215016116362346,0.06998816025710142,-0.03759182682934137
fresh-budget-rig-a:triple_jet_merger:13,fresh-budget-rig-a,triple_jet_merger,3,-0.020705889481441586,0.009546284427592866,-0.051064316429754175
fresh-budget-rig-a:triple_jet_merger:14,fresh-budget-rig-a,triple_jet_merger,3,-0.027147776819948843,-0.047741067462414355,-0.05544817778416378
fresh-budget-rig-a:triple_jet_merger:15,fresh-budget-rig-a,triple_jet_merger,3,-0.03164228818362402,-0.10210469043572123,-0.021027869113954045
fresh-budget-rig-a:triple_jet_merger:16,fresh-budget-rig-a,triple_jet_merger,3,-0.035424560651036385,-0.0737016144943079,-0.05512478315756231
fresh-budget-rig-a:triple_jet_merger:17,fresh-budget-rig-a,triple_jet_merger,3,-0.03430426513106588,-0.02858986246445916,-0.0707752185402808
fresh-budget-rig-a:triple_jet_merger:18,fresh-budget-rig-a,triple_jet_merger,3,-0.01422325436375016,0.0040135788730661925,-0.03161867612061453
fresh-budget-rig-a:triple_jet_merger:19,fresh-budget-rig-a,triple_jet_merger,3,-0.03365341272195965,-0.00987904274428164,-0.09722513465159044
fresh-budget-rig-a:tilted_flame_brush:0,fresh-budget-rig-a,tilted_flame_brush,3,0.02974261796973854,0.036855280586115535,0.01017715942698083
