kernel_radius,kernel_coefficients_per_view,kernel_fit_ridge,geometry_ridge,development_mean_relative_residual_error,development_worst_relative_residual_error
0,1,1e-08,1e-06,0.9955713271214913,1.0037853658099902
0,1,1e-08,0.0001,0.995570573948274,1.0037685353702894
0,1,1e-08,0.01,0.995722358365532,1.0035966388111126
0,1,1e-08,0.1,0.9958032206845072,1.0037596529344572
0,1,1e-08,1.0,0.9969092599301703,1.0033775530032356
0,1,1e-06,1e-06,0.9955713241283753,1.0037853575132691
0,1,1e-06,0.0001,0.9955705709855636,1.0037685271306223
0,1,1e-06,0.01,0.9957223562103378,1.0035966318145582
0,1,1e-06,0.1,0.9958032198460599,1.0037596462254101
0,1,1e-06,1.0,0.9969092603216976,1.0033775470826845
0,1,0.0001,1e-06,0.9955710249204898,1.0037845279692883
0,1,0.0001,0.0001,0.9955702748176393,1.0037677032910906
0,1,0.0001,0.01,0.9957221407764267,1.003595932263208
0,1,0.0001,0.1,0.9958031360596992,1.003758975417486
0,1,0.0001,1.0,0.9969092994972275,1.003376955112422
0,1,0.01,1e-06,0.9955421238265431,1.0037028380234836
0,1,0.01,0.0001,0.9955416718159166,1.0036865742237258
0,1,0.01,0.01,0.9957014376248011,1.0035270046699714
0,1,0.01,0.1,0.9957953306154156,1.0036928499636184
0,1,0.01,1.0,0.9969134402506508,1.0033185955241561
1,9,1e-08,1e-06,0.921824929349366,0.9732229602182785
1,9,1e-08,0.0001,0.9218242951322533,0.9732707045826806
1,9,1e-08,0.01,0.9221052925536953,0.9750797355718762
1,9,1e-08,0.1,0.9224153526652223,0.9750172955442578
1,9,1e-08,1.0,0.9252074203399595,0.9833445754968249
1,9,1e-06,1e-06,0.9218249275932768,0.9732229639677918
1,9,1e-06,0.0001,0.9218242934340987,0.9732707083461667
1,9,1e-06,0.01,0.9221052920642198,0.975079738445187
1,9,1e-06,0.1,0.9224153540900538,0.9750172946077276
1,9,1e-06,1.0,0.9252074213996163,0.9833445460342374
1,9,0.0001,1e-06,0.9218247529241959,0.97322333911043
1,9,0.0001,0.0001,0.9218241245559634,0.9732710848838547
1,9,0.0001,0.01,0.9221052439994194,0.9750800259430898
1,9,0.0001,0.1,0.9224154973998914,0.9750172012151429
1,9,0.0001,1.0,0.9252075281601151,0.9833416006478225
1,9,0.01,1e-06,0.9218163692495658,0.9732626907945401
1,9,0.01,0.0001,0.9218162959605226,0.973310555149456
1,9,0.01,0.01,0.9221089727481547,0.9751103858500644
1,9,0.01,0.1,0.9224378197591482,0.9750103856284975
1,9,0.01,1.0,0.925225890004357,0.9830555537499976
2,25,1e-08,1e-06,0.9171097777912761,0.969311116552237
2,25,1e-08,0.0001,0.9171047700065903,0.9693543923328946
2,25,1e-08,0.01,0.9173455162929622,0.9711776070141283
2,25,1e-08,0.1,0.917700379351338,0.971068169235639
2,25,1e-08,1.0,0.9207910076688437,0.9794299425592465
2,25,1e-06,1e-06,0.9171097731887086,0.9693111198254185
2,25,1e-06,0.0001,0.917104765520386,0.9693543957237372
2,25,1e-06,0.01,0.9173455141350303,0.9711776116499715
2,25,1e-06,0.1,0.9177003794087382,0.9710681707879185
2,25,1e-06,1.0,0.920791008904072,0.9794299202585569
2,25,0.0001,1e-06,0.9171093141821975,0.9693114475229075
2,25,0.0001,0.0001,0.917104318143327,0.9693547351780747
2,25,0.0001,0.01,0.9173452994412218,0.9711780754365743
2,25,0.0001,0.1,0.9177003861675946,0.9710683263080157
2,25,0.0001,1.0,0.9207911333603702,0.9794276911280538
2,25,0.01,1e-06,0.9170752546182164,0.969347769924123
2,25,0.01,0.0001,0.9170713565748211,0.969392146014174
2,25,0.01,0.01,0.9173342449280498,0.9712263397979569
2,25,0.01,0.1,0.9177107072525925,0.9710866304443534
2,25,0.01,1.0,0.9208124058237183,0.9792137285075272
