feature_index,kernel_index,depth_offset,y_offset,x_offset,coefficient
0,0,-1,-1,-1,0.0028169305345164333
0,1,-1,-1,0,-0.0023328296736805144
0,2,-1,-1,1,0.0037062890486041383
0,3,-1,0,-1,-0.0007287248533392841
0,4,-1,0,0,0.011354882737806587
0,5,-1,0,1,-0.001658326288335084
0,6,-1,1,-1,-0.0013767093007282048
0,7,-1,1,0,0.0038954099312969418
0,8,-1,1,1,-0.0023815709136451586
0,9,0,-1,-1,-0.009650175991715365
0,10,0,-1,0,0.02032052658461892
0,11,0,-1,1,-0.002382640796991753
0,12,0,0,-1,0.020249785258323726
0,13,0,0,0,-0.032428023730093784
0,14,0,0,1,0.005837164867826291
0,15,0,1,-1,-0.01325662724852406
0,16,0,1,0,0.012492145700877139
0,17,0,1,1,-0.004450930061222023
0,18,1,-1,-1,0.002500638464068559
0,19,1,-1,0,-0.0037995110669048365
0,20,1,-1,1,0.0028281564358558133
0,21,1,0,-1,-0.0030696571029353273
0,22,1,0,0,-0.0014010469213408126
0,23,1,0,1,-0.0009692373868422487
0,24,1,1,-1,-0.0016973319433245743
0,25,1,1,0,0.0021615830070495297
0,26,1,1,1,-0.002937510293073261
1,0,-1,-1,-1,8.756735394749955e-05
1,1,-1,-1,0,-0.0002449944618309613
1,2,-1,-1,1,-0.0006274481612836736
1,3,-1,0,-1,-0.0005990917637510059
1,4,-1,0,0,0.0004561716660880414
1,5,-1,0,1,-0.0005586539772243413
1,6,-1,1,-1,0.0007933705606811865
1,7,-1,1,0,-0.00015401844478218609
1,8,-1,1,1,9.092401224759188e-05
1,9,0,-1,-1,4.081640066184976e-05
1,10,0,-1,0,-0.0034474024008896162
1,11,0,-1,1,-0.0014882313200511163
1,12,0,0,-1,0.007779949123595145
1,13,0,0,0,-0.002904270692765389
1,14,0,0,1,0.004142643298505889
1,15,0,1,-1,0.0019018997757536537
1,16,0,1,0,-0.0045249279787015345
1,17,0,1,1,-0.002366795687541798
1,18,1,-1,-1,-3.955571055747596e-06
1,19,1,-1,0,-0.0007882858990419386
1,20,1,-1,1,-0.0003355516240591216
1,21,1,0,-1,0.00028999762338753117
1,22,1,0,0,0.0002666009616643214
1,23,1,0,1,0.0008415462161404591
1,24,1,1,-1,0.0002613752295224602
1,25,1,1,0,-0.0012241287837600153
1,26,1,1,1,0.0006359287252478352
2,0,-1,-1,-1,0.0035892164283986986
2,1,-1,-1,0,-0.0009847275569661073
2,2,-1,-1,1,-0.002575816392822014
2,3,-1,0,-1,0.0010447362540786241
2,4,-1,0,0,-0.0003274502035373634
2,5,-1,0,1,-0.0008724595390591114
2,6,-1,1,-1,2.262016922056942e-05
2,7,-1,1,0,0.0014971663400803624
2,8,-1,1,1,0.0004924051130253124
2,9,0,-1,-1,-0.003052764795078668
2,10,0,-1,0,-0.004962086923810752
2,11,0,-1,1,0.0010382357503263102
2,12,0,0,-1,0.009212146237556266
2,13,0,0,0,-0.00614431363966413
2,14,0,0,1,-0.0010459023133978591
2,15,0,1,-1,-0.0023248304133914733
2,16,0,1,0,0.006849118666113839
2,17,0,1,1,-0.0008617293741834948
2,18,1,-1,-1,0.0024334193921673
2,19,1,-1,0,0.0002964585406619577
2,20,1,-1,1,-0.0012389231150752797
2,21,1,0,-1,0.0017177121131232908
2,22,1,0,0,-0.0005326739164611975
2,23,1,0,1,-0.0012755179915740873
2,24,1,1,-1,0.001485268740267738
2,25,1,1,0,-0.00014213040970210573
2,26,1,1,1,-0.0012543814311938135
3,0,-1,-1,-1,0.0005242024152025209
3,1,-1,-1,0,-0.00020679413894580812
3,2,-1,-1,1,-0.0008932773195642173
3,3,-1,0,-1,0.0005067971792723949
