stratum,rig,K,method,hidden_action_relative_l2,gradient_cosine_median,gradient_relative_l2_median,query_count,activation,dot_defect_max
in_class,0,4,nominal,0.10668870377021183,0.9695014861558544,0.25421577759599145,4,,
in_class,0,4,secant,0.10282671446186124,0.9702147488364532,0.24705361152375216,4,,
in_class,0,4,channel_gate,0.00046341307520943534,0.9999992735491467,0.0012150877463732983,4,,
in_class,0,4,full_srco,0.0006425560277437628,0.9999988864650565,0.001514607607111253,4,,
in_class,0,4,df_gated_srco,0.00046341307520943534,0.9999992735491467,0.0012150877463732983,4,0.0,3.242539451128277e-14
in_class,0,8,nominal,0.10668870377021183,0.9670983648933097,0.2692472155688172,8,,
in_class,0,8,secant,0.09864125666985721,0.9700879923629907,0.24385122192113423,8,,
in_class,0,8,channel_gate,0.00033405205135639,0.9999997126860709,0.000780945382273486,8,,
in_class,0,8,full_srco,0.0008322715910609991,0.9999981324466345,0.0019500986240421126,8,,
in_class,0,8,df_gated_srco,0.0003341671684875204,0.9999997121659936,0.0007812520545272387,8,0.00802290427477248,1.7636499556705414e-14
in_class,0,16,nominal,0.10668870377021183,0.9703863021510466,0.2510616949705902,16,,
in_class,0,16,secant,0.09051037046534674,0.9745965669646353,0.22724660270941988,16,,
in_class,0,16,channel_gate,0.0003402812210466946,0.9999996654970155,0.0008256537427901265,16,,
in_class,0,16,full_srco,0.0012686148022964673,0.999996593223687,0.002729426284288827,16,,
in_class,0,16,df_gated_srco,0.0003402812210466946,0.9999996654970155,0.0008256537427901265,16,0.0,4.696062091317928e-15
in_class,0,32,nominal,0.10668870377021183,0.9725997798062216,0.2355136825073165,32,,
in_class,0,32,secant,0.07444497800469567,0.9864656166099361,0.16556063754426267,32,,
in_class,0,32,channel_gate,0.00023983871600536202,0.999999873852419,0.0005112174527214545,32,,
in_class,0,32,full_srco,0.002066228311221278,0.9999896112327766,0.004559105562057049,32,,
in_class,0,32,df_gated_srco,0.00023983871600536202,0.999999873852419,0.0005112174527214545,32,0.0,4.5992258672154065e-15
in_class,1,4,nominal,0.09414424987378346,0.978739381040447,0.21238177748171957,4,,
in_class,1,4,secant,0.09154802873732948,0.9794907893210277,0.20886046144956744,4,,
in_class,1,4,channel_gate,0.0005917531284437616,0.9999991084063995,0.001361248797110529,4,,
in_class,1,4,full_srco,0.0008061294561976665,0.9999987059885536,0.001633118177619038,4,,
in_class,1,4,df_gated_srco,0.000591955558568449,0.9999991172062097,0.0013577478521641143,4,0.02758118191259007,4.661249165508819e-15
in_class,1,8,nominal,0.09414424987378346,0.9795746801517525,0.20375643139867028,8,,
in_class,1,8,secant,0.08847187393175696,0.9815743828965202,0.19653119751994963,8,,
in_class,1,8,channel_gate,0.0003223691236970738,0.9999997529996137,0.0007227724173389319,8,,
in_class,1,8,full_srco,0.0008025077790684909,0.9999983026642267,0.0019492171139031899,8,,
in_class,1,8,df_gated_srco,0.0003223691236970738,0.9999997529996137,0.0007227724173389319,8,0.0,8.435701980212534e-15
in_class,1,16,nominal,0.09414424987378346,0.9805085495567438,0.20730153987575295,16,,
in_class,1,16,secant,0.0813746748300191,0.9860336640984859,0.17663906765523962,16,,
in_class,1,16,channel_gate,0.00026040864269508157,0.9999998309209643,0.0005951124973021023,16,,
in_class,1,16,full_srco,0.0011188108399492083,0.9999968809510262,0.0025189393962803883,16,,
in_class,1,16,df_gated_srco,0.00026040864269508157,0.9999998309209643,0.0005951124973021023,16,0.0,7.612961054540912e-15
in_class,1,32,nominal,0.09414424987378346,0.9741094959705197,0.23032889365475567,32,,
in_class,1,32,secant,0.06552393040032056,0.986481383472692,0.16815032677214364,32,,
in_class,1,32,channel_gate,0.00019693698981436433,0.9999998997936288,0.0004511953528196684,32,,
in_class,1,32,full_srco,0.0019878215014548593,0.9999911173256575,0.004273114057962961,32,,
in_class,1,32,df_gated_srco,0.00020034916227688827,0.9999998992869077,0.00045313848307391806,32,0.01844642576056532,1.0084517114626701e-14
in_class,2,4,nominal,0.09516029046275927,0.9785892790012649,0.2196948300333682,4,,
in_class,2,4,secant,0.09155565379278169,0.9785943629591413,0.21998466915543768,4,,
in_class,2,4,channel_gate,0.0006075902616965388,0.9999990937680725,0.0013529506844905176,4,,
in_class,2,4,full_srco,0.0007751640421868943,0.9999986664058205,0.0016772818204484237,4,,
in_class,2,4,df_gated_srco,0.0006075902616965388,0.9999990937680725,0.0013529506844905176,4,0.0,2.657063003585895e-14
in_class,2,8,nominal,0.09516029046275927,0.9781824092681954,0.21460790825508042,8,,
in_class,2,8,secant,0.08878825142565787,0.9817099387820192,0.19636852889522494,8,,
in_class,2,8,channel_gate,0.00036706779576779476,0.9999996483382724,0.000866365933636385,8,,
in_class,2,8,full_srco,0.0008302954723957104,0.99999839707819,0.001853670999061095,8,,
in_class,2,8,df_gated_srco,0.00036706779576779476,0.9999996483382724,0.000866365933636385,8,0.0,1.2382689379213282e-14
in_class,2,16,nominal,0.09516029046275927,0.9705777071872475,0.24686805339430545,16,,
in_class,2,16,secant,0.08271931757623065,0.9809910913324307,0.2104174505752861,16,,
in_class,2,16,channel_gate,0.00025327498749876153,0.9999997932786575,0.0006503915570058955,16,,
in_class,2,16,full_srco,0.0011623297976327432,0.9999959693739862,0.002846781702442164,16,,
in_class,2,16,df_gated_srco,0.00025351852340979337,0.9999997936787035,0.0006506123609840865,16,0.004861111124013773,1.4021478563532357e-14
in_class,2,32,nominal,0.09516029046275927,0.9747000231027263,0.24178618114984918,32,,
in_class,2,32,secant,0.06810000096358164,0.9884795153095522,0.16272896162621636,32,,
in_class,2,32,channel_gate,0.00019986323463506837,0.9999998918265224,0.00047336768493823973,32,,
in_class,2,32,full_srco,0.0020166175594368034,0.9999905253236812,0.004359259349416436,32,,
in_class,2,32,df_gated_srco,0.00019986323463506837,0.9999998918265224,0.00047336768493823973,32,0.0,8.839207580848459e-15
in_class,3,4,nominal,0.09963857575412655,0.9775055660252108,0.2220481099175718,4,,
in_class,3,4,secant,0.0972903147698119,0.9788449754475692,0.2157773394236338,4,,
in_class,3,4,channel_gate,0.0005751264590684179,0.9999991227461733,0.0013306011936561086,4,,
in_class,3,4,full_srco,0.0007335402734068507,0.9999982720357788,0.0018931638284229346,4,,
in_class,3,4,df_gated_srco,0.0005753068505240137,0.9999991275263987,0.001329226048093418,4,0.027692378850857846,9.275548217771963e-15
in_class,3,8,nominal,0.09963857575412655,0.9745191986999748,0.22667264021039926,8,,
in_class,3,8,secant,0.09378901048256244,0.9784227210160469,0.20926385212376017,8,,
in_class,3,8,channel_gate,0.00037763776557543416,0.9999996733430689,0.0008232255695751694,8,,
in_class,3,8,full_srco,0.0008053871399886554,0.9999985328305192,0.0017129658640513675,8,,
in_class,3,8,df_gated_srco,0.00037788219481506036,0.9999996727052691,0.0008241860487746082,8,0.01774563744516089,7.030751072047902e-15
in_class,3,16,nominal,0.09963857575412655,0.9741455286047171,0.23148959303658168,16,,
in_class,3,16,secant,0.08731904687891129,0.9820323923500334,0.19153449390231372,16,,
in_class,3,16,channel_gate,0.000302279249978255,0.9999998151662699,0.0006138096102716043,16,,
in_class,3,16,full_srco,0.0011939051087008178,0.9999966493537641,0.0026345789048847403,16,,
in_class,3,16,df_gated_srco,0.000302279249978255,0.9999998151662699,0.0006138096102716043,16,0.0,3.5438698240146774e-15
in_class,3,32,nominal,0.09963857575412655,0.9758274783251275,0.22135228811345045,32,,
in_class,3,32,secant,0.07168715397813506,0.9880034080006372,0.16024533169954802,32,,
in_class,3,32,channel_gate,0.00015297375239989829,0.9999999331417158,0.00036646458595752506,32,,
in_class,3,32,full_srco,0.0018867922462390753,0.9999910278344026,0.0042972985065198276,32,,
in_class,3,32,df_gated_srco,0.00015297375239989829,0.9999999331417158,0.00036646458595752506,32,0.0,1.2631283222599386e-14
in_class,4,4,nominal,0.09604015391560872,0.9765496486422168,0.21903979988138417,4,,
in_class,4,4,secant,0.09360599554361472,0.977714362665101,0.21450468471134593,4,,
in_class,4,4,channel_gate,0.0005625800648083241,0.9999992008688992,0.001279700197592696,4,,
in_class,4,4,full_srco,0.000711379640619681,0.9999986750131331,0.001681842986971902,4,,
in_class,4,4,df_gated_srco,0.0005625800648083241,0.9999992008688992,0.001279700197592696,4,0.0,3.7167080082690296e-14
in_class,4,8,nominal,0.09604015391560872,0.9768747267067343,0.219846479809675,8,,
in_class,4,8,secant,0.08983151599858685,0.9785001525540039,0.2086166988431079,8,,
