base_seed,family,mismatch_severity,correction_candidate,residual_amplitude,loco_score,field_relative_l2
101,smooth_plume,0.0,-0.5,0.5,0.08491611079081117,0.5373768383165718
101,smooth_plume,0.0,0.0,0.0,0.08256098504238878,0.5303539883483216
101,smooth_plume,0.0,0.5,-0.5,0.08620314690701351,0.5491990760183105
101,smooth_plume,0.0,1.0,-1.0,0.09547749427001011,0.587860157298505
101,smooth_plume,0.0,1.5,-1.5,0.11112151288614326,0.6447839751481927
101,smooth_plume,0.0,2.0,-2.0,0.13035707133288835,0.6940619913192972
101,smooth_plume,0.0,2.5,-2.5,0.15436000224028712,0.7374474224547638
101,wrinkled_density_interface,0.0,-0.5,0.5,0.17691974526867027,0.6361120131095801
101,wrinkled_density_interface,0.0,0.0,0.0,0.16171042797681737,0.629167857951391
101,wrinkled_density_interface,0.0,0.5,-0.5,0.1555001487991667,0.6363084721140307
101,wrinkled_density_interface,0.0,1.0,-1.0,0.16359303799850242,0.661527880585731
101,wrinkled_density_interface,0.0,1.5,-1.5,0.18365437729517287,0.6981239365009121
101,wrinkled_density_interface,0.0,2.0,-2.0,0.20692745532036325,0.7211265861756555
101,wrinkled_density_interface,0.0,2.5,-2.5,0.234042794776775,0.7350556823688422
101,shock_expansion_pair,0.0,-0.5,0.5,0.14637550906239805,0.5946823301468758
101,shock_expansion_pair,0.0,0.0,0.0,0.14379939980448023,0.5915088432532365
101,shock_expansion_pair,0.0,0.5,-0.5,0.14352582312797463,0.5993348689773291
101,shock_expansion_pair,0.0,1.0,-1.0,0.14426542635513345,0.6243429654981659
101,shock_expansion_pair,0.0,1.5,-1.5,0.1500362665244434,0.6573495343390183
101,shock_expansion_pair,0.0,2.0,-2.0,0.1603328301233569,0.6632451980543929
101,shock_expansion_pair,0.0,2.5,-2.5,0.17175049043981339,0.6613653382827581
101,smooth_plume,0.5,-0.5,1.0,0.09097619433390662,0.5536063495435802
101,smooth_plume,0.5,0.0,0.5,0.08491702038038801,0.5373905185022773
101,smooth_plume,0.5,0.5,0.0,0.08256199523280684,0.5303681740413804
101,smooth_plume,0.5,1.0,-0.5,0.08620455922688074,0.5492205002388018
101,smooth_plume,0.5,1.5,-1.0,0.0954792475543484,0.5878920699694947
101,smooth_plume,0.5,2.0,-1.5,0.11112391100828571,0.6448267678039034
101,smooth_plume,0.5,2.5,-2.0,0.13036018353731244,0.6941055995144263
101,wrinkled_density_interface,0.5,-0.5,1.0,0.19516867201219826,0.6547748943143648
101,wrinkled_density_interface,0.5,0.0,0.5,0.17692009134220565,0.6361169993138507
101,wrinkled_density_interface,0.5,0.5,0.0,0.16171049705728566,0.6291711314413891
101,wrinkled_density_interface,0.5,1.0,-0.5,0.15550012708342073,0.6363146573289191
101,wrinkled_density_interface,0.5,1.5,-1.0,0.16359373979797387,0.6615423542093746
101,wrinkled_density_interface,0.5,2.0,-1.5,0.18365679778202124,0.6981471902526653
101,wrinkled_density_interface,0.5,2.5,-2.0,0.20693017115185872,0.7211497918234439
101,shock_expansion_pair,0.5,-0.5,1.0,0.1523031065742134,0.6037681845082384
101,shock_expansion_pair,0.5,0.0,0.5,0.1463754661184629,0.5946837178386972
101,shock_expansion_pair,0.5,0.5,0.0,0.14379940644081415,0.5915101097127353
101,shock_expansion_pair,0.5,1.0,-0.5,0.1435259640643361,0.599338475908204
101,shock_expansion_pair,0.5,1.5,-1.0,0.14426549905943087,0.6243509907723906
101,shock_expansion_pair,0.5,2.0,-1.5,0.1500367264228772,0.6573629442774668
101,shock_expansion_pair,0.5,2.5,-2.0,0.1603336269739816,0.6632569444241042
101,smooth_plume,1.0,-0.5,1.5,0.10018947442510322,0.569505398003589
101,smooth_plume,1.0,0.0,1.0,0.09097830799661451,0.5536420647042976
101,smooth_plume,1.0,0.5,0.5,0.0849195492243096,0.5374285486782773
101,smooth_plume,1.0,1.0,0.0,0.08256480423471864,0.5304076217637897
