base_seed,ridge_alpha,estimated_profile_selected_subset,teacher_profile_oracle_subset,estimated_raw_selected_subset,teacher_raw_selected_subset,azimuth_spread_subset,estimated_profile_vs_teacher_profile_spearman,estimated_raw_vs_teacher_profile_spearman,teacher_raw_vs_teacher_profile_spearman,estimated_profile_oracle_d_efficiency,estimated_raw_oracle_d_efficiency,teacher_raw_oracle_d_efficiency,azimuth_spread_oracle_d_efficiency,estimated_regularized_trace_retention,teacher_regularized_trace_retention,maximum_dual_svd_relative_difference,minimum_regularized_eigenvalue_relative_to_raw,minimum_raw_minus_profile_eigenvalue_relative_to_raw
101,1e-06,0;3;5,0;3;5,1;2;5,1;2;4,0;2;4,0.9684210526315788,-0.3278195488721804,-0.18646616541353384,1.0,0.08490260000516858,0.591744110606508,0.04152541854842456,7.073150349112067e-05,9.406159566640271e-05,3.0112537971322197e-13,1.5194107742212907e-07,0.0028498870688595866
101,0.0001,0;3;5,0;3;5,1;2;5,1;2;4,0;2;4,0.9699248120300751,-0.3278195488721804,-0.18646616541353384,1.0,0.0930062733547269,0.6410360956603395,0.0455144185149434,0.006095729669713705,0.007871629474025725,2.5042189171976656e-13,1.4240005180234641e-05,0.0027921904339547805
101,0.002,0;3;5,1;2;4,1;2;5,1;2;4,0;2;4,0.9097744360902256,-0.1639097744360902,0.016541353383458645,0.9793813013155822,0.1700195727825462,1.0,0.08403374058138535,0.05776181589221607,0.06709091917981233,2.2654339442999187e-14,0.00016342519237994222,0.0024981942719738115
101,0.01,0;3;5,1;2;4,1;2;5,1;2;4,0;2;4,0.9097744360902256,-0.13082706766917293,0.18496240601503755,0.7265329534525454,0.22822591597132816,1.0,0.11645744670402373,0.1359505377935627,0.1460728439414286,5.549202878826921e-15,0.00046281455128616134,0.0021972573587861533
101,1.0,1;4;5,1;2;4,1;2;5,1;2;4,0;2;4,0.8090225563909773,0.5398496240601504,0.9233082706766916,0.9752546200095679,0.6610153223786311,1.0,0.5180930692621986,0.5381913006498515,0.5329630791718277,1.3551727637270863e-15,0.0018761880763696964,0.0009006298000203734
211,1e-06,0;3;4,0;3;4,1;4;5,1;2;4,1;3;5,0.9864661654135337,-0.19097744360902258,-0.11578947368421053,1.0,0.47326223614691254,0.4743164638675542,0.03106739236839945,0.0001454629310999139,0.00015098515786696526,4.2122739212961556e-13,2.8337466471360637e-07,0.020868521904058003
211,0.0001,0;3;4,0;3;4,1;4;5,1;2;4,1;3;5,0.9864661654135337,-0.19097744360902258,-0.11578947368421053,1.0,0.5331111994859455,0.5348828089976762,0.035800814729478395,0.012237653136295936,0.012454658283466065,1.436197441678501e-13,2.5900353215719595e-05,0.020546598807025033
211,0.002,0;3;4,0;3;4,1;4;5,1;2;4,1;3;5,0.9864661654135337,-0.14285714285714285,-0.060150375939849614,1.0,0.9206101823252398,0.9338486228743902,0.08216873200598179,0.09436934496711386,0.09422842242281297,2.525670253432495e-14,0.000293291468571535,0.018519223469728657
211,0.01,1;2;4,1;2;4,1;4;5,1;2;4,1;3;5,0.9924812030075187,0.13684210526315788,0.24661654135338343,1.0,0.9755469081586495,1.0,0.13580678021570333,0.18549335173566506,0.1824007517588379,2.3345646256867687e-14,0.0009001138826175453,0.014841125423403016
211,1.0,1;4;5,1;2;4,1;4;5,1;2;4,1;3;5,0.9218045112781955,0.825563909774436,0.9112781954887217,0.986068501684279,0.986068501684279,1.0,0.563392867700912,0.550737869364553,0.532268660787013,1.6358965740062254e-15,0.01118440263111641,0.003201956180052258
307,1e-06,0;3;5,0;3;5,1;2;5,1;4;5,0;2;4,0.9744360902255638,-0.2706766917293233,-0.2857142857142857,1.0,0.20778589421536023,0.5837690562813366,0.06739286276000715,6.274991041559451e-05,4.514498385228483e-05,1.0982426856784884e-13,1.4622409549223088e-07,0.01208009314116349
307,0.0001,0;3;5,0;3;5,1;2;5,1;4;5,0;2;4,0.9744360902255638,-0.2706766917293233,-0.2857142857142857,1.0,0.21647214065196355,0.6070969640253439,0.07034626408346051,0.005837995854579281,0.00421231082296329,7.85780903763507e-14,1.4096004406078631e-05,0.011996235097802952
307,0.002,0;3;5,0;3;5,1;2;5,1;4;5,0;2;4,0.9759398496240601,-0.26917293233082706,-0.28421052631578947,1.0,0.3192299238042279,0.868480878742825,0.10716128943212469,0.06440879305138401,0.048348932583822786,2.2433382499510466e-14,0.00021281698298679431,0.011034578821561251
307,0.01,0;3;5,1;4;5,1;2;5,1;4;5,0;2;4,0.8796992481203006,-0.04360902255639097,0.03157894736842105,0.7831838205715856,0.4000189071815052,1.0,0.14654039132227573,0.15491779169315406,0.12460466608179499,6.626821581693234e-15,0.0007792994951567206,0.009595455445200672
307,1.0,1;4;5,1;4;5,1;2;5,1;4;5,0;2;4,0.8481203007518796,0.6105263157894737,0.7984962406015037,1.0,0.7104287766920634,1.0,0.5113729659750952,0.576192940321422,0.5412913768931135,1.1636322068130614e-15,0.007509763225330018,0.0024112538301168844
