base_seed,family,source,frame_index,mode,selected_step,relative_change,cancellation_ratio
101,smooth_plume,estimated_field_from_all_camera_pilot,0,yaw,0.0015625,0.0014543042426399414,1555858124.8663173
101,smooth_plume,estimated_field_from_all_camera_pilot,0,pitch,0.003125,0.0021702366984867783,1581558009.2688117
101,smooth_plume,estimated_field_from_all_camera_pilot,0,roll,0.00625,0.0013788156315660447,3559276293.385067
101,smooth_plume,estimated_field_from_all_camera_pilot,0,shift_u,0.05,0.0032823401065565153,98759816397.68805
101,smooth_plume,estimated_field_from_all_camera_pilot,0,shift_v,0.05,0.0029480332581808596,73359184356.07112
101,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,yaw,0.0015625,0.0017479625825300384,2536474542.8730755
101,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,pitch,0.0125,0.0022278655133196545,8768912045.578894
101,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,roll,0.0125,0.0028459389262758747,14384173851.513184
101,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,shift_u,0.0125,0.002654578151691577,21283284005.77686
101,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,shift_v,0.05,0.004224025151706143,48314729015.025734
101,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,yaw,0.0015625,0.0017255264431436071,2351883505.7291126
101,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,pitch,0.0125,0.004588845534377382,6885096787.526913
101,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,roll,0.0125,0.004621836588450678,12093592956.086037
101,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,shift_u,0.05,0.004208884827652103,83897081051.951
101,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,shift_v,0.05,0.0037079214784563417,48591452049.14969
101,smooth_plume,voxelized_teacher_same_forward_family,0,yaw,0.0015625,0.001833820444379396,268725772.8986767
101,smooth_plume,voxelized_teacher_same_forward_family,0,pitch,0.0125,0.002156682103109016,1345466422.6323516
101,smooth_plume,voxelized_teacher_same_forward_family,0,roll,0.00625,0.0018304140775253642,1760486628.688833
101,smooth_plume,voxelized_teacher_same_forward_family,0,shift_u,0.05,0.0022327577463623805,93694573552.32649
101,smooth_plume,voxelized_teacher_same_forward_family,0,shift_v,0.05,0.0018515259148920143,71620987179.41313
101,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,yaw,0.025,0.0030076205345395826,31225127483.78576
101,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,pitch,0.05,0.002185692076086774,29019502051.58814
101,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,roll,0.0125,0.0016956433285081553,14278625153.6653
101,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,shift_u,0.05,0.0025729043730032455,92951175037.17938
101,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,shift_v,0.05,0.0015429898845494491,53416723414.35485
101,shock_expansion_pair,voxelized_teacher_same_forward_family,2,yaw,0.0015625,0.0007182402132444254,1718470538.7861629
101,shock_expansion_pair,voxelized_teacher_same_forward_family,2,pitch,0.05,0.0017823021620892762,17884516644.577095
101,shock_expansion_pair,voxelized_teacher_same_forward_family,2,roll,0.0125,0.0018915750798652183,9145930959.075972
101,shock_expansion_pair,voxelized_teacher_same_forward_family,2,shift_u,0.05,0.002585493760179625,85986805071.90863
101,shock_expansion_pair,voxelized_teacher_same_forward_family,2,shift_v,0.05,0.0010212425815853184,51360494026.738594
211,smooth_plume,estimated_field_from_all_camera_pilot,0,yaw,0.003125,2.8834012230731304e-08,3278794071.6012754
211,smooth_plume,estimated_field_from_all_camera_pilot,0,pitch,0.00625,0.003485857477155897,4590593182.479428
211,smooth_plume,estimated_field_from_all_camera_pilot,0,roll,0.025,0.004192326334038484,18441581257.391834
211,smooth_plume,estimated_field_from_all_camera_pilot,0,shift_u,0.025,0.002813577039519638,52592515208.25992
211,smooth_plume,estimated_field_from_all_camera_pilot,0,shift_v,0.05,0.002912812299323667,102852076599.91971
211,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,yaw,0.003125,1.8524588928218726e-08,6832964423.84266
211,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,pitch,0.05,0.004712966492371804,44127292863.42422
211,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,roll,0.0125,0.003992882189068756,15579343691.366951
211,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,shift_u,0.025,0.004811289426312435,56065331509.59061
211,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,shift_v,0.0125,0.0042285683628007125,10107235579.067307
211,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,yaw,0.0125,0.004483770995469863,18754917152.167797
