base_seed,ridge_alpha,camera_subset,estimated_raw_logdet,estimated_regularized_profile_logdet,estimated_raw_rank,estimated_regularized_profile_rank,teacher_raw_logdet,teacher_regularized_profile_logdet,teacher_data_only_relative_rank,teacher_raw_rank,teacher_regularized_profile_rank,field_operator_rank,field_operator_row_count,dual_svd_relative_difference
101,1e-06,0;1;2,30.43979241253289,-33.720362291125845,5,5,26.709152756672804,-38.16266561709225,0,5,5,150,150,2.120476181535498e-15
101,1e-06,0;1;3,29.353632051694127,-22.231246208572742,5,5,25.088026753898614,-25.860810620846195,0,5,5,150,150,3.2731160796495227e-13
101,1e-06,0;1;4,30.03945127485258,-25.916597622142316,5,5,26.851759072450232,-28.653464464884166,0,5,5,150,150,3.722227517190516e-14
101,1e-06,0;1;5,31.033139323840977,-33.433213187079076,5,5,26.454842230326932,-38.10205447760637,0,5,5,150,150,6.714716264790864e-15
101,1e-06,0;2;3,29.368076688192225,-22.237585316942013,5,5,25.218365127340064,-25.679298132170167,0,5,5,150,150,2.8463604794025144e-13
101,1e-06,0;2;4,29.781851542168784,-36.136507975509296,5,5,26.69649511988065,-41.30230014186556,0,5,5,150,150,2.2679138614464383e-15
101,1e-06,0;2;5,30.789852269493593,-32.78948483691285,5,5,26.060816895027653,-38.06064543764064,0,5,5,150,150,6.44782898294835e-15
101,1e-06,0;3;4,28.724296842884037,-22.307704096741865,5,5,24.999854737889795,-25.888514157346748,0,5,5,150,150,4.139059146125298e-13
101,1e-06,0;3;5,30.065787024954147,-21.871564130001936,5,5,24.902823360344264,-25.395052421358976,0,5,5,150,150,5.926689348031791e-13
101,1e-06,0;4;5,30.631042683027964,-34.805699388739185,5,5,26.661324503095365,-40.0065444976292,0,5,5,150,150,2.2880391648166973e-15
101,1e-06,1;2;3,30.555531344889232,-33.89595910265708,5,5,26.86185488400493,-38.34270135077102,0,5,5,150,150,4.832644481375084e-15
101,1e-06,1;2;4,30.883169211310467,-26.05601134913986,5,5,27.996606760526777,-28.01845733706049,0,5,5,150,150,3.938213946913621e-14
101,1e-06,1;2;5,31.60841510904886,-33.1466631212068,5,5,27.42318449626284,-37.72630523040414,0,5,5,150,150,1.1770057896251291e-14
101,1e-06,1;3;4,30.182650448933572,-26.07986027057033,5,5,26.977403335282716,-28.932142653803233,0,5,5,150,150,2.7279518480734612e-14
101,1e-06,1;3;5,31.079428804617237,-35.33382881838985,5,5,26.60043442336628,-40.108207663948214,0,5,5,150,150,1.7233138946107542e-15
101,1e-06,1;4;5,31.49904571940263,-25.99840015185766,5,5,27.93581301035919,-28.033157606777962,0,5,5,150,150,4.934666244098514e-14
101,1e-06,2;3;4,29.997925580738897,-33.37525441366829,5,5,26.819129672280027,-37.37493835650175,0,5,5,150,150,3.557288947644249e-15
101,1e-06,2;3;5,30.8554277142647,-32.33615846075969,5,5,26.186162250657066,-37.24557145776865,0,5,5,150,150,3.914100778545882e-15
101,1e-06,2;4;5,31.236568154847674,-33.55604432243552,5,5,27.55344534483754,-37.733463388546916,0,5,5,150,150,7.117432839252643e-15
101,1e-06,3;4;5,30.719486170077335,-33.65485627469763,5,5,26.748194149836582,-37.821626470983944,0,5,5,150,150,4.105630736144286e-15
101,0.0001,0;1;2,30.43979241253289,-10.704998891102285,5,5,26.709152756672804,-15.145631197495904,0,5,5,150,150,2.9940375399628585e-15
101,0.0001,0;1;3,29.353632051694127,0.3898736027706966,5,5,25.088026753898614,-3.2783748893093065,0,5,5,150,150,2.1825262383330936e-13
101,0.0001,0;1;4,30.03945127485258,-2.945949652338556,5,5,26.851759072450232,-5.691523554383943,0,5,5,150,150,4.4377475025482324e-14
101,0.0001,0;1;5,31.033139323840977,-10.418554563519194,5,5,26.454842230326932,-15.086142240660083,0,5,5,150,150,6.870064228386004e-15
