feature,truth_outcome_class,count,minimum,median,maximum
maximum_normalized_total_l2_change,beneficial,7,-0.08189958333969116,-0.04648107290267944,-0.022700011730194092
maximum_normalized_total_l2_change,neutral,40,-0.006604790687561035,0.0,0.0005173683166503906
maximum_normalized_total_l2_change,harmful,25,-0.042957961559295654,-0.005381762981414795,0.09106922149658203
maximum_normalized_total_h1_change,beneficial,7,-0.03511744737625122,0.14291465282440186,0.2071361541748047
maximum_normalized_total_h1_change,neutral,40,0.0,0.0,0.25564253330230713
maximum_normalized_total_h1_change,harmful,25,-0.027777493000030518,0.0776287317276001,0.3243119716644287
maximum_normalized_total_huber_change,beneficial,7,-0.01191142201423645,0.02151113748550415,0.05605921149253845
maximum_normalized_total_huber_change,neutral,40,0.0,0.0,0.052560269832611084
maximum_normalized_total_huber_change,harmful,25,-0.006727784872055054,0.023246288299560547,0.06555598974227905
minimum_gate_holdout_improvement,beneficial,7,-0.5758091630862476,-0.14828484532238173,0.08049409982651123
minimum_gate_holdout_improvement,neutral,40,-0.5754497066741109,0.0,0.23704434575400724
minimum_gate_holdout_improvement,harmful,25,-0.1419907317036524,0.004200314822600526,0.27401651898635593
maximum_residual_roughness_log1p,beneficial,7,2.325253084506495,3.258492832080635,4.154669472365666
maximum_residual_roughness_log1p,neutral,40,0.0,0.0,3.8333409314643574
maximum_residual_roughness_log1p,harmful,25,1.7713164448886232,3.234652774395744,4.5763132348149185
