held_out_group,train_group_count,train_unit_count,test_unit_count,train_positive_count,degenerate_training_fold,optimizer_converged,optimizer_iterations,optimizer_objective
3301,11,66,6,5,False,True,8,9.352911879774751
3302,11,66,6,7,False,True,7,12.416068912274023
3303,11,66,6,7,False,True,7,12.879903068670735
3304,11,66,6,7,False,True,7,12.893273386014528
3305,11,66,6,7,False,True,7,12.923994239187772
3306,11,66,6,6,False,True,8,11.493324435258751
3401,11,66,6,3,False,True,7,8.974318509579087
3402,11,66,6,7,False,True,7,12.588472085216942
3403,11,66,6,7,False,True,7,12.56513652147964
3404,11,66,6,7,False,True,7,12.874773733004636
3405,11,66,6,7,False,True,7,13.031769033115886
3406,11,66,6,7,False,True,7,13.09971136650677
