stage,family,phantom_seed,noise_fraction,candidate_name,base_model_seed,residual_seed,step,train_mean_whitened_mse,development_normalized_mean,development_worst_ratio,all_renderers_consent,development_automatic_whitened_mse,development_central_0_whitened_mse,development_central_1_whitened_mse,development_central_2_whitened_mse
A,smooth_plume,2201,0.02,mgrs_56,101,307,20.0,9.657045364379883,0.5429503309218465,1.282245065746409,0.0,9.746086120605469,2.9189443588256836,9.024057388305664,8.903779983520508
A,smooth_plume,2201,0.02,mgrs_56,101,307,40.0,6.10943603515625,0.45963951253912066,1.1009396683092358,0.0,7.777800559997559,2.5062148571014404,7.912258148193359,6.905116081237793
A,smooth_plume,2201,0.02,mgrs_56,101,307,60.0,5.501009941101074,0.43803135974195007,1.048975131047701,0.0,7.284260272979736,2.387921094894409,7.655384063720703,6.499634742736816
A,smooth_plume,2201,0.02,mgrs_56,101,307,80.0,5.094752788543701,0.4334250813867629,1.0398262472442017,0.0,7.168362617492676,2.3670942783355713,7.574442386627197,6.396361351013184
A,smooth_plume,2201,0.02,mgrs_56,101,307,100.0,4.899200916290283,0.4301244945772449,1.0466625122407194,0.0,7.127233505249023,2.3826565742492676,7.262905120849609,6.229663372039795
A,smooth_plume,2201,0.02,mgrs_56,101,307,120.0,4.794902324676514,0.426316450694728,1.0337446913244066,0.0,7.035489082336426,2.353250026702881,7.253673553466797,6.238498687744141
A,smooth_plume,2201,0.02,mgrs_56,101,307,140.0,4.690134048461914,0.4236353778863591,1.0335905237195029,0.0,7.0333251953125,2.3528990745544434,7.056972503662109,6.189427375793457
A,smooth_plume,2201,0.02,mgrs_56,101,307,160.0,4.61885929107666,0.42197063796462714,1.0325632982650907,0.0,7.005458831787109,2.3505606651306152,6.958091735839844,6.175835609436035
A,smooth_plume,2201,0.02,mgrs_56,101,307,180.0,4.459219932556152,0.4184989099437595,1.033172113677662,0.0,6.929435729980469,2.3519465923309326,6.733179569244385,6.093790054321289
A,smooth_plume,2201,0.02,mgrs_56,101,307,200.0,4.3867621421813965,0.41801089143023173,1.038665905603762,0.0,6.897103309631348,2.364452838897705,6.607571601867676,6.063207626342773
A,smooth_plume,2201,0.02,mgrs_56,101,307,220.0,4.3341145515441895,0.41798840881362054,1.0439475076062652,0.0,6.879049301147461,2.3764760494232178,6.509101390838623,6.050124168395996
A,smooth_plume,2201,0.02,mgrs_56,101,307,240.0,4.276198387145996,0.4180680563916315,1.0496297149679779,0.0,6.850940704345703,2.389411211013794,6.415727138519287,6.037143707275391
