family,phantom_seed,noise_fraction,candidate_name,regularizer_kind,l2_weight,gradient_weight,base_model_seed,residual_seed,base_best_step,residual_selected_step,residual_admitted,normalized_development_improvement,reference_normalized_total_l2,reference_normalized_total_h1,reference_normalized_total_huber,selected_normalized_total_l2,selected_normalized_total_h1,selected_normalized_total_huber,normalized_total_l2_change,normalized_total_h1_change,normalized_total_huber_change,selected_normalized_residual_l2,selected_normalized_residual_h1,selected_centered_regularization,base_field_relative_l2,candidate_field_relative_l2,field_delta_candidate_minus_base,base_h1_relative_error,candidate_h1_relative_error,h1_delta_candidate_minus_base,base_test_automatic_relative_l2,candidate_test_automatic_relative_l2,test_automatic_delta_candidate_minus_base,base_dense_automatic_relative_l2,candidate_dense_automatic_relative_l2,dense_automatic_delta_candidate_minus_base,base_source_reexecution_max_abs_difference,base_training_seconds,residual_training_seconds
smooth_plume,2201,0.02,mgrs_control,none,0.0,0.0,101,307,220,0,False,0.0,1.0,1.0,0.4200358986854553,1.0,1.0,0.4200358986854553,0.0,0.0,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.982634040992707,5.4617535000434145
smooth_plume,2201,0.02,total_l2_0p003,l2,0.003,0.0,101,307,220,0,False,0.0,1.0,1.0,0.4200358986854553,1.0,1.0,0.4200358986854553,0.0,0.0,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.982634040992707,5.392058124998584
smooth_plume,2201,0.02,total_l2_0p01,l2,0.01,0.0,101,307,220,0,False,0.0,1.0,1.0,0.4200358986854553,1.0,1.0,0.4200358986854553,0.0,0.0,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.982634040992707,5.394657584023662
smooth_plume,2201,0.02,total_h1_0p001,l2_h1,0.00025,0.001,101,307,220,0,False,0.0,1.0,1.0,0.4200358986854553,1.0,1.0,0.4200358986854553,0.0,0.0,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.982634040992707,5.397536750067957
smooth_plume,2201,0.02,total_h1_0p003,l2_h1,0.00075,0.003,101,307,220,0,False,0.0,1.0,1.0,0.4200358986854553,1.0,1.0,0.4200358986854553,0.0,0.0,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.982634040992707,5.432645792025141
smooth_plume,2201,0.02,total_h1_0p01,l2_h1,0.0025,0.01,101,307,220,0,False,0.0,1.0,1.0,0.4200358986854553,1.0,1.0,0.4200358986854553,0.0,0.0,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.982634040992707,5.390046750078909
smooth_plume,2201,0.02,total_huber_0p001,l2_huber,0.00025,0.001,101,307,220,0,False,0.0,1.0,1.0,0.4200358986854553,1.0,1.0,0.4200358986854553,0.0,0.0,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.982634040992707,5.408106834045611
smooth_plume,2201,0.02,total_huber_0p003,l2_huber,0.00075,0.003,101,307,220,0,False,0.0,1.0,1.0,0.4200358986854553,1.0,1.0,0.4200358986854553,0.0,0.0,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.982634040992707,5.34488995897118
smooth_plume,2201,0.02,total_huber_0p01,l2_huber,0.0025,0.01,101,307,220,0,False,0.0,1.0,1.0,0.4200358986854553,1.0,1.0,0.4200358986854553,0.0,0.0,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.982634040992707,5.395411417004652
smooth_plume,2201,0.02,mgrs_control,none,0.0,0.0,211,419,220,240,True,0.5217691008488605,1.0,1.0,0.4187125265598297,1.021201252937317,1.0749731063842773,0.4529334306716919,0.021201252937316895,0.07497310638427734,0.03422090411186218,0.0002961062709800899,0.008024410344660282,0.0,0.05971285909451849,0.06245723442736094,0.0027443753328424483,0.05781908184623826,0.06046493472540292,0.002645852879164662,0.08787857944823682,0.039911536813322414,-0.04796704263491441,0.09634939915011813,0.04223790958237998,-0.05411148956773815,0.0,0.926012875046581,5.3379495000699535
