held_out_group,train_group_count,train_unit_count,test_unit_count,train_positive_count,degenerate_training_fold,optimizer_converged,optimizer_iterations,optimizer_objective,feature_set
3301,11,66,6,5,False,True,8,9.352911879774751,source_observable_control
3302,11,66,6,7,False,True,7,12.416068912274023,source_observable_control
3303,11,66,6,7,False,True,7,12.879903068670735,source_observable_control
3304,11,66,6,7,False,True,7,12.893273386014528,source_observable_control
3305,11,66,6,7,False,True,7,12.923994239187772,source_observable_control
3306,11,66,6,6,False,True,8,11.493324435258751,source_observable_control
3401,11,66,6,3,False,True,7,8.974318509579087,source_observable_control
3402,11,66,6,7,False,True,7,12.588472085216942,source_observable_control
3403,11,66,6,7,False,True,7,12.56513652147964,source_observable_control
3404,11,66,6,7,False,True,7,12.874773733004636,source_observable_control
3405,11,66,6,7,False,True,7,13.031769033115886,source_observable_control
3406,11,66,6,7,False,True,7,13.09971136650677,source_observable_control
3301,11,66,6,5,False,True,8,12.116743732156017,view_influence_only
3302,11,66,6,7,False,True,8,15.600948408395102,view_influence_only
3303,11,66,6,7,False,True,8,15.052437826589573,view_influence_only
3304,11,66,6,7,False,True,8,14.956379671392177,view_influence_only
3305,11,66,6,7,False,True,8,15.31087265624366,view_influence_only
3306,11,66,6,6,False,True,8,13.826354285509973,view_influence_only
3401,11,66,6,3,False,True,10,8.783633120360482,view_influence_only
3402,11,66,6,7,False,True,8,14.619342414825496,view_influence_only
3403,11,66,6,7,False,True,8,15.148671201954778,view_influence_only
3404,11,66,6,7,False,True,8,15.606120783046585,view_influence_only
3405,11,66,6,7,False,True,8,15.832595129739271,view_influence_only
3406,11,66,6,7,False,True,8,15.832595129739271,view_influence_only
3301,11,66,6,5,False,True,8,7.810461112175328,source_plus_view_influence
3302,11,66,6,7,False,True,8,10.636554914340334,source_plus_view_influence
3303,11,66,6,7,False,True,8,10.79422130216487,source_plus_view_influence
3304,11,66,6,7,False,True,8,10.909089214685885,source_plus_view_influence
3305,11,66,6,7,False,True,8,10.887903230098228,source_plus_view_influence
3306,11,66,6,6,False,True,9,9.906422464317437,source_plus_view_influence
3401,11,66,6,3,False,True,9,6.656593107039113,source_plus_view_influence
3402,11,66,6,7,False,True,8,10.082232219831734,source_plus_view_influence
3403,11,66,6,7,False,True,8,10.4654275779883,source_plus_view_influence
3404,11,66,6,7,False,True,8,10.833049489271307,source_plus_view_influence
3405,11,66,6,7,False,True,8,11.123816865840698,source_plus_view_influence
3406,11,66,6,7,False,True,8,11.132757194853808,source_plus_view_influence
