comparison,device,dtype,count,squared_error,squared_reference,relative_l2,maximum_absolute_error
synthetic_scipy_value,cpu,float64,18,2.4261352467453616e-30,11.554994084242356,4.582185217340375e-16,1.3322676295501878e-15
synthetic_affine_exact_integral,cpu,float64,18,5.885641910047393e-31,11.973817944692673,2.217076059861783e-16,4.440892098500626e-16
synthetic_field_linearity,cpu,float64,18,4.247118736785478e-31,35.47845209072655,1.0941197803594572e-16,4.440892098500626e-16
synthetic_jvp_exact_direction,cpu,float64,18,0.0,1.3269569449867094,0.0,0.0
synthetic_finite_difference_vs_jvp,cpu,float64,18,7.98667208381171e-20,1.3269569449867094,2.4533217600782625e-10,2.2204435610156589e-10
public_phantom_released_cgls_value,cpu,float64,2304,9.316309181347309e-28,9959.238549689802,3.058502776252164e-16,7.105427357601002e-15
synthetic_scipy_value,mps,float32,18,9.688170228457065e-14,11.55499354224828,9.156637619082325e-08,2.384185791015625e-07
synthetic_affine_exact_integral,mps,float32,18,2.0605739337042905e-13,11.973817451493197,1.3118306826072087e-07,3.5762786865234375e-07
synthetic_field_linearity,mps,float32,18,8.386567619203179e-13,35.47845157827996,1.5374811428255566e-07,7.152557373046875e-07
synthetic_jvp_exact_direction,mps,float32,18,0.0,1.3269569195677118,0.0,0.0
synthetic_finite_difference_vs_jvp,mps,float32,18,4.585590062461474e-08,1.3269569195677118,0.00018589563918663292,0.00017881391977425665
