metric,value,operator,threshold,units,threshold_ratio,passed,required_for_status
valid_mask_mismatch_count,0.0,<=,0.0,count,0.0,True,True
cpu32_mps32_prediction_relative_l2,9.599387166079232e-08,<=,5e-05,,0.0019198774332158464,True,True
cpu32_cpu64_prediction_relative_l2,1.1079217781448998e-05,<=,5e-05,,0.22158435562897993,True,True
mps32_cpu64_prediction_relative_l2,1.1063665163508997e-05,<=,5e-05,,0.22127330327017994,True,True
normalized_prediction_absolute_error,1.1812207637833623e-05,<=,0.0002,,0.059061038189168115,True,True
worst_view_prediction_relative_l2,3.595210072271969e-05,<=,0.0002,,0.17976050361359847,True,True
cpu32_mps32_valid_ray_mse_relative_error,1.0590233982747661e-07,<=,0.0001,,0.0010590233982747661,True,True
cpu32_cpu64_valid_ray_mse_relative_error,2.874780270658877e-06,<=,0.0001,,0.02874780270658877,True,True
mps32_cpu64_valid_ray_mse_relative_error,2.7688782240620834e-06,<=,0.0001,,0.02768878224062083,True,True
cpu32_mps32_field_gradient_relative_l2,4.916141849415822e-07,<=,0.0005,,0.0009832283698831645,True,True
cpu32_cpu64_field_gradient_relative_l2,0.00010833242656911397,<=,0.001,,0.10833242656911396,True,True
mps32_cpu64_field_gradient_relative_l2,0.00010828796382340615,<=,0.001,,0.10828796382340615,True,True
field_gradient_cosine_defect,5.867009322813033e-09,<=,0.0001,,5.867009322813033e-05,True,True
normalized_field_gradient_absolute_error,0.00017378352922041933,<=,0.002,,0.08689176461020967,True,True
mps_directional_derivative_relative_error,2.757326602954136e-05,<=,0.005,,0.005514653205908272,True,True
mps_repeat_prediction_relative_l2,0.0,<=,1e-06,,0.0,True,True
mps_repeat_gradient_relative_l2,9.92303747717136e-10,<=,1e-05,,9.923037477171358e-05,True,True
invalid_probe_output_absolute_value,0.0,<=,0.0,,0.0,True,True
invalid_probe_gradient_absolute_value,0.0,<=,0.0,,0.0,True,True
prediction_nonfinite_count,0.0,<=,0.0,count,0.0,True,True
loss_nonfinite_count,0.0,<=,0.0,count,0.0,True,True
gradient_nonfinite_count,0.0,<=,0.0,count,0.0,True,True
gradient_zero_indicator,0.0,<=,0.0,indicator,0.0,True,True
sampled_mps_driver_allocation_delta_bytes,1090813952.0,<=,2147483648.0,bytes,0.5079498291015625,True,True
post_cleanup_mps_current_allocation_delta_bytes,0.0,<=,67108864.0,bytes,0.0,True,True
