role,relative_path,bytes,sha256
entrypoint,PYTHON/NIR-BOS/main_BOS.py,9599,4369c673764605e2e180ec1a6d8d69fcd0d0f8df2c67a74f721c970a47648201
provider,PYTHON/NIR-BOS/nerf/provider.py,18266,761198b39d63ef78d60da2099aecf6f7cfc325e95c85818105a0cb2e20041538
renderer,PYTHON/NIR-BOS/nerf/renderer.py,27530,3b59a8623197d6810e87601f989b19a810e38037622d578499df54ad3f013228
raymarching_backend,PYTHON/NIR-BOS/raymarching/backend.py,1390,aa5407f05e386a2faab3a6848df4912ffb7ce1311c6726af20828806375e42ac
fourier_encoder,PYTHON/NIR-BOS/encoding.py,2845,dea69d3e3190d5e4070f44365d09a566550fdf899b9ff9df94a949f563731c7a
hash_encoder,PYTHON/NIR-BOS/newhashencoder/hash_encoding.py,9865,0ef2ccb329a11a029a2235ba6f48e8c6b0a7c8a2624489ee83de51845d409745
environment,PYTHON/NIR-BOS/environment.yml,4425,06098e49970e2f3d603c7ea2caed1689baa6305920d66a2ff21821d4a9b3de40
matlab_initializer,MATLAB/step1_InitBOSLAB.m,2088,9a5c9ad2bf02cc21986e9c34fb80d9fee859f766835eec5051285dac824965fd
matlab_compiler,MATLAB/step2_Compile.m,6434,36c125f62d738f49db35420b82d0273a1a68966d6aa6a5c9e0402220ddd9824f
nested_third_party_license,MATLAB/Third_party_tools/sec2hours/license.txt,1594,2629fa44b7b4979c662a6de8b7a3af5b16c4f3ca518f2fcec381d874839bdee4
readme,readme.txt,4352,b3e6dc9f185f3df9f9ba9770af2ac06ef3277f52bd8173e1b474d7207c131993
