regime,geometry,inside_training_range,method,field_relative_l2_mean,field_relative_l2_worst,gradient_relative_l2_mean,clean_measurement_relative_l2_mean
nominal,0.0,True,fixed_ridge_map,0.03242884510296783,0.06268739993688598,0.1387510298507997,0.025490384652715022
nominal,0.0,True,geometry_conditioned_ridge_map,0.026047483718651,0.056726478602262355,0.13534498783607932,0.011817296291746352
nominal,0.0,True,nominal_physics_tikhonov,0.04732161096014797,0.0977161310378452,0.24032738962336267,0.010154052732598782
nominal,0.0,True,exact_physics_tikhonov,0.04732161096014797,0.0977161310378452,0.24032738962336267,0.010154052732598782
interpolation,0.02,True,fixed_ridge_map,0.05207759358858427,0.09622858596368868,0.1675678990569449,0.055265682763564306
interpolation,0.02,True,geometry_conditioned_ridge_map,0.03162736595177935,0.0797809540204887,0.14976853186340264,0.020371091308623673
interpolation,0.02,True,nominal_physics_tikhonov,0.09217620897984537,0.12884880493375833,0.2705057967322355,0.0858332243538401
interpolation,0.02,True,exact_physics_tikhonov,0.0451812215384386,0.08599717186974265,0.23468269270498968,0.009386196142293394
extrapolation,0.06,False,fixed_ridge_map,0.13427539716788262,0.20795046508817475,0.32271090921568374,0.16513750641889932
extrapolation,0.06,False,geometry_conditioned_ridge_map,0.06381912123224608,0.14058767771948305,0.22959316648951045,0.06166026132826715
extrapolation,0.06,False,nominal_physics_tikhonov,0.2528786716798086,0.3751420607837522,0.4615326034105329,0.2620601248913382
extrapolation,0.06,False,exact_physics_tikhonov,0.04766396001944617,0.08023522107520487,0.23694881236842733,0.009651255172084401
