base_seed,direction_index,amplitude_multiplier,replicates,plugin_batch_wall_seconds,plugin_batch_wall_seconds_per_observation,plugin_batched_ridge_rhs,crossfit_batch_wall_seconds,crossfit_batch_wall_seconds_per_observation,crossfit_cholesky_factorizations,crossfit_batched_field_rhs,crossfit_batched_jacobian_rhs
709,-1,0.0,500,0.022690874990075827,4.5381749980151656e-05,500,0.11636720795650035,0.0002327344159130007,2,1000,5000
709,0,1.0,500,0.022952000028453767,4.5904000056907535e-05,500,0.11851395899429917,0.00023702791798859834,2,1000,5000
709,0,2.0,500,0.023462709039449692,4.692541807889938e-05,500,0.11765512498095632,0.00023531024996191263,2,1000,5000
709,1,1.0,500,0.024268832989037037,4.853766597807407e-05,500,0.11879300000146031,0.00023758600000292062,2,1000,5000
709,1,2.0,500,0.023430083063431084,4.686016612686217e-05,500,0.115095250075683,0.000230190500151366,2,1000,5000
709,2,1.0,500,0.022444749949499965,4.488949989899993e-05,500,0.1182534999679774,0.0002365069999359548,2,1000,5000
709,2,2.0,500,0.023732292000204325,4.746458400040865e-05,500,0.12020341702736914,0.00024040683405473828,2,1000,5000
811,-1,0.0,500,0.023061082931235433,4.612216586247086e-05,500,0.11740833299700171,0.0002348166659940034,2,1000,5000
811,0,1.0,500,0.02305245795287192,4.610491590574384e-05,500,0.11249495798256248,0.00022498991596512497,2,1000,5000
811,0,2.0,500,0.02210116700734943,4.420233401469886e-05,500,0.1142805409617722,0.0002285610819235444,2,1000,5000
811,1,1.0,500,0.02337958395946771,4.675916791893542e-05,500,0.1151664589997381,0.0002303329179994762,2,1000,5000
811,1,2.0,500,0.02248966705519706,4.497933411039412e-05,500,0.11487299995496869,0.00022974599990993738,2,1000,5000
811,2,1.0,500,0.023517583031207323,4.7035166062414646e-05,500,0.11651754193007946,0.00023303508386015892,2,1000,5000
811,2,2.0,500,0.022841416066512465,4.568283213302493e-05,500,0.1159814998973161,0.0002319629997946322,2,1000,5000
907,-1,0.0,500,0.028299375087954104,5.6598750175908205e-05,500,0.12933991593308747,0.00025867983186617495,2,1000,5000
907,0,1.0,500,0.023523957934230566,4.7047915868461134e-05,500,0.11682095797732472,0.00023364191595464946,2,1000,5000
907,0,2.0,500,0.02393558295443654,4.787116590887308e-05,500,0.11622791597619653,0.00023245583195239305,2,1000,5000
907,1,1.0,500,0.023372417083010077,4.674483416602016e-05,500,0.11819291696883738,0.00023638583393767476,2,1000,5000
907,1,2.0,500,0.023721000063233078,4.744200012646616e-05,500,0.1178701251046732,0.00023574025020934642,2,1000,5000
907,2,1.0,500,0.02413037500809878,4.826075001619756e-05,500,0.11609458294697106,0.0002321891658939421,2,1000,5000
907,2,2.0,500,0.02346033393405378,4.6920667868107557e-05,500,0.11363716702908278,0.00022727433405816556,2,1000,5000
