method,base_seed,direction_index,amplitude_multiplier,evaluation_replicates,valid_count,failure_count,nominal_threshold,calibration_envelope_threshold,calibration_envelope_valid,nominal_coverage,calibrated_coverage,calibrated_coverage_cp95_lower,calibrated_coverage_cp95_upper,native_radius_qref_median,calibrated_radius_qref_median,calibrated_radius_qref_p90
plugin_native,709,-1,0.0,250,250,0,11.070497693516351,103.2524206581322,True,0.968,1.0,0.9853528113643196,1.0,0.1918306176196216,0.5858473546062279,0.5862204323133243
iterative_gn_sandwich,709,-1,0.0,250,250,0,11.070497693516351,14.134120644626549,True,0.968,0.988,0.965333385425256,0.9975184417452969,0.18728697172109454,0.2116208193881079,0.21175257350898594
iterative_exact_godambe,709,-1,0.0,250,250,0,11.070497693516351,14.154403049504122,True,0.968,0.988,0.965333385425256,0.9975184417452969,0.18730231456327945,0.21178995120089097,0.21209106433423566
iterative_penalized_contrast,709,-1,0.0,250,250,0,11.070497693516351,13.832455580051194,True,0.968,0.988,0.965333385425256,0.9975184417452969,,,
corrected_crossfit_wald,709,-1,0.0,250,250,0,11.070497693516351,483.5298734055149,True,0.956,1.0,0.9853528113643196,1.0,0.4427308262086835,2.9259563594324938,2.931975080152773
plugin_native,709,0,1.0,250,250,0,11.070497693516351,103.2524206581322,True,0.924,1.0,0.9853528113643196,1.0,0.19223919076290064,0.5870951298473408,0.5875008839920839
iterative_gn_sandwich,709,0,1.0,250,250,0,11.070497693516351,14.134120644626549,True,0.932,0.98,0.9539464228461827,0.9934749299979705,0.18738761701167106,0.2117345413339733,0.21188050105475845
iterative_exact_godambe,709,0,1.0,250,250,0,11.070497693516351,14.154403049504122,True,0.932,0.98,0.9539464228461827,0.9934749299979705,0.18741861548268138,0.21192145713610688,0.21221258169179702
iterative_penalized_contrast,709,0,1.0,250,250,0,11.070497693516351,13.832455580051194,True,0.936,0.98,0.9539464228461827,0.9934749299979705,,,
corrected_crossfit_wald,709,0,1.0,250,250,0,11.070497693516351,483.5298734055149,True,0.904,1.0,0.9853528113643196,1.0,0.4475090340174084,2.9575349771771697,2.9627921992436583
plugin_native,709,0,2.0,250,250,0,11.070497693516351,103.2524206581322,True,0.824,1.0,0.9853528113643196,1.0,0.19255577293803977,0.5880619662789919,0.5884118613917524
iterative_gn_sandwich,709,0,2.0,250,250,0,11.070497693516351,14.134120644626549,True,0.94,0.984,0.9595426193679008,0.9956237734910259,0.18747201302897773,0.21182990276873517,0.2119597185552879
