base_seed,scene,model,condition_class,expected_exact,nuisance_rank,nuisance_row_count,nuisance_column_count,profile_relative_rank,profile_trace_retention,profile_max_eigenvalue_retention,profile_minimum_eigenvalue_relative_to_raw,profile_condition_number,projector_orthogonality_defect,nuisance_residual_orthogonality_defect,profile_symmetry_defect,clean_model_residual_relative_l2
709,pure_transport,transport_exact,frozen_transport,True,512,1152,512,5,0.017839131907686507,0.0336544546403896,0.00012948652410417667,259.9070047884933,3.4524359628298355e-15,2.28363215997343e-16,0.0,3.0129479747293183e-15
709,pure_transport,transport_velocity_mismatch_10pct,frozen_transport,False,512,1152,512,5,0.02367976114479432,0.04474705910502884,0.00017030076706227754,262.75312716979846,3.481831110203678e-15,2.2888202723733285e-16,0.0,0.0027040816863270903
709,pure_transport,transport_wrong_frame_order,frozen_transport,False,512,1152,512,5,0.03290231809260634,0.0590499413483357,0.00012103381023466635,487.8797191780276,3.4316542744314566e-15,2.425730638934671e-16,0.0,0.040094692570786725
709,reacting_birth,transport_only_reacting,frozen_transport,False,512,1152,512,5,0.01812165973570869,0.032608525059282474,0.00015707781716754732,207.59471736547326,3.4524359628298355e-15,2.2161570803603715e-16,0.0,0.007424329601766179
709,reacting_birth,transport_shared_birth,frozen_transport_plus_shared_free_source,True,704,1152,1024,5,0.001467515298532883,0.002730439432048335,1.5839929309837198e-05,172.37699604837428,3.752999573600916e-15,2.388043825570023e-16,0.0,3.568210031012058e-15
709,pure_transport,pilot_pca_rank_4,frozen_independent_fit_spatial_basis,False,24,1152,24,5,0.9835631603003977,0.9741862891544317,0.019416985401361105,50.17186082274865,5.50212760906351e-16,2.214528873689522e-17,0.0,0.0913015696933122
709,pure_transport,teacher_pca_rank_4,frozen_independent_fit_spatial_basis,False,24,1152,24,5,0.9835865925892993,0.9741863274362014,0.019437975610754627,50.117684420655635,7.496537780064035e-16,2.5859311988661763e-17,0.0,0.09125039962806113
709,reacting_birth,pilot_pca_rank_4_reacting,frozen_independent_fit_spatial_basis,False,24,1152,24,5,0.9813455874467234,0.9708922914599716,0.021891746314896394,44.349695885125485,5.50212760906351e-16,2.2412846169258468e-17,0.0,0.10403417694270614
709,pure_transport,pilot_pca_rank_8,frozen_independent_fit_spatial_basis,False,48,1152,48,5,0.9448479564007062,0.9022368365047707,0.01849902014927644,48.77214194180227,9.761815091727862e-16,3.8163302802103926e-17,0.0,0.04027710285496129
709,pure_transport,teacher_pca_rank_8,frozen_independent_fit_spatial_basis,False,48,1152,48,5,0.9455275321616113,0.9036706623530768,0.01851470501306904,48.80826681900681,8.730258881894962e-16,3.483401739067645e-17,0.0,0.04053308840169018
709,reacting_birth,pilot_pca_rank_8_reacting,frozen_independent_fit_spatial_basis,False,48,1152,48,5,0.9437704536626499,0.9017812031355125,0.0209442512762894,43.056263565573346,9.761815091727862e-16,4.131393537639602e-17,0.0,0.056830288682961416
709,pure_transport,pilot_pca_rank_16,frozen_independent_fit_spatial_basis,False,96,1152,96,5,0.8758005355608818,0.8642062019973207,0.017472122209878493,49.46200533720572,1.1579794560760396e-15,4.584090635468277e-17,0.0,0.03487046849145421
709,pure_transport,teacher_pca_rank_16,frozen_independent_fit_spatial_basis,False,96,1152,96,5,0.8700764692716133,0.8728444343988422,0.017097720136423168,51.05034048015718,1.2218488107770806e-15,4.150468735152485e-17,0.0,0.0337650901529017
709,reacting_birth,pilot_pca_rank_16_reacting,frozen_independent_fit_spatial_basis,False,96,1152,96,5,0.875819936455652,0.8318636912847354,0.019736641244767993,42.14818929767267,1.1579794560760396e-15,4.797024468368527e-17,0.0,0.04943878206574273
811,pure_transport,transport_exact,frozen_transport,True,512,1152,512,5,0.013631059333524745,0.018959367793955764,0.00011319645933970426,167.49081998279132,3.4797202336602637e-15,2.018092824184101e-16,0.0,2.9474556331123793e-15
811,pure_transport,transport_velocity_mismatch_10pct,frozen_transport,False,512,1152,512,5,0.019432500618727783,0.027394765515191388,0.00017340068364624556,157.98533742277164,3.5491284371463257e-15,2.5469728838823344e-16,0.0,0.0015490751632286574
811,pure_transport,transport_wrong_frame_order,frozen_transport,False,512,1152,512,5,0.021457222997717622,0.026997926122169245,0.00042908474055057116,62.91980014839824,3.4172414140665535e-15,2.150426696252498e-16,0.0,0.024431509971094025
811,reacting_birth,transport_only_reacting,frozen_transport,False,512,1152,512,5,0.014718664994884686,0.019968046828215808,0.00022285980402391686,89.59914021136301,3.4797202336602637e-15,2.0679266075385093e-16,0.0,0.009325919011540803
811,reacting_birth,transport_shared_birth,frozen_transport_plus_shared_free_source,True,704,1152,1024,5,0.0009948748278876146,0.0012730795754607586,1.0051228350990648e-05,126.65910384329136,3.749070820115569e-15,2.6353358981266975e-16,0.0,3.886902180853932e-15
811,pure_transport,pilot_pca_rank_4,frozen_independent_fit_spatial_basis,False,24,1152,24,5,0.966832245827258,0.9296447201794944,0.0801491766669881,11.598930380059626,7.931979148349498e-16,3.267842259133483e-17,0.0,0.3267127061590474
