base_seed,control,expected_profile_rank,nuisance_rank,nuisance_row_count,nuisance_column_count,profile_relative_rank,generalized_profile_rank,generalized_minimum_retention,generalized_median_retention,generalized_maximum_retention,profile_trace_retention,profile_max_eigenvalue_retention,profile_minimum_eigenvalue_relative_to_raw,profile_condition_number,projector_orthogonality_defect,nuisance_residual_orthogonality_defect,profile_symmetry_defect,rank_matches_expectation,oracle_only,oracle_reason
709,independent_free_fields,0,1152,1152,3072,0,0,4.810663730389747e-30,5.829946431736863e-30,7.010105001507348e-30,5.905499403571962e-30,6.0563701096720734e-30,1.3390529509445919e-31,,2.3439509813921214e-15,2.484350938745495e-15,0.0,True,,
709,unknown_low_rank_both_factors,0,392,1152,1036,0,0,1.0789791252428315e-29,4.186477307169207e-29,6.678300444248949e-29,3.2628124860492695e-29,5.0446405165290627e-29,9.812408282396847e-31,,3.2596713294932418e-15,2.2335053016597863e-16,0.0,True,,
709,fixed_temporal_free_spatial,0,384,1152,1024,0,0,1.18424340172835e-29,3.7574612679364226e-29,6.612505234941648e-29,3.352553608422106e-29,4.968246698932884e-29,9.095033646610955e-31,,3.281765317791389e-15,2.4376386666065755e-16,0.0,True,,
709,shared_static_field,0,192,1152,512,0,0,1.0082991740554564e-29,7.31262508255198e-29,1.4831188343207253e-28,6.020026684940308e-29,1.0399057130385911e-28,8.524774636703195e-31,,2.970033825541087e-15,2.7226827589204933e-16,0.0,True,,
709,known_target,5,0,1152,0,5,5,0.9999999999999996,1.0000000000000007,1.0000000000000133,1.0,1.0,0.022940022510587552,43.59193629990851,0.0,0.0,0.0,True,,
709,transport_per_frame_free_innovation,0,1152,1152,3072,0,0,5.121172648833107e-30,6.075151796877128e-30,7.190522946592128e-30,6.2547786469336566e-30,6.613491816579345e-30,1.5724967300869084e-31,,2.3439509813921214e-15,2.484350938745495e-15,0.0,True,,
709,transport_plus_unknown_velocity_scale,5,513,1152,513,5,5,0.00034025255391763033,0.020370100028042768,0.05410881956019228,0.017716514473970893,0.033516997871042065,0.00012931017785996582,259.1984515506483,3.4454379865605962e-15,2.5225490628191027e-16,0.0,True,True,velocity tangent evaluated at synthetic true initial field
811,independent_free_fields,0,1152,1152,3072,0,0,3.828775401402662e-30,4.959261646042282e-30,7.118145275030904e-30,5.0872051056264474e-30,3.9931096198068245e-30,4.47296445429896e-31,,2.2030857537150667e-15,2.2606683199833503e-15,0.0,True,,
811,unknown_low_rank_both_factors,0,392,1152,1036,0,0,1.3297616290369047e-29,3.640635524756786e-29,1.0611745115228356e-28,3.341213396106599e-29,3.9820135048301717e-29,5.360733954612774e-30,,3.2046500782317136e-15,2.5136340212095247e-16,0.0,True,,
811,fixed_temporal_free_spatial,0,384,1152,1024,0,0,1.1901971591884418e-29,3.870697088628289e-29,1.0069682987045427e-28,3.306298527556546e-29,3.938020584166982e-29,5.430072807504954e-30,,3.2447494630963834e-15,2.506247412722895e-16,0.0,True,,
811,shared_static_field,0,192,1152,512,0,0,9.202571708091911e-30,1.133874604288849e-28,2.1366970842420213e-28,6.941093717421283e-29,7.945669279735167e-29,4.3667243439567824e-30,,2.9116767053808197e-15,2.884186549116825e-16,0.0,True,,
811,known_target,5,0,1152,0,5,5,0.9999999999999984,0.9999999999999997,1.0000000000000013,1.0,1.0,0.08232281874725651,12.147300289487792,0.0,0.0,0.0,True,,
811,transport_per_frame_free_innovation,0,1152,1152,3072,0,0,4.028901243276498e-30,4.980321428957829e-30,7.24745511969793e-30,5.179362216045799e-30,4.31303224706102e-30,4.338815738844843e-31,,2.2030857537150667e-15,2.2606683199833503e-15,0.0,True,,
811,transport_plus_unknown_velocity_scale,5,513,1152,513,5,5,0.00012181367388420462,0.01440177763816502,0.03677530645677833,0.01318281558172171,0.018865125761259913,0.00010497461850664036,179.71130573879213,3.512401411545127e-15,2.51032206738359e-16,0.0,True,True,velocity tangent evaluated at synthetic true initial field
907,independent_free_fields,0,1152,1152,3072,0,0,4.283392702927301e-30,5.332833553755305e-30,6.424693831509076e-30,5.242032423864761e-30,4.902727494981454e-30,1.6597124179052252e-31,,2.2905353867828213e-15,2.2785780510921633e-15,0.0,True,,
907,unknown_low_rank_both_factors,0,392,1152,1036,0,0,1.0856266843350455e-29,4.385343556058667e-29,1.1607339335496092e-28,3.9578432247818994e-29,4.936692509919022e-29,1.725420253450344e-30,,3.1515283071637943e-15,2.1861957755161413e-16,0.0,True,,
907,fixed_temporal_free_spatial,0,384,1152,1024,0,0,1.4604479531644154e-29,3.970001913824321e-29,1.1577687413975403e-28,4.195462242183737e-29,5.061688519903835e-29,1.485921145823549e-30,,3.2325401844487462e-15,2.9666099619874247e-16,0.0,True,,
907,shared_static_field,0,192,1152,512,0,0,1.3691611523316596e-29,1.296863244345311e-28,4.199379420091714e-28,1.153463182047875e-28,1.5852374085197514e-28,3.405917401155387e-30,,2.922693183939288e-15,3.800894106044404e-16,0.0,True,,
907,known_target,5,0,1152,0,5,5,0.9999999999999962,1.0000000000000002,1.0000000000000016,1.0,1.0,0.03009166749694114,33.231790830523146,0.0,0.0,0.0,True,,
907,transport_per_frame_free_innovation,0,1152,1152,3072,0,0,4.405298617035176e-30,5.485185014962989e-30,6.790700962097551e-30,5.436385498838232e-30,5.185203800199466e-30,1.6793131816905627e-31,,2.2905353867828213e-15,2.2785780510921633e-15,0.0,True,,
907,transport_plus_unknown_velocity_scale,5,513,1152,513,5,5,9.110888892320956e-05,0.004618304625791801,0.035894118571983394,0.008960474569672076,0.016403959385922387,7.619992357971713e-05,215.27527345563885,3.468207958241974e-15,2.8787896659284954e-16,0.0,True,True,velocity tangent evaluated at synthetic true initial field
